position	word	lexsn	wnsn	supersense	X25	X3	X5	X10	X20	index
12	drawn	2:35:03::	1	verb.contact	1	1	1	1	1	0
5	drew	2:40:01::	13	verb.possession	1	1	1	1	1	1
20	drawn	2:40:01::	13	verb.possession	1	1	1	1	1	2
14	draw	2:36:02::	19	verb.creation	1	0	1	1	1	3
16	drawing	2:40:00::	2	verb.possession	1	0	1	1	1	4
7	drawn	2:37:03::	0	verb.emotion	1	0	0	1	1	5
14	draw	2:32:00::	8	verb.communication	1	0	0	1	1	6
1	drew	2:36:00::	6	verb.creation	1	0	0	1	1	7
26	drawing	2:32:00::	8	verb.communication	1	0	0	1	1	8
8	drawn	2:31:13::	9	verb.cognition	1	0	0	1	1	9
45	drawn	2:31:13::	9	verb.cognition	1	0	0	0	1	10
9	draw	2:35:01::	3	verb.contact	1	0	0	0	1	11
9	draw	2:40:00::	2	verb.possession	1	0	0	0	1	12
16	draw	2:31:00::	4	verb.cognition	1	0	0	0	1	13
2	drew	2:36:00::	6	verb.creation	1	0	0	0	1	14
40	drawn	2:35:03::	1	verb.contact	1	0	0	0	1	15
1	drew	2:34:01::	11	verb.consumption	1	0	0	0	1	16
3	drawn	2:37:03::	0	verb.emotion	1	0	0	0	1	17
13	drawing	2:36:00::	6	verb.creation	1	0	0	0	1	18
6	drawing	2:35:01::	3	verb.contact	1	0	0	0	1	19
10	drew	2:38:01::	5	verb.motion	1	0	0	0	0	20
2	drawn	2:38:07::	17	verb.motion	1	0	0	0	0	21
2	draw	2:35:03::	1	verb.contact	1	0	0	0	0	22
7	drawing	2:37:03::	0	verb.emotion	1	0	0	0	0	23
6	draw	2:31:00::	4	verb.cognition	1	0	0	0	0	24
13	drawn	2:35:03::	1	verb.contact	2	2	2	2	2	25
22	draw	2:40:01::	13	verb.possession	2	2	2	2	2	26
3	drawn	2:35:03::	1	verb.contact	2	2	2	2	2	27
26	draw	2:40:00::	2	verb.possession	2	0	2	2	2	28
3	drew	2:38:02::	12	verb.motion	2	0	2	2	2	29
4	drawin	2:38:01::	5	verb.motion	2	0	0	2	2	30
49	drawn	2:33:01::	14	verb.competition	2	0	0	2	2	31
24	drawn	2:37:03::	0	verb.emotion	2	0	0	2	2	32
1	draw	2:38:01::	5	verb.motion	2	0	0	2	2	33
26	drawn	2:30:14::	16	verb.change	2	0	0	2	2	34
22	drawing	2:40:00::	2	verb.possession	2	0	0	0	2	35
35	drawing	2:40:00::	2	verb.possession	2	0	0	0	2	36
6	drawn	2:35:01::	3	verb.contact	2	0	0	0	2	37
5	draw	2:31:13::	9	verb.cognition	2	0	0	0	2	38
14	draw	2:40:00::	2	verb.possession	2	0	0	0	2	39
7	drawn	2:32:00::	8	verb.communication	2	0	0	0	2	40
24	drawing	2:38:02::	12	verb.motion	2	0	0	0	2	41
19	drew	2:38:01::	5	verb.motion	2	0	0	0	2	42
16	drew	2:37:03::	0	verb.emotion	2	0	0	0	2	43
13	drew	2:37:03::	0	verb.emotion	2	0	0	0	2	44
7	drawn	2:31:13::	9	verb.cognition	2	0	0	0	0	45
5	drawn	2:31:00::	4	verb.cognition	2	0	0	0	0	46
1	drew	2:36:01::	15	verb.creation	2	0	0	0	0	47
10	drawn	2:31:13::	9	verb.cognition	2	0	0	0	0	48
10	drew	2:38:01::	5	verb.motion	2	0	0	0	0	49
