position	word	lexsn	wnsn	supersense	X25	X3	X5	X10	X20	index
17	driven	2:38:01::	1	verb.motion	1	1	1	1	1	0
23	drove	2:38:01::	1	verb.motion	1	1	1	1	1	1
1	drive	2:38:01::	1	verb.motion	1	1	1	1	1	2
0	Driven	2:35:00::	4	verb.contact	1	0	1	1	1	3
3	driving	2:38:01::	1	verb.motion	1	0	1	1	1	4
15	driving	2:38:02::	3	verb.motion	1	0	0	1	1	5
17	driving	2:38:01::	1	verb.motion	1	0	0	1	1	6
2	drove	2:38:01::	1	verb.motion	1	0	0	1	1	7
5	drive	2:38:01::	1	verb.motion	1	0	0	1	1	8
2	drive	2:38:01::	1	verb.motion	1	0	0	1	1	9
2	drive	2:38:00::	2	verb.motion	1	0	0	0	1	10
28	driving	2:38:01::	1	verb.motion	1	0	0	0	1	11
18	driving	2:38:01::	1	verb.motion	1	0	0	0	1	12
2	drove	2:38:01::	1	verb.motion	1	0	0	0	1	13
7	drive	2:38:02::	3	verb.motion	1	0	0	0	1	14
12	driving	2:38:00::	2	verb.motion	1	0	0	0	1	15
0	Driving	2:38:00::	2	verb.motion	1	0	0	0	1	16
1	drove	2:38:01::	1	verb.motion	1	0	0	0	1	17
6	drove	2:38:01::	1	verb.motion	1	0	0	0	1	18
1	drove	2:38:00::	2	verb.motion	1	0	0	0	1	19
11	drove	2:38:00::	2	verb.motion	1	0	0	0	0	20
16	drive	2:38:01::	1	verb.motion	1	0	0	0	0	21
22	driving	2:38:01::	1	verb.motion	1	0	0	0	0	22
8	drive	2:38:00::	2	verb.motion	1	0	0	0	0	23
5	driving	2:38:01::	1	verb.motion	1	0	0	0	0	24
25	driven	2:36:00::	7	verb.creation	2	2	2	2	2	25
7	driven	2:38:00::	2	verb.motion	2	2	2	2	2	26
1	drove	2:38:00::	2	verb.motion	2	2	2	2	2	27
7	driven	2:35:00::	4	verb.contact	2	0	2	2	2	28
3	driven	2:38:01::	1	verb.motion	2	0	2	2	2	29
15	drive	2:38:01::	1	verb.motion	2	0	0	2	2	30
17	drives	2:38:01::	1	verb.motion	2	0	0	2	2	31
17	drive	2:38:01::	1	verb.motion	2	0	0	2	2	32
25	drove	2:38:01::	1	verb.motion	2	0	0	2	2	33
5	drives	2:35:00::	4	verb.contact	2	0	0	2	2	34
19	drive	2:38:01::	1	verb.motion	2	0	0	0	2	35
22	driving	2:38:02::	3	verb.motion	2	0	0	0	2	36
5	driving	2:38:01::	1	verb.motion	2	0	0	0	2	37
12	drove	2:35:00::	4	verb.contact	2	0	0	0	2	38
4	drove	2:38:01::	1	verb.motion	2	0	0	0	2	39
5	drove	2:38:00::	2	verb.motion	2	0	0	0	2	40
24	drive	2:35:00::	4	verb.contact	2	0	0	0	2	41
10	drove	2:38:00::	2	verb.motion	2	0	0	0	2	42
4	drive	2:38:00::	2	verb.motion	2	0	0	0	2	43
12	driving	2:35:00::	4	verb.contact	2	0	0	0	2	44
2	driven	2:38:01::	1	verb.motion	2	0	0	0	0	45
30	drive	2:35:00::	4	verb.contact	2	0	0	0	0	46
7	drove	2:38:01::	1	verb.motion	2	0	0	0	0	47
11	drive	2:38:02::	3	verb.motion	2	0	0	0	0	48
11	driving	2:38:01::	1	verb.motion	2	0	0	0	0	49
