position	word	lexsn	wnsn	supersense	X25	X3	X5	X10	X20	index
3	dropped	2:38:01::	1	verb.motion	1	1	1	1	1	0
4	dropped	2:38:01::	1	verb.motion	1	1	1	1	1	1
1	dropped	2:38:01::	1	verb.motion	1	1	1	1	1	2
27	drop	2:38:01::	1	verb.motion	1	0	1	1	1	3
29	dropped	2:38:00::	2	verb.motion	1	0	1	1	1	4
11	dropped	2:38:05::	4	verb.motion	1	0	0	1	1	5
10	dropping	2:38:00::	2	verb.motion	1	0	0	1	1	6
27	drop	2:38:01::	1	verb.motion	1	0	0	1	1	7
13	dropped	2:38:01::	1	verb.motion	1	0	0	1	1	8
1	dropping	2:38:01::	1	verb.motion	1	0	0	1	1	9
7	dropped	2:38:01::	1	verb.motion	1	0	0	0	1	10
9	dropped	2:38:01::	1	verb.motion	1	0	0	0	1	11
3	drops	2:41:01::	5	verb.social	1	0	0	0	1	12
30	dropping	2:38:01::	1	verb.motion	1	0	0	0	1	13
15	dropped	2:38:00::	2	verb.motion	1	0	0	0	1	14
10	dropped	2:38:00::	2	verb.motion	1	0	0	0	1	15
20	drop	2:30:00::	3	verb.change	1	0	0	0	1	16
1	dropped	2:38:01::	1	verb.motion	1	0	0	0	1	17
10	dropped	2:32:00::	6	verb.communication	1	0	0	0	1	18
18	dropped	2:41:01::	5	verb.social	1	0	0	0	1	19
9	dropped	2:30:00::	3	verb.change	1	0	0	0	0	20
22	dropped	2:38:01::	1	verb.motion	1	0	0	0	0	21
9	dropping	2:32:00::	6	verb.communication	1	0	0	0	0	22
34	drop	2:38:01::	1	verb.motion	1	0	0	0	0	23
4	drop	2:38:01::	1	verb.motion	1	0	0	0	0	24
3	dropped	2:38:01::	1	verb.motion	0	0	0	0	0	25
4	drop	2:38:01::	1	verb.motion	0	0	0	0	0	26
21	dropped	2:38:01::	1	verb.motion	0	0	0	0	0	27
2	dropped	2:30:00::	3	verb.change	0	0	0	0	0	28
25	dropped	2:38:00::	2	verb.motion	0	0	0	0	0	29
3	dropped	2:38:01::	1	verb.motion	0	0	0	0	0	30
15	dropped	2:30:00::	3	verb.change	0	0	0	0	0	31
29	dropped	2:38:01::	1	verb.motion	0	0	0	0	0	32
12	dropped	2:38:05::	4	verb.motion	0	0	0	0	0	33
14	dropped	2:38:01::	1	verb.motion	0	0	0	0	0	34
7	dropped	2:38:01::	1	verb.motion	0	0	0	0	0	35
24	drop	2:30:01::	7	verb.change	0	0	0	0	0	36
18	dropped	2:38:00::	2	verb.motion	0	0	0	0	0	37
20	drop	2:38:00::	2	verb.motion	0	0	0	0	0	38
7	dropping	2:38:00::	2	verb.motion	0	0	0	0	0	39
17	dropped	2:30:01::	7	verb.change	0	0	0	0	0	40
14	dropped	2:30:00::	3	verb.change	0	0	0	0	0	41
2	dropped	2:35:00::	8	verb.contact	0	0	0	0	0	42
8	dropping	2:35:03::	9	verb.contact	0	0	0	0	0	43
2	dropped	2:30:05::	12	verb.change	0	0	0	0	0	44
3	dropping	2:30:00::	3	verb.change	0	0	0	0	0	45
4	drops	2:38:05::	4	verb.motion	0	0	0	0	0	46
5	dropped	2:38:01::	1	verb.motion	2	2	2	2	2	47
29	dropped	2:30:01::	7	verb.change	2	2	2	2	2	48
15	dropped	2:38:00::	2	verb.motion	2	2	2	2	2	49
32	drop	2:38:05::	4	verb.motion	2	0	2	2	2	50
9	dropped	2:38:01::	1	verb.motion	2	0	2	2	2	51
8	dropped	2:30:00::	3	verb.change	2	0	0	2	2	52
