position	word	lexsn	wnsn	supersense	X25	X3	X5	X10	X20	index
17	earliest	3:00:00::	1	adj.all	1	1	1	1	1	0
17	early	3:00:00::	1	adj.all	1	1	1	1	1	1
1	early	3:00:02::	2	adj.all	1	1	1	1	1	2
39	early	3:00:00::	1	adj.all	1	0	1	1	1	3
7	early	3:00:02::	2	adj.all	1	0	1	1	1	4
7	early	3:00:00::	1	adj.all	1	0	0	1	1	5
2	earlier	3:00:00::	1	adj.all	1	0	0	1	1	6
20	early	3:00:00::	1	adj.all	1	0	0	1	1	7
1	early	3:00:00::	1	adj.all	1	0	0	1	1	8
6	earlier	5:00:00:past:00	3	adj.all	1	0	0	1	1	9
0	Early	3:00:02::	2	adj.all	1	0	0	0	1	10
8	early	3:00:00::	1	adj.all	1	0	0	0	1	11
6	earlier	3:00:00::	1	adj.all	1	0	0	0	1	12
22	early	3:00:02::	2	adj.all	1	0	0	0	1	13
18	early	3:00:02::	2	adj.all	1	0	0	0	1	14
7	early	3:00:00::	1	adj.all	1	0	0	0	1	15
32	earliest	3:00:00::	1	adj.all	1	0	0	0	1	16
22	early	3:00:00::	1	adj.all	1	0	0	0	1	17
3	earlier	5:00:00:past:00	3	adj.all	1	0	0	0	1	18
10	early	3:00:00::	1	adj.all	1	0	0	0	1	19
22	early	5:00:00:past:00	3	adj.all	1	0	0	0	0	20
7	early	3:00:00::	1	adj.all	1	0	0	0	0	21
19	early	3:00:00::	1	adj.all	1	0	0	0	0	22
27	early	3:00:00::	1	adj.all	1	0	0	0	0	23
13	early	3:00:00::	1	adj.all	1	0	0	0	0	24
19	early	3:00:00::	1	adj.all	2	2	2	2	2	25
25	early	3:00:00::	1	adj.all	2	2	2	2	2	26
7	early	3:00:00::	1	adj.all	2	2	2	2	2	27
36	early	5:00:00:young:00	4	adj.all	2	0	2	2	2	28
36	early	5:00:00:young:00	4	adj.all	2	0	2	2	2	29
8	early	3:00:00::	1	adj.all	2	0	0	2	2	30
20	early	3:00:02::	2	adj.all	2	0	0	2	2	31
7	early	3:00:02::	2	adj.all	2	0	0	2	2	32
30	early	3:00:00::	1	adj.all	2	0	0	2	2	33
42	early	5:00:00:young:00	4	adj.all	2	0	0	2	2	34
1	earlier	3:00:02::	2	adj.all	2	0	0	0	2	35
2	early	3:00:02::	2	adj.all	2	0	0	0	2	36
7	early	3:00:00::	1	adj.all	2	0	0	0	2	37
24	early	5:00:00:past:00	3	adj.all	2	0	0	0	2	38
4	early	3:00:00::	1	adj.all	2	0	0	0	2	39
16	early	3:00:02::	2	adj.all	2	0	0	0	2	40
3	early	3:00:02::	2	adj.all	2	0	0	0	2	41
17	early	3:00:00::	1	adj.all	2	0	0	0	2	42
10	early	3:00:00::	1	adj.all	2	0	0	0	2	43
13	early	3:00:00::	1	adj.all	2	0	0	0	2	44
4	early	3:00:00::	1	adj.all	2	0	0	0	0	45
10	early	3:00:01::	5	adj.all	2	0	0	0	0	46
1	early	3:00:00::	1	adj.all	2	0	0	0	0	47
26	early	3:00:00::	1	adj.all	2	0	0	0	0	48
5	early	3:00:02::	2	adj.all	2	0	0	0	0	49
