position	word	lexsn	wnsn	supersense	X25	X3	X5	X10	X20	index
1	Earth	1:17:00::	1	noun.object	1	1	1	1	1	0
12	earth	1:27:00::	2	noun.substance	1	1	1	1	1	1
12	earth	1:17:00::	1	noun.object	1	1	1	1	1	2
29	earth	1:17:00::	1	noun.object	1	0	1	1	1	3
21	Earth	1:17:00::	1	noun.object	1	0	1	1	1	4
32	earth	1:15:00::	4	noun.location	1	0	0	1	1	5
18	earth	1:17:00::	1	noun.object	1	0	0	1	1	6
10	earth	1:17:01::	3	noun.object	1	0	0	1	1	7
10	earth	1:27:00::	2	noun.substance	1	0	0	1	1	8
18	earth	1:17:01::	3	noun.object	1	0	0	1	1	9
10	earth	1:27:00::	2	noun.substance	1	0	0	0	1	10
26	earth	1:27:00::	2	noun.substance	1	0	0	0	1	11
24	earth	1:17:00::	1	noun.object	1	0	0	0	1	12
54	Earth	1:17:00::	1	noun.object	1	0	0	0	1	13
11	earth	1:27:00::	2	noun.substance	1	0	0	0	1	14
17	Earth	1:17:00::	1	noun.object	1	0	0	0	1	15
11	Earth	1:17:00::	1	noun.object	1	0	0	0	1	16
8	Earth	1:17:00::	1	noun.object	1	0	0	0	1	17
18	earth	1:27:00::	2	noun.substance	1	0	0	0	1	18
16	earth	1:15:00::	4	noun.location	1	0	0	0	1	19
21	earth	1:17:01::	3	noun.object	1	0	0	0	0	20
18	earth	1:27:00::	2	noun.substance	1	0	0	0	0	21
7	Earth	1:17:00::	1	noun.object	1	0	0	0	0	22
23	Earth	1:17:00::	1	noun.object	1	0	0	0	0	23
17	earth	1:17:01::	3	noun.object	1	0	0	0	0	24
18	earth	1:27:00::	2	noun.substance	2	2	2	2	2	25
12	earth	1:17:01::	3	noun.object	2	2	2	2	2	26
9	Earth	1:17:00::	1	noun.object	2	2	2	2	2	27
41	earth	1:27:00::	2	noun.substance	2	0	2	2	2	28
10	earth	1:27:00::	2	noun.substance	2	0	2	2	2	29
14	earth	1:17:00::	1	noun.object	2	0	0	2	2	30
19	Earth	1:17:00::	1	noun.object	2	0	0	2	2	31
16	Earth	1:17:00::	1	noun.object	2	0	0	2	2	32
30	earth	1:17:00::	1	noun.object	2	0	0	2	2	33
14	earth	1:17:00::	1	noun.object	2	0	0	2	2	34
26	earth	1:17:01::	3	noun.object	2	0	0	0	2	35
35	earth	1:17:00::	1	noun.object	2	0	0	0	2	36
7	earth	1:17:01::	3	noun.object	2	0	0	0	2	37
7	earth	1:17:00::	1	noun.object	2	0	0	0	2	38
20	earth	1:17:01::	3	noun.object	2	0	0	0	2	39
21	earth	1:17:00::	1	noun.object	2	0	0	0	2	40
12	Earth	1:17:00::	1	noun.object	2	0	0	0	2	41
14	Earth	1:17:00::	1	noun.object	2	0	0	0	2	42
2	earth	1:27:00::	2	noun.substance	2	0	0	0	2	43
6	Earth	1:17:00::	1	noun.object	2	0	0	0	2	44
4	earth	1:17:01::	3	noun.object	2	0	0	0	0	45
6	Earth	1:17:00::	1	noun.object	2	0	0	0	0	46
8	Earth	1:17:00::	1	noun.object	2	0	0	0	0	47
10	earth	1:27:00::	2	noun.substance	2	0	0	0	0	48
22	earth	1:27:00::	2	noun.substance	2	0	0	0	0	49
