position	word	lexsn	wnsn	supersense	X25	X3	X5	X10	X20	index
28	easier	3:00:01::	1	adj.all	1	1	1	1	1	0
5	easy	3:00:01::	1	adj.all	1	1	1	1	1	1
4	easy	3:00:01::	1	adj.all	1	1	1	1	1	2
3	easy	3:00:01::	1	adj.all	1	0	1	1	1	3
15	easy	3:00:01::	1	adj.all	1	0	1	1	1	4
37	easy	3:00:01::	1	adj.all	1	0	0	1	1	5
6	easier	3:00:01::	1	adj.all	1	0	0	1	1	6
19	easiest	3:00:01::	1	adj.all	1	0	0	1	1	7
11	easier	3:00:01::	1	adj.all	1	0	0	1	1	8
4	easy	3:00:01::	1	adj.all	1	0	0	1	1	9
14	easy	3:00:01::	1	adj.all	1	0	0	0	1	10
4	easy	5:00:00:unhurried:00	2	adj.all	1	0	0	0	1	11
6	easy	3:00:01::	1	adj.all	1	0	0	0	1	12
6	easy	3:00:01::	1	adj.all	1	0	0	0	1	13
9	easy	3:00:01::	1	adj.all	1	0	0	0	1	14
6	easy	3:00:01::	1	adj.all	1	0	0	0	1	15
8	easy	3:00:02::	3	adj.all	1	0	0	0	1	16
20	easiest	3:00:01::	1	adj.all	1	0	0	0	1	17
51	easy	3:00:01::	1	adj.all	1	0	0	0	1	18
6	easy	3:00:01::	1	adj.all	1	0	0	0	1	19
33	easier	3:00:01::	1	adj.all	1	0	0	0	0	20
4	easy	3:00:01::	1	adj.all	1	0	0	0	0	21
6	easy	3:00:01::	1	adj.all	1	0	0	0	0	22
7	easier	3:00:01::	1	adj.all	1	0	0	0	0	23
27	easy	3:00:01::	1	adj.all	1	0	0	0	0	24
9	easy	3:00:01::	1	adj.all	2	2	2	2	2	25
12	easier	3:00:01::	1	adj.all	2	2	2	2	2	26
3	easy	3:00:01::	1	adj.all	2	2	2	2	2	27
24	easy	3:00:01::	1	adj.all	2	0	2	2	2	28
1	easy	5:00:00:pleasing:00	4	adj.all	2	0	2	2	2	29
16	easy	3:00:01::	1	adj.all	2	0	0	2	2	30
3	easy	3:00:01::	1	adj.all	2	0	0	2	2	31
5	easy	3:00:01::	1	adj.all	2	0	0	2	2	32
22	easier	3:00:01::	1	adj.all	2	0	0	2	2	33
2	easier	5:00:00:unhurried:00	2	adj.all	2	0	0	2	2	34
19	easy	3:00:01::	1	adj.all	2	0	0	0	2	35
6	easy	3:00:01::	1	adj.all	2	0	0	0	2	36
4	easy	3:00:01::	1	adj.all	2	0	0	0	2	37
16	easy	3:00:01::	1	adj.all	2	0	0	0	2	38
4	easy	3:00:01::	1	adj.all	2	0	0	0	2	39
2	easier	3:00:01::	1	adj.all	2	0	0	0	2	40
11	easier	3:00:01::	1	adj.all	2	0	0	0	2	41
3	easy	3:00:01::	1	adj.all	2	0	0	0	2	42
4	easy	3:00:01::	1	adj.all	2	0	0	0	2	43
2	easy	3:00:01::	1	adj.all	2	0	0	0	2	44
1	easiest	3:00:01::	1	adj.all	2	0	0	0	0	45
11	easy	5:00:00:unhurried:00	2	adj.all	2	0	0	0	0	46
6	easy	3:00:01::	1	adj.all	2	0	0	0	0	47
4	easier	3:00:01::	1	adj.all	2	0	0	0	0	48
3	easy	3:00:01::	1	adj.all	2	0	0	0	0	49
