position	word	lexsn	wnsn	supersense	X25	X3	X5	X10	X20	index
4	eat	2:34:00::	1	verb.consumption	1	1	1	1	1	0
31	ate	2:34:01::	2	verb.consumption	1	1	1	1	1	1
23	eat	2:34:00::	1	verb.consumption	1	1	1	1	1	2
12	eating	2:34:00::	1	verb.consumption	1	0	1	1	1	3
1	eat	2:34:00::	1	verb.consumption	1	0	1	1	1	4
13	eat	2:34:00::	1	verb.consumption	1	0	0	1	1	5
9	eat	2:34:01::	2	verb.consumption	1	0	0	1	1	6
5	eat	2:34:00::	1	verb.consumption	1	0	0	1	1	7
9	eat	2:34:00::	1	verb.consumption	1	0	0	1	1	8
10	ate	2:34:00::	1	verb.consumption	1	0	0	1	1	9
12	eat	2:34:00::	1	verb.consumption	1	0	0	0	1	10
20	eating	2:34:00::	1	verb.consumption	1	0	0	0	1	11
13	eat	2:34:01::	2	verb.consumption	1	0	0	0	1	12
38	eat	2:34:00::	1	verb.consumption	1	0	0	0	1	13
13	eating	2:34:00::	1	verb.consumption	1	0	0	0	1	14
4	eating	2:34:00::	1	verb.consumption	1	0	0	0	1	15
1	ate	2:34:00::	1	verb.consumption	1	0	0	0	1	16
16	eat	2:34:00::	1	verb.consumption	1	0	0	0	1	17
0	Eat	2:34:01::	2	verb.consumption	1	0	0	0	1	18
13	eat	2:34:00::	1	verb.consumption	1	0	0	0	1	19
14	eat	2:34:00::	1	verb.consumption	1	0	0	0	0	20
1	ate	2:34:01::	2	verb.consumption	1	0	0	0	0	21
27	eaten	2:34:00::	1	verb.consumption	1	0	0	0	0	22
1	eat	2:34:00::	1	verb.consumption	1	0	0	0	0	23
37	eat	2:34:00::	1	verb.consumption	1	0	0	0	0	24
18	eat	2:34:00::	1	verb.consumption	2	2	2	2	2	25
12	eat	2:34:00::	1	verb.consumption	2	2	2	2	2	26
1	ate	2:34:00::	1	verb.consumption	2	2	2	2	2	27
1	ate	2:34:01::	2	verb.consumption	2	0	2	2	2	28
5	eat	2:34:00::	1	verb.consumption	2	0	2	2	2	29
7	eaten	2:34:00::	1	verb.consumption	2	0	0	2	2	30
7	eating	2:34:00::	1	verb.consumption	2	0	0	2	2	31
22	eat	2:34:00::	1	verb.consumption	2	0	0	2	2	32
1	eat	2:34:00::	1	verb.consumption	2	0	0	2	2	33
19	eat	2:34:00::	1	verb.consumption	2	0	0	2	2	34
15	eating	2:34:00::	1	verb.consumption	2	0	0	0	2	35
21	eat	2:34:01::	2	verb.consumption	2	0	0	0	2	36
11	eating	2:34:00::	1	verb.consumption	2	0	0	0	2	37
41	eating	2:34:00::	1	verb.consumption	2	0	0	0	2	38
18	eat	2:34:02::	3	verb.consumption	2	0	0	0	2	39
4	eating	2:34:00::	1	verb.consumption	2	0	0	0	2	40
19	eating	2:34:00::	1	verb.consumption	2	0	0	0	2	41
15	eat	2:34:00::	1	verb.consumption	2	0	0	0	2	42
11	eat	2:34:02::	3	verb.consumption	2	0	0	0	2	43
21	eating	2:34:00::	1	verb.consumption	2	0	0	0	2	44
36	eat	2:34:01::	2	verb.consumption	2	0	0	0	0	45
7	eaten	2:34:00::	1	verb.consumption	2	0	0	0	0	46
22	eat	2:34:00::	1	verb.consumption	2	0	0	0	0	47
15	eaten	2:34:01::	2	verb.consumption	2	0	0	0	0	48
2	eat	2:34:00::	1	verb.consumption	2	0	0	0	0	49
