position	word	lexsn	wnsn	supersense	X25	X3	X5	X10	X20	index
39	economic	3:01:01::	1	adj.pert	1	1	1	1	1	0
1	economic	3:01:01::	1	adj.pert	1	1	1	1	1	1
1	economic	3:01:01::	1	adj.pert	1	1	1	1	1	2
19	economic	3:01:01::	1	adj.pert	1	0	1	1	1	3
18	economic	3:01:00::	2	adj.pert	1	0	1	1	1	4
3	economic	5:00:00:efficient:00	3	adj.all	1	0	0	1	1	5
34	economic	3:01:01::	1	adj.pert	1	0	0	1	1	6
15	economic	3:01:01::	1	adj.pert	1	0	0	1	1	7
0	economic	3:01:01::	1	adj.pert	1	0	0	1	1	8
79	economic	3:01:01::	1	adj.pert	1	0	0	1	1	9
2	economic	3:01:00::	2	adj.pert	1	0	0	0	1	10
21	economic	3:01:01::	1	adj.pert	1	0	0	0	1	11
5	economic	3:01:01::	1	adj.pert	1	0	0	0	1	12
32	economic	3:01:01::	1	adj.pert	1	0	0	0	1	13
22	economic	3:01:01::	1	adj.pert	1	0	0	0	1	14
28	economic	3:01:01::	1	adj.pert	1	0	0	0	1	15
30	economic	3:01:01::	1	adj.pert	1	0	0	0	1	16
40	economic	3:01:01::	1	adj.pert	1	0	0	0	1	17
19	economic	3:01:01::	1	adj.pert	1	0	0	0	1	18
66	economic	3:01:01::	1	adj.pert	1	0	0	0	1	19
9	economic	3:01:01::	1	adj.pert	1	0	0	0	0	20
16	economic	3:01:01::	1	adj.pert	1	0	0	0	0	21
26	economic	3:01:01::	1	adj.pert	1	0	0	0	0	22
10	economic	3:01:01::	1	adj.pert	1	0	0	0	0	23
16	economic	3:01:01::	1	adj.pert	1	0	0	0	0	24
24	economic	3:01:01::	1	adj.pert	2	2	2	2	2	25
16	economic	3:01:01::	1	adj.pert	2	2	2	2	2	26
47	economic	3:01:01::	1	adj.pert	2	2	2	2	2	27
0	Economic	3:01:01::	1	adj.pert	2	0	2	2	2	28
11	economic	3:01:01::	1	adj.pert	2	0	2	2	2	29
13	economic	3:01:01::	1	adj.pert	2	0	0	2	2	30
11	economic	3:01:00::	2	adj.pert	2	0	0	2	2	31
16	economic	3:01:01::	1	adj.pert	2	0	0	2	2	32
45	economic	3:01:01::	1	adj.pert	2	0	0	2	2	33
18	economic	3:01:01::	1	adj.pert	2	0	0	2	2	34
7	economic	3:01:01::	1	adj.pert	2	0	0	0	2	35
8	economic	3:01:01::	1	adj.pert	2	0	0	0	2	36
11	economic	3:01:01::	1	adj.pert	2	0	0	0	2	37
24	economic	3:01:01::	1	adj.pert	2	0	0	0	2	38
26	economic	3:01:01::	1	adj.pert	2	0	0	0	2	39
13	economic	3:01:01::	1	adj.pert	2	0	0	0	2	40
22	economic	3:01:01::	1	adj.pert	2	0	0	0	2	41
7	economic	3:01:01::	1	adj.pert	2	0	0	0	2	42
3	economic	3:01:01::	1	adj.pert	2	0	0	0	2	43
16	economic	3:01:01::	1	adj.pert	2	0	0	0	2	44
46	economic	3:01:01::	1	adj.pert	2	0	0	0	0	45
24	economic	3:01:01::	1	adj.pert	2	0	0	0	0	46
10	economic	3:01:01::	1	adj.pert	2	0	0	0	0	47
21	economic	3:01:00::	2	adj.pert	2	0	0	0	0	48
16	economic	3:01:01::	1	adj.pert	2	0	0	0	0	49
