position	word	lexsn	wnsn	supersense	X25	X3	X5	X10	X20	index
21	education	1:04:00::	1	noun.act	1	1	1	1	1	0
10	education	1:04:00::	1	noun.act	1	1	1	1	1	1
20	education	1:04:00::	1	noun.act	1	1	1	1	1	2
37	Education	1:04:00::	1	noun.act	1	0	1	1	1	3
7	education	1:04:00::	1	noun.act	1	0	1	1	1	4
34	education	1:09:00::	2	noun.cognition	1	0	0	1	1	5
15	education	1:04:00::	1	noun.act	1	0	0	1	1	6
13	education	1:09:01::	3	noun.cognition	1	0	0	1	1	7
5	education	1:04:00::	1	noun.act	1	0	0	1	1	8
20	Education	1:09:01::	3	noun.cognition	1	0	0	1	1	9
24	education	1:07:01::	5	noun.attribute	1	0	0	0	1	10
18	education	1:04:00::	1	noun.act	1	0	0	0	1	11
6	education	1:09:00::	2	noun.cognition	1	0	0	0	1	12
12	education	1:04:00::	1	noun.act	1	0	0	0	1	13
11	education	1:04:00::	1	noun.act	1	0	0	0	1	14
3	education	1:04:00::	1	noun.act	1	0	0	0	1	15
3	education	1:04:00::	1	noun.act	1	0	0	0	1	16
11	education	1:09:00::	2	noun.cognition	1	0	0	0	1	17
16	education	1:04:00::	1	noun.act	1	0	0	0	1	18
12	education	1:04:01::	4	noun.act	1	0	0	0	1	19
14	education	1:04:00::	1	noun.act	1	0	0	0	0	20
14	education	1:04:00::	1	noun.act	1	0	0	0	0	21
5	education	1:04:00::	1	noun.act	1	0	0	0	0	22
23	education	1:04:00::	1	noun.act	1	0	0	0	0	23
18	education	1:04:00::	1	noun.act	1	0	0	0	0	24
14	education	1:09:00::	2	noun.cognition	2	2	2	2	2	25
11	education	1:04:00::	1	noun.act	2	2	2	2	2	26
6	education	1:04:00::	1	noun.act	2	2	2	2	2	27
18	education	1:04:00::	1	noun.act	2	0	2	2	2	28
3	education	1:04:00::	1	noun.act	2	0	2	2	2	29
8	education	1:04:01::	4	noun.act	2	0	0	2	2	30
14	education	1:04:01::	4	noun.act	2	0	0	2	2	31
9	education	1:04:00::	1	noun.act	2	0	0	2	2	32
26	education	1:04:00::	1	noun.act	2	0	0	2	2	33
29	Education	1:04:00::	1	noun.act	2	0	0	2	2	34
7	education	1:04:00::	1	noun.act	2	0	0	0	2	35
6	education	1:04:00::	1	noun.act	2	0	0	0	2	36
7	education	1:09:00::	2	noun.cognition	2	0	0	0	2	37
11	education	1:09:00::	2	noun.cognition	2	0	0	0	2	38
46	education	1:09:00::	2	noun.cognition	2	0	0	0	2	39
22	education	1:04:00::	1	noun.act	2	0	0	0	2	40
10	Education	1:09:01::	3	noun.cognition	2	0	0	0	2	41
15	education	1:04:00::	1	noun.act	2	0	0	0	2	42
11	education	1:04:00::	1	noun.act	2	0	0	0	2	43
5	education	1:09:01::	3	noun.cognition	2	0	0	0	2	44
31	education	1:04:01::	4	noun.act	2	0	0	0	0	45
6	education	1:04:00::	1	noun.act	2	0	0	0	0	46
22	education	1:09:00::	2	noun.cognition	2	0	0	0	0	47
51	education	1:09:00::	2	noun.cognition	2	0	0	0	0	48
19	education	1:04:01::	4	noun.act	2	0	0	0	0	49
