position	word	lexsn	wnsn	supersense	X25	X3	X5	X10	X20	index
2	effect	1:19:00::	1	noun.phenomenon	1	1	1	1	1	0
32	effect	1:19:00::	1	noun.phenomenon	1	1	1	1	1	1
2	effect	1:19:00::	1	noun.phenomenon	1	1	1	1	1	2
4	effect	1:19:00::	1	noun.phenomenon	1	0	1	1	1	3
1	effects	1:19:00::	1	noun.phenomenon	1	0	1	1	1	4
2	effect	1:19:00::	1	noun.phenomenon	1	0	0	1	1	5
15	effect	1:19:00::	1	noun.phenomenon	1	0	0	1	1	6
25	effect	1:19:00::	1	noun.phenomenon	1	0	0	1	1	7
26	effect	1:19:00::	1	noun.phenomenon	1	0	0	1	1	8
19	effects	1:19:00::	1	noun.phenomenon	1	0	0	1	1	9
9	effects	1:19:00::	1	noun.phenomenon	1	0	0	0	1	10
9	effects	1:19:00::	1	noun.phenomenon	1	0	0	0	1	11
23	effect	1:09:00::	3	noun.cognition	1	0	0	0	1	12
32	ee-faket	1:07:01::	5	noun.attribute	1	0	0	0	1	13
31	effects	1:19:00::	1	noun.phenomenon	1	0	0	0	1	14
31	effects	1:09:00::	3	noun.cognition	1	0	0	0	1	15
18	effect	1:19:00::	1	noun.phenomenon	1	0	0	0	1	16
15	effect	1:19:00::	1	noun.phenomenon	1	0	0	0	1	17
7	effect	1:09:00::	3	noun.cognition	1	0	0	0	1	18
38	effects	1:19:00::	1	noun.phenomenon	1	0	0	0	1	19
15	effects	1:19:00::	1	noun.phenomenon	1	0	0	0	0	20
11	effects	1:19:00::	1	noun.phenomenon	1	0	0	0	0	21
6	effects	1:19:00::	1	noun.phenomenon	1	0	0	0	0	22
53	effect	1:19:00::	1	noun.phenomenon	1	0	0	0	0	23
6	effects	1:19:00::	1	noun.phenomenon	1	0	0	0	0	24
1	effect	1:19:00::	1	noun.phenomenon	2	2	2	2	2	25
2	effect	1:19:00::	1	noun.phenomenon	2	2	2	2	2	26
57	effects	1:19:00::	1	noun.phenomenon	2	2	2	2	2	27
24	effect	1:07:00::	2	noun.attribute	2	0	2	2	2	28
1	effect	1:19:00::	1	noun.phenomenon	2	0	2	2	2	29
16	effect	1:19:00::	1	noun.phenomenon	2	0	0	2	2	30
19	effects	1:19:00::	1	noun.phenomenon	2	0	0	2	2	31
4	effects	1:19:00::	1	noun.phenomenon	2	0	0	2	2	32
7	effects	1:19:00::	1	noun.phenomenon	2	0	0	2	2	33
2	effect	1:19:00::	1	noun.phenomenon	2	0	0	2	2	34
22	effect	1:07:00::	2	noun.attribute	2	0	0	0	2	35
52	effects	1:19:00::	1	noun.phenomenon	2	0	0	0	2	36
4	effect	1:19:00::	1	noun.phenomenon	2	0	0	0	2	37
1	effect	1:09:00::	3	noun.cognition	2	0	0	0	2	38
25	effect	1:19:00::	1	noun.phenomenon	2	0	0	0	2	39
5	effects	1:19:00::	1	noun.phenomenon	2	0	0	0	2	40
17	effect	1:19:00::	1	noun.phenomenon	2	0	0	0	2	41
5	effects	1:19:00::	1	noun.phenomenon	2	0	0	0	2	42
4	effect	1:19:00::	1	noun.phenomenon	2	0	0	0	2	43
18	effects	1:19:00::	1	noun.phenomenon	2	0	0	0	2	44
5	effect	1:19:00::	1	noun.phenomenon	2	0	0	0	0	45
2	effect	1:19:00::	1	noun.phenomenon	2	0	0	0	0	46
71	effect	1:19:00::	1	noun.phenomenon	2	0	0	0	0	47
32	effects	1:19:00::	1	noun.phenomenon	2	0	0	0	0	48
8	effects	1:19:00::	1	noun.phenomenon	2	0	0	0	0	49
