position	word	lexsn	wnsn	supersense	X25	X3	X5	X10	X20	index
32	effective	5:00:00:competent:00	2	adj.all	1	1	1	1	1	0
6	effective	3:00:00::	1	adj.all	1	1	1	1	1	1
33	effective	5:00:00:efficacious:00	3	adj.all	1	1	1	1	1	2
8	effective	5:00:00:efficacious:00	3	adj.all	1	0	1	1	1	3
11	effective	3:00:00::	1	adj.all	1	0	1	1	1	4
5	effective	3:00:00::	1	adj.all	1	0	0	1	1	5
27	effective	5:00:00:operative:00	4	adj.all	1	0	0	1	1	6
31	effective	3:00:00::	1	adj.all	1	0	0	1	1	7
7	effective	3:00:00::	1	adj.all	1	0	0	1	1	8
21	effective	3:00:00::	1	adj.all	1	0	0	1	1	9
4	effective	5:00:00:competent:00	2	adj.all	1	0	0	0	1	10
3	effective	5:00:00:competent:00	2	adj.all	1	0	0	0	1	11
2	effective	3:00:00::	1	adj.all	1	0	0	0	1	12
11	effective	3:00:00::	1	adj.all	1	0	0	0	1	13
6	effective	5:00:00:efficacious:00	3	adj.all	1	0	0	0	1	14
8	effective	3:00:00::	1	adj.all	1	0	0	0	1	15
2	effective	5:00:00:competent:00	2	adj.all	1	0	0	0	1	16
13	effective	5:00:00:operative:00	4	adj.all	1	0	0	0	1	17
23	effective	5:00:00:competent:00	2	adj.all	1	0	0	0	1	18
46	effective	3:00:00::	1	adj.all	1	0	0	0	1	19
17	effective	3:00:00::	1	adj.all	1	0	0	0	0	20
8	effective	3:00:00::	1	adj.all	1	0	0	0	0	21
11	effective	5:00:00:efficacious:00	3	adj.all	1	0	0	0	0	22
4	effective	3:00:00::	1	adj.all	1	0	0	0	0	23
41	effective	3:00:00::	1	adj.all	1	0	0	0	0	24
210	effective	5:00:00:competent:00	2	adj.all	2	2	2	2	2	25
8	effective	5:00:00:competent:00	2	adj.all	2	2	2	2	2	26
3	effective	3:00:00::	1	adj.all	2	2	2	2	2	27
2	effective	5:00:00:competent:00	2	adj.all	2	0	2	2	2	28
42	effective	5:00:00:efficacious:00	3	adj.all	2	0	2	2	2	29
14	effective	3:00:00::	1	adj.all	2	0	0	2	2	30
7	effective	5:00:00:operative:00	4	adj.all	2	0	0	2	2	31
23	effective	3:00:00::	1	adj.all	2	0	0	2	2	32
14	effective	3:00:00::	1	adj.all	2	0	0	2	2	33
3	effective	5:00:00:competent:00	2	adj.all	2	0	0	2	2	34
15	effective	3:00:00::	1	adj.all	2	0	0	0	2	35
28	effective	3:00:00::	1	adj.all	2	0	0	0	2	36
4	effective	3:00:00::	1	adj.all	2	0	0	0	2	37
29	effective	5:00:00:competent:00	2	adj.all	2	0	0	0	2	38
41	effective	3:00:00::	1	adj.all	2	0	0	0	2	39
16	effective	3:00:00::	1	adj.all	2	0	0	0	2	40
15	effective	5:00:00:competent:00	2	adj.all	2	0	0	0	2	41
13	effective	3:00:00::	1	adj.all	2	0	0	0	2	42
42	effective	5:00:00:efficacious:00	3	adj.all	2	0	0	0	2	43
12	effective	5:00:00:actual:00	5	adj.all	2	0	0	0	2	44
22	effective	5:00:00:competent:00	2	adj.all	2	0	0	0	0	45
45	effective	3:00:00::	1	adj.all	2	0	0	0	0	46
3	effective	3:00:00::	1	adj.all	2	0	0	0	0	47
44	effective	5:00:00:operative:00	4	adj.all	2	0	0	0	0	48
3	effective	3:00:00::	1	adj.all	2	0	0	0	0	49
