position	word	lexsn	wnsn	supersense	X25	X3	X5	X10	X20	index
35	efforts	1:04:00::	1	noun.act	1	1	1	1	1	0
8	effort	1:04:00::	1	noun.act	1	1	1	1	1	1
3	effort	1:04:00::	1	noun.act	1	1	1	1	1	2
13	efforts	1:04:00::	1	noun.act	1	0	1	1	1	3
12	effort	1:04:00::	1	noun.act	1	0	1	1	1	4
5	effort	1:04:01::	2	noun.act	1	0	0	1	1	5
3	effort	1:04:00::	1	noun.act	1	0	0	1	1	6
8	effort	1:04:00::	1	noun.act	1	0	0	1	1	7
19	efforts	1:04:00::	1	noun.act	1	0	0	1	1	8
5	effort	1:04:01::	2	noun.act	1	0	0	1	1	9
2	efforts	1:04:00::	1	noun.act	1	0	0	0	1	10
27	efforts	1:04:00::	1	noun.act	1	0	0	0	1	11
16	effort	1:04:01::	2	noun.act	1	0	0	0	1	12
19	effort	1:04:00::	1	noun.act	1	0	0	0	1	13
31	efforts	1:04:00::	1	noun.act	1	0	0	0	1	14
28	efforts	1:04:00::	1	noun.act	1	0	0	0	1	15
7	efforts	1:04:00::	1	noun.act	1	0	0	0	1	16
4	efforts	1:04:00::	1	noun.act	1	0	0	0	1	17
21	efforts	1:04:00::	1	noun.act	1	0	0	0	1	18
24	effort	1:04:00::	1	noun.act	1	0	0	0	1	19
28	effort	1:04:00::	1	noun.act	1	0	0	0	0	20
3	effort	1:04:00::	1	noun.act	1	0	0	0	0	21
6	effort	1:04:01::	2	noun.act	1	0	0	0	0	22
15	effort	1:04:00::	1	noun.act	1	0	0	0	0	23
13	effort	1:04:00::	1	noun.act	1	0	0	0	0	24
6	effort	1:04:00::	1	noun.act	2	2	2	2	2	25
18	effort	1:04:00::	1	noun.act	2	2	2	2	2	26
2	effort	1:04:02::	3	noun.act	2	2	2	2	2	27
14	effort	1:04:00::	1	noun.act	2	0	2	2	2	28
1	effort	1:04:00::	1	noun.act	2	0	2	2	2	29
91	efforts	1:04:00::	1	noun.act	2	0	0	2	2	30
27	effort	1:04:01::	2	noun.act	2	0	0	2	2	31
2	efforts	1:04:00::	1	noun.act	2	0	0	2	2	32
0	Efforts	1:04:00::	1	noun.act	2	0	0	2	2	33
8	efforts	1:04:00::	1	noun.act	2	0	0	2	2	34
55	effort	1:04:00::	1	noun.act	2	0	0	0	2	35
5	efforts	1:04:00::	1	noun.act	2	0	0	0	2	36
1	effort	1:04:00::	1	noun.act	2	0	0	0	2	37
34	efforts	1:04:00::	1	noun.act	2	0	0	0	2	38
19	efforts	1:04:00::	1	noun.act	2	0	0	0	2	39
2	effort	1:04:00::	1	noun.act	2	0	0	0	2	40
13	effort	1:04:00::	1	noun.act	2	0	0	0	2	41
24	effort	1:04:00::	1	noun.act	2	0	0	0	2	42
1	effort	1:04:00::	1	noun.act	2	0	0	0	2	43
13	effort	1:04:00::	1	noun.act	2	0	0	0	2	44
28	effort	1:04:00::	1	noun.act	2	0	0	0	0	45
1	efforts	1:04:00::	1	noun.act	2	0	0	0	0	46
3	efforts	1:04:00::	1	noun.act	2	0	0	0	0	47
33	efforts	1:04:00::	1	noun.act	2	0	0	0	0	48
16	effort	1:04:00::	1	noun.act	2	0	0	0	0	49
