position	word	lexsn	wnsn	supersense	X25	X3	X5	X10	X20	index
10	elections	1:04:01::	1	noun.act	1	1	1	1	1	0
9	elections	1:04:01::	1	noun.act	1	1	1	1	1	1
23	election	1:04:01::	1	noun.act	1	1	1	1	1	2
25	election	1:04:01::	1	noun.act	1	0	1	1	1	3
6	election	1:04:01::	1	noun.act	1	0	1	1	1	4
2	election	1:04:01::	1	noun.act	1	0	0	1	1	5
17	elections	1:04:01::	1	noun.act	1	0	0	1	1	6
15	elections	1:04:01::	1	noun.act	1	0	0	1	1	7
5	elections	1:04:01::	1	noun.act	1	0	0	1	1	8
8	elections	1:04:01::	1	noun.act	1	0	0	1	1	9
4	elections	1:04:01::	1	noun.act	1	0	0	0	1	10
22	elections	1:04:01::	1	noun.act	1	0	0	0	1	11
5	election	1:04:01::	1	noun.act	1	0	0	0	1	12
20	elections	1:04:01::	1	noun.act	1	0	0	0	1	13
27	election	1:04:01::	1	noun.act	1	0	0	0	1	14
11	elections	1:04:01::	1	noun.act	1	0	0	0	1	15
6	elections	1:04:01::	1	noun.act	1	0	0	0	1	16
19	election	1:04:01::	1	noun.act	1	0	0	0	1	17
12	elections	1:04:01::	1	noun.act	1	0	0	0	1	18
32	elections	1:04:01::	1	noun.act	1	0	0	0	1	19
19	elections	1:04:01::	1	noun.act	1	0	0	0	0	20
10	elections	1:04:01::	1	noun.act	1	0	0	0	0	21
12	elections	1:04:01::	1	noun.act	1	0	0	0	0	22
10	election	1:04:01::	1	noun.act	1	0	0	0	0	23
9	election	1:04:01::	1	noun.act	1	0	0	0	0	24
17	election	1:04:01::	1	noun.act	2	2	2	2	2	25
7	elections	1:04:01::	1	noun.act	2	2	2	2	2	26
2	elections	1:04:01::	1	noun.act	2	2	2	2	2	27
40	elections	1:04:01::	1	noun.act	2	0	2	2	2	28
4	elections	1:04:01::	1	noun.act	2	0	2	2	2	29
11	elections	1:04:01::	1	noun.act	2	0	0	2	2	30
29	elections	1:04:01::	1	noun.act	2	0	0	2	2	31
7	election	1:04:01::	1	noun.act	2	0	0	2	2	32
12	elections	1:04:01::	1	noun.act	2	0	0	2	2	33
18	election	1:04:01::	1	noun.act	2	0	0	2	2	34
25	election	1:04:01::	1	noun.act	2	0	0	0	2	35
14	elections	1:04:01::	1	noun.act	2	0	0	0	2	36
31	elections	1:04:01::	1	noun.act	2	0	0	0	2	37
10	elections	1:04:01::	1	noun.act	2	0	0	0	2	38
7	election	1:04:01::	1	noun.act	2	0	0	0	2	39
23	elections	1:04:01::	1	noun.act	2	0	0	0	2	40
10	elections	1:04:01::	1	noun.act	2	0	0	0	2	41
2	elections	1:04:01::	1	noun.act	2	0	0	0	2	42
6	election	1:04:01::	1	noun.act	2	0	0	0	2	43
4	election	1:04:01::	1	noun.act	2	0	0	0	2	44
12	election	1:04:01::	1	noun.act	2	0	0	0	0	45
14	election	1:04:01::	1	noun.act	2	0	0	0	0	46
13	elections	1:04:01::	1	noun.act	2	0	0	0	0	47
9	election	1:04:01::	1	noun.act	2	0	0	0	0	48
24	election	1:04:00::	2	noun.act	2	0	0	0	0	49
