position	word	lexsn	wnsn	supersense	X25	X3	X5	X10	X20	index
15	eliminated	2:30:01::	1	verb.change	1	1	1	1	1	0
30	eliminate	2:30:01::	1	verb.change	1	1	1	1	1	1
14	eliminated	2:42:01::	2	verb.stative	1	1	1	1	1	2
13	eliminating	2:30:01::	1	verb.change	1	0	1	1	1	3
52	eliminating	2:42:01::	2	verb.stative	1	0	1	1	1	4
33	eliminate	2:30:01::	1	verb.change	1	0	0	1	1	5
7	eliminated	2:30:01::	1	verb.change	1	0	0	1	1	6
25	eliminating	2:30:01::	1	verb.change	1	0	0	1	1	7
11	eliminated	2:30:01::	1	verb.change	1	0	0	1	1	8
18	eliminated	2:30:01::	1	verb.change	1	0	0	1	1	9
3	eliminates	2:30:01::	1	verb.change	1	0	0	0	1	10
28	eliminated	2:30:01::	1	verb.change	1	0	0	0	1	11
21	eliminated	2:29:00::	5	verb.body	1	0	0	0	1	12
31	eliminate	2:30:01::	1	verb.change	1	0	0	0	1	13
10	eliminate	2:30:01::	1	verb.change	1	0	0	0	1	14
14	eliminate	2:30:01::	1	verb.change	1	0	0	0	1	15
9	eliminate	2:42:01::	2	verb.stative	1	0	0	0	1	16
3	eliminating	2:42:01::	2	verb.stative	1	0	0	0	1	17
19	eliminated	2:30:01::	1	verb.change	1	0	0	0	1	18
6	eliminate	2:30:01::	1	verb.change	1	0	0	0	1	19
13	eliminate	2:30:01::	1	verb.change	1	0	0	0	0	20
14	eliminating	2:30:01::	1	verb.change	1	0	0	0	0	21
22	eliminate	2:30:01::	1	verb.change	1	0	0	0	0	22
36	eliminating	2:30:00::	3	verb.change	1	0	0	0	0	23
10	eliminating	2:30:01::	1	verb.change	1	0	0	0	0	24
10	eliminating	2:30:01::	1	verb.change	2	2	2	2	2	25
16	eliminated	2:42:01::	2	verb.stative	2	2	2	2	2	26
13	eliminate	2:30:01::	1	verb.change	2	2	2	2	2	27
8	eliminated	2:30:01::	1	verb.change	2	0	2	2	2	28
12	eliminate	2:30:01::	1	verb.change	2	0	2	2	2	29
26	eliminate	2:30:01::	1	verb.change	2	0	0	2	2	30
27	eliminated	2:30:01::	1	verb.change	2	0	0	2	2	31
9	eliminating	2:30:01::	1	verb.change	2	0	0	2	2	32
9	eliminate	2:42:01::	2	verb.stative	2	0	0	2	2	33
21	eliminating	2:30:01::	1	verb.change	2	0	0	2	2	34
32	eliminate	2:30:01::	1	verb.change	2	0	0	0	2	35
36	eliminating	2:30:01::	1	verb.change	2	0	0	0	2	36
21	eliminated	2:30:01::	1	verb.change	2	0	0	0	2	37
0	Eliminating	2:30:01::	1	verb.change	2	0	0	0	2	38
5	eliminated	2:30:01::	1	verb.change	2	0	0	0	2	39
14	eliminating	2:42:01::	2	verb.stative	2	0	0	0	2	40
17	eliminated	2:30:01::	1	verb.change	2	0	0	0	2	41
4	eliminated	2:31:00::	4	verb.cognition	2	0	0	0	2	42
10	eliminate	2:30:01::	1	verb.change	2	0	0	0	2	43
22	eliminating	2:30:01::	1	verb.change	2	0	0	0	2	44
6	eliminate	2:42:01::	2	verb.stative	2	0	0	0	0	45
1	eliminated	2:30:01::	1	verb.change	2	0	0	0	0	46
23	eliminates	2:42:01::	2	verb.stative	2	0	0	0	0	47
15	eliminates	2:42:01::	2	verb.stative	2	0	0	0	0	48
9	eliminate	2:30:01::	1	verb.change	2	0	0	0	0	49
