position	word	lexsn	wnsn	supersense	X25	X3	X5	X10	X20	index
4	employed	2:34:00::	1	verb.consumption	1	1	1	1	1	0
13	employed	2:34:00::	1	verb.consumption	1	1	1	1	1	1
52	employed	2:34:00::	1	verb.consumption	1	1	1	1	1	2
2	employing	2:34:00::	1	verb.consumption	1	0	1	1	1	3
16	employed	2:34:00::	1	verb.consumption	1	0	1	1	1	4
7	employed	2:34:00::	1	verb.consumption	1	0	0	1	1	5
18	employed	2:41:00::	2	verb.social	1	0	0	1	1	6
14	employ	2:34:00::	1	verb.consumption	1	0	0	1	1	7
7	employing	2:34:00::	1	verb.consumption	1	0	0	1	1	8
23	employed	2:34:00::	1	verb.consumption	1	0	0	1	1	9
24	employed	2:34:00::	1	verb.consumption	1	0	0	0	1	10
8	employed	2:34:00::	1	verb.consumption	1	0	0	0	1	11
18	employed	2:41:00::	2	verb.social	1	0	0	0	1	12
4	employed	2:34:00::	1	verb.consumption	1	0	0	0	1	13
6	employed	2:41:00::	2	verb.social	1	0	0	0	1	14
8	employs	2:34:00::	1	verb.consumption	1	0	0	0	1	15
4	employs	2:34:00::	1	verb.consumption	1	0	0	0	1	16
15	employed	2:34:00::	1	verb.consumption	1	0	0	0	1	17
15	employ	2:34:00::	1	verb.consumption	1	0	0	0	1	18
23	employing	2:34:00::	1	verb.consumption	1	0	0	0	1	19
10	employing	2:34:00::	1	verb.consumption	1	0	0	0	0	20
5	employ	2:34:00::	1	verb.consumption	1	0	0	0	0	21
44	employed	2:41:00::	2	verb.social	1	0	0	0	0	22
15	employed	2:41:00::	2	verb.social	1	0	0	0	0	23
3	employs	2:34:00::	1	verb.consumption	1	0	0	0	0	24
38	employed	2:41:00::	2	verb.social	2	2	2	2	2	25
6	employing	2:34:00::	1	verb.consumption	2	2	2	2	2	26
44	employing	2:34:00::	1	verb.consumption	2	2	2	2	2	27
10	employed	2:41:00::	2	verb.social	2	0	2	2	2	28
4	employs	2:34:00::	1	verb.consumption	2	0	2	2	2	29
3	employed	2:34:00::	1	verb.consumption	2	0	0	2	2	30
2	employed	2:34:00::	1	verb.consumption	2	0	0	2	2	31
5	employed	2:34:00::	1	verb.consumption	2	0	0	2	2	32
9	employed	2:34:00::	1	verb.consumption	2	0	0	2	2	33
30	employed	2:34:00::	1	verb.consumption	2	0	0	2	2	34
6	employs	2:34:00::	1	verb.consumption	2	0	0	0	2	35
2	employed	2:41:00::	2	verb.social	2	0	0	0	2	36
23	employed	2:34:00::	1	verb.consumption	2	0	0	0	2	37
10	employed	2:34:00::	1	verb.consumption	2	0	0	0	2	38
1	employs	2:34:00::	1	verb.consumption	2	0	0	0	2	39
24	employs	2:34:00::	1	verb.consumption	2	0	0	0	2	40
4	employed	2:34:00::	1	verb.consumption	2	0	0	0	2	41
9	employed	2:34:00::	1	verb.consumption	2	0	0	0	2	42
4	employ	2:34:00::	1	verb.consumption	2	0	0	0	2	43
2	employ	2:34:00::	1	verb.consumption	2	0	0	0	2	44
20	employed	2:34:00::	1	verb.consumption	2	0	0	0	0	45
39	employed	2:34:00::	1	verb.consumption	2	0	0	0	0	46
12	employed	2:34:00::	1	verb.consumption	2	0	0	0	0	47
37	employed	2:41:00::	2	verb.social	2	0	0	0	0	48
77	employed	2:41:00::	2	verb.social	2	0	0	0	0	49
