position	word	lexsn	wnsn	supersense	X25	X3	X5	X10	X20	index
12	employees	1:18:00::	1	noun.person	1	1	1	1	1	0
4	employee	1:18:00::	1	noun.person	1	1	1	1	1	1
7	employees	1:18:00::	1	noun.person	1	1	1	1	1	2
4	employee	1:18:00::	1	noun.person	1	0	1	1	1	3
3	employee	1:18:00::	1	noun.person	1	0	1	1	1	4
8	employees	1:18:00::	1	noun.person	1	0	0	1	1	5
2	employee	1:18:00::	1	noun.person	1	0	0	1	1	6
8	employees	1:18:00::	1	noun.person	1	0	0	1	1	7
17	employee	1:18:00::	1	noun.person	1	0	0	1	1	8
18	employee	1:18:00::	1	noun.person	1	0	0	1	1	9
8	employee	1:18:00::	1	noun.person	1	0	0	0	1	10
6	employee	1:18:00::	1	noun.person	1	0	0	0	1	11
9	employees	1:18:00::	1	noun.person	1	0	0	0	1	12
33	employees	1:18:00::	1	noun.person	1	0	0	0	1	13
14	employees	1:18:00::	1	noun.person	1	0	0	0	1	14
4	employees	1:18:00::	1	noun.person	1	0	0	0	1	15
25	employes	1:18:00::	1	noun.person	1	0	0	0	1	16
7	employees	1:18:00::	1	noun.person	1	0	0	0	1	17
6	employees	1:18:00::	1	noun.person	1	0	0	0	1	18
13	employee	1:18:00::	1	noun.person	1	0	0	0	1	19
6	employee	1:18:00::	1	noun.person	1	0	0	0	0	20
13	employee	1:18:00::	1	noun.person	1	0	0	0	0	21
15	employee	1:18:00::	1	noun.person	1	0	0	0	0	22
36	employee	1:18:00::	1	noun.person	1	0	0	0	0	23
13	employees	1:18:00::	1	noun.person	1	0	0	0	0	24
10	employee	1:18:00::	1	noun.person	2	2	2	2	2	25
34	employees	1:18:00::	1	noun.person	2	2	2	2	2	26
13	employees	1:18:00::	1	noun.person	2	2	2	2	2	27
10	employees	1:18:00::	1	noun.person	2	0	2	2	2	28
17	employees	1:18:00::	1	noun.person	2	0	2	2	2	29
17	employees	1:18:00::	1	noun.person	2	0	0	2	2	30
34	employees	1:18:00::	1	noun.person	2	0	0	2	2	31
7	employee	1:18:00::	1	noun.person	2	0	0	2	2	32
12	employees	1:18:00::	1	noun.person	2	0	0	2	2	33
8	employee	1:18:00::	1	noun.person	2	0	0	2	2	34
11	employees	1:18:00::	1	noun.person	2	0	0	0	2	35
0	Employees	1:18:00::	1	noun.person	2	0	0	0	2	36
10	employees	1:18:00::	1	noun.person	2	0	0	0	2	37
9	employees	1:18:00::	1	noun.person	2	0	0	0	2	38
12	employee	1:18:00::	1	noun.person	2	0	0	0	2	39
20	employees	1:18:00::	1	noun.person	2	0	0	0	2	40
24	employees	1:18:00::	1	noun.person	2	0	0	0	2	41
10	employees	1:18:00::	1	noun.person	2	0	0	0	2	42
7	employee	1:18:00::	1	noun.person	2	0	0	0	2	43
14	employees	1:18:00::	1	noun.person	2	0	0	0	2	44
62	employees	1:18:00::	1	noun.person	2	0	0	0	0	45
27	employees	1:18:00::	1	noun.person	2	0	0	0	0	46
2	employees	1:18:00::	1	noun.person	2	0	0	0	0	47
19	employees	1:18:00::	1	noun.person	2	0	0	0	0	48
14	employee	1:18:00::	1	noun.person	2	0	0	0	0	49
