position	word	lexsn	wnsn	supersense	X25	X3	X5	X10	X20	index
14	encouraging	2:37:00::	2	verb.emotion	1	1	1	1	1	0
12	encouraged	2:41:00::	1	verb.social	1	1	1	1	1	1
1	encourage	2:41:00::	1	verb.social	1	1	1	1	1	2
4	encouraged	2:37:00::	2	verb.emotion	1	0	1	1	1	3
20	encourage	2:37:00::	2	verb.emotion	1	0	1	1	1	4
7	encouraged	2:32:00::	3	verb.communication	1	0	0	1	1	5
0	Encourage	2:37:00::	2	verb.emotion	1	0	0	1	1	6
10	encourage	2:41:00::	1	verb.social	1	0	0	1	1	7
1	encourages	2:41:00::	1	verb.social	1	0	0	1	1	8
31	encourage	2:41:00::	1	verb.social	1	0	0	1	1	9
3	encouraged	2:41:00::	1	verb.social	1	0	0	0	1	10
15	encourage	2:41:00::	1	verb.social	1	0	0	0	1	11
7	encourage	2:41:00::	1	verb.social	1	0	0	0	1	12
11	encourage	2:37:00::	2	verb.emotion	1	0	0	0	1	13
2	encourage	2:41:00::	1	verb.social	1	0	0	0	1	14
2	encourage	2:41:00::	1	verb.social	1	0	0	0	1	15
5	encourage	2:41:00::	1	verb.social	1	0	0	0	1	16
34	encouraged	2:41:00::	1	verb.social	1	0	0	0	1	17
8	encouraging	2:41:00::	1	verb.social	1	0	0	0	1	18
7	encourage	2:41:00::	1	verb.social	1	0	0	0	1	19
2	encouraged	2:41:00::	1	verb.social	1	0	0	0	0	20
16	encouraged	2:37:00::	2	verb.emotion	1	0	0	0	0	21
10	encouraged	2:41:00::	1	verb.social	1	0	0	0	0	22
20	encouraged	2:37:00::	2	verb.emotion	1	0	0	0	0	23
23	encourage	2:41:00::	1	verb.social	1	0	0	0	0	24
8	encouraged	2:41:00::	1	verb.social	2	2	2	2	2	25
11	encouraged	2:41:00::	1	verb.social	2	2	2	2	2	26
12	encouraging	2:41:00::	1	verb.social	2	2	2	2	2	27
9	encourage	2:41:00::	1	verb.social	2	0	2	2	2	28
12	encourage	2:37:00::	2	verb.emotion	2	0	2	2	2	29
32	encourage	2:41:00::	1	verb.social	2	0	0	2	2	30
2	encouraged	2:41:00::	1	verb.social	2	0	0	2	2	31
16	encourage	2:41:00::	1	verb.social	2	0	0	2	2	32
8	encouraged	2:41:00::	1	verb.social	2	0	0	2	2	33
0	Encouraging	2:41:00::	1	verb.social	2	0	0	2	2	34
17	encouraged	2:41:00::	1	verb.social	2	0	0	0	2	35
10	encouraging	2:41:00::	1	verb.social	2	0	0	0	2	36
14	encourage	2:41:00::	1	verb.social	2	0	0	0	2	37
20	encouraging	2:41:00::	1	verb.social	2	0	0	0	2	38
11	encourage	2:41:00::	1	verb.social	2	0	0	0	2	39
17	encouraging	2:41:00::	1	verb.social	2	0	0	0	2	40
20	encourage	2:41:00::	1	verb.social	2	0	0	0	2	41
9	encourage	2:41:00::	1	verb.social	2	0	0	0	2	42
14	encourage	2:41:00::	1	verb.social	2	0	0	0	2	43
6	encourage	2:41:00::	1	verb.social	2	0	0	0	2	44
33	encouraged	2:41:00::	1	verb.social	2	0	0	0	0	45
4	encouraged	2:41:00::	1	verb.social	2	0	0	0	0	46
2	encouraged	2:37:00::	2	verb.emotion	2	0	0	0	0	47
13	encouraging	2:41:00::	1	verb.social	2	0	0	0	0	48
6	encouraged	2:41:00::	1	verb.social	2	0	0	0	0	49
