position	word	lexsn	wnsn	supersense	X25	X3	X5	X10	X20	index
2	end	1:11:00::	3	noun.event	1	1	1	1	1	0
16	end	1:09:02::	4	noun.cognition	1	1	1	1	1	1
8	end	1:09:00::	5	noun.cognition	1	1	1	1	1	2
4	end	1:26:00::	6	noun.state	1	0	1	1	1	3
3	ends	1:09:02::	4	noun.cognition	1	0	1	1	1	4
91	end	1:15:02::	7	noun.location	1	0	0	1	1	5
4	end	1:15:00::	1	noun.location	1	0	0	1	1	6
32	ends	1:15:00::	1	noun.location	1	0	0	1	1	7
9	end	1:09:00::	5	noun.cognition	1	0	0	1	1	8
4	ends	1:18:00::	8	noun.person	1	0	0	1	1	9
8	end	1:28:00::	2	noun.time	1	0	0	0	1	10
14	ends	1:09:02::	4	noun.cognition	1	0	0	0	1	11
7	end	1:28:00::	2	noun.time	1	0	0	0	1	12
25	end	1:15:00::	1	noun.location	1	0	0	0	1	13
11	end	1:09:02::	4	noun.cognition	1	0	0	0	1	14
0	End	1:18:00::	8	noun.person	1	0	0	0	1	15
5	end	1:28:00::	2	noun.time	1	0	0	0	1	16
10	end	1:09:02::	4	noun.cognition	1	0	0	0	1	17
4	end	1:11:00::	3	noun.event	1	0	0	0	1	18
20	end	1:28:00::	2	noun.time	1	0	0	0	1	19
28	ends	1:09:02::	4	noun.cognition	1	0	0	0	0	20
17	ends	1:09:02::	4	noun.cognition	1	0	0	0	0	21
39	end	1:28:00::	2	noun.time	1	0	0	0	0	22
9	end	1:15:00::	1	noun.location	1	0	0	0	0	23
15	end	1:11:00::	3	noun.event	1	0	0	0	0	24
2	end	1:28:00::	2	noun.time	2	2	2	2	2	25
27	end	1:28:00::	2	noun.time	2	2	2	2	2	26
13	end	1:28:00::	2	noun.time	2	2	2	2	2	27
21	end	1:15:02::	7	noun.location	2	0	2	2	2	28
36	end	1:15:00::	1	noun.location	2	0	2	2	2	29
10	ends	1:09:02::	4	noun.cognition	2	0	0	2	2	30
15	end	1:28:00::	2	noun.time	2	0	0	2	2	31
8	end	1:15:01::	9	noun.location	2	0	0	2	2	32
7	end	1:15:00::	1	noun.location	2	0	0	2	2	33
2	end	1:09:00::	5	noun.cognition	2	0	0	2	2	34
26	end	1:15:00::	1	noun.location	2	0	0	0	2	35
34	end	1:09:02::	4	noun.cognition	2	0	0	0	2	36
2	end	1:11:00::	3	noun.event	2	0	0	0	2	37
47	end	1:15:00::	1	noun.location	2	0	0	0	2	38
13	end	1:09:00::	5	noun.cognition	2	0	0	0	2	39
19	end	1:11:00::	3	noun.event	2	0	0	0	2	40
12	end	1:11:00::	3	noun.event	2	0	0	0	2	41
18	ends	1:09:00::	5	noun.cognition	2	0	0	0	2	42
2	end	1:15:00::	1	noun.location	2	0	0	0	2	43
19	end	1:28:00::	2	noun.time	2	0	0	0	2	44
18	end	1:28:00::	2	noun.time	2	0	0	0	0	45
6	end	1:09:00::	5	noun.cognition	2	0	0	0	0	46
11	end	1:15:03::	10	noun.location	2	0	0	0	0	47
2	end	1:11:00::	3	noun.event	2	0	0	0	0	48
2	end	1:11:00::	3	noun.event	2	0	0	0	0	49
