position	word	lexsn	wnsn	supersense	X25	X3	X5	X10	X20	index
16	ended	2:42:00::	1	verb.stative	1	1	1	1	1	0
41	ended	2:30:01::	2	verb.change	1	1	1	1	1	1
25	end	2:30:01::	2	verb.change	1	1	1	1	1	2
19	end	2:42:00::	1	verb.stative	1	0	1	1	1	3
52	ended	2:42:01::	3	verb.stative	1	0	1	1	1	4
20	ended	2:30:01::	2	verb.change	1	0	0	1	1	5
3	end	2:30:01::	2	verb.change	1	0	0	1	1	6
4	end	2:30:01::	2	verb.change	1	0	0	1	1	7
4	ended	2:42:00::	1	verb.stative	1	0	0	1	1	8
3	ended	2:42:01::	3	verb.stative	1	0	0	1	1	9
17	ending	2:42:00::	1	verb.stative	1	0	0	0	1	10
13	ending	2:30:01::	2	verb.change	1	0	0	0	1	11
2	ended	2:42:00::	1	verb.stative	1	0	0	0	1	12
3	ended	2:42:00::	1	verb.stative	1	0	0	0	1	13
6	ended	2:42:00::	1	verb.stative	1	0	0	0	1	14
3	end	2:42:00::	1	verb.stative	1	0	0	0	1	15
2	ended	2:42:00::	1	verb.stative	1	0	0	0	1	16
13	ending	2:42:00::	1	verb.stative	1	0	0	0	1	17
4	end	2:42:00::	1	verb.stative	1	0	0	0	1	18
3	ended	2:30:01::	2	verb.change	1	0	0	0	1	19
21	end	2:30:01::	2	verb.change	1	0	0	0	0	20
4	end	2:30:01::	2	verb.change	1	0	0	0	0	21
3	end	2:42:00::	1	verb.stative	1	0	0	0	0	22
11	end	2:42:00::	1	verb.stative	1	0	0	0	0	23
6	ended	2:42:00::	1	verb.stative	1	0	0	0	0	24
6	end	2:30:01::	2	verb.change	2	2	2	2	2	25
5	ended	2:42:00::	1	verb.stative	2	2	2	2	2	26
15	ending	2:42:00::	1	verb.stative	2	2	2	2	2	27
13	end	2:30:01::	2	verb.change	2	0	2	2	2	28
28	ended	2:30:01::	2	verb.change	2	0	2	2	2	29
31	ending	2:42:01::	3	verb.stative	2	0	0	2	2	30
4	ends	2:42:00::	1	verb.stative	2	0	0	2	2	31
33	ended	2:42:00::	1	verb.stative	2	0	0	2	2	32
18	ending	2:42:00::	1	verb.stative	2	0	0	2	2	33
13	end	2:30:01::	2	verb.change	2	0	0	2	2	34
6	ends	2:42:00::	1	verb.stative	2	0	0	0	2	35
5	end	2:30:01::	2	verb.change	2	0	0	0	2	36
6	ending	2:42:00::	1	verb.stative	2	0	0	0	2	37
31	ended	2:42:00::	1	verb.stative	2	0	0	0	2	38
4	ended	2:42:00::	1	verb.stative	2	0	0	0	2	39
4	ended	2:42:00::	1	verb.stative	2	0	0	0	2	40
6	end	2:30:01::	2	verb.change	2	0	0	0	2	41
22	ending	2:42:00::	1	verb.stative	2	0	0	0	2	42
8	ending	2:42:01::	3	verb.stative	2	0	0	0	2	43
4	end	2:42:01::	3	verb.stative	2	0	0	0	2	44
16	end	2:42:00::	1	verb.stative	2	0	0	0	0	45
4	ended	2:42:01::	3	verb.stative	2	0	0	0	0	46
9	end	2:42:00::	1	verb.stative	2	0	0	0	0	47
18	ending	2:30:01::	2	verb.change	2	0	0	0	0	48
15	ending	2:30:01::	2	verb.change	2	0	0	0	0	49
