position	word	lexsn	wnsn	supersense	X25	X3	X5	X10	X20	index
28	enjoyed	2:37:01::	3	verb.emotion	1	1	1	1	1	0
1	enjoys	2:37:01::	3	verb.emotion	1	1	1	1	1	1
30	enjoyed	2:37:01::	3	verb.emotion	1	1	1	1	1	2
12	enjoyed	2:34:01::	2	verb.consumption	1	0	1	1	1	3
3	enjoyed	2:39:00::	4	verb.perception	1	0	1	1	1	4
1	enjoyed	2:37:01::	3	verb.emotion	1	0	0	1	1	5
9	enjoyed	2:34:01::	2	verb.consumption	1	0	0	1	1	6
1	enjoyed	2:37:01::	3	verb.emotion	1	0	0	1	1	7
2	enjoys	2:39:00::	4	verb.perception	1	0	0	1	1	8
17	enjoying	2:34:01::	2	verb.consumption	1	0	0	1	1	9
4	enjoyed	2:39:00::	4	verb.perception	1	0	0	0	1	10
13	enjoy	2:34:01::	2	verb.consumption	1	0	0	0	1	11
3	enjoyed	2:37:01::	3	verb.emotion	1	0	0	0	1	12
9	enjoy	2:37:01::	3	verb.emotion	1	0	0	0	1	13
2	enjoys	2:37:01::	3	verb.emotion	1	0	0	0	1	14
11	enjoy	2:34:01::	2	verb.consumption	1	0	0	0	1	15
5	enjoyed	2:34:01::	2	verb.consumption	1	0	0	0	1	16
3	enjoys	2:39:00::	4	verb.perception	1	0	0	0	1	17
4	enjoy	2:34:01::	2	verb.consumption	1	0	0	0	1	18
4	enjoys	2:34:01::	2	verb.consumption	1	0	0	0	1	19
19	enjoyed	2:39:00::	4	verb.perception	1	0	0	0	0	20
47	enjoy	2:34:01::	2	verb.consumption	1	0	0	0	0	21
31	enjoyed	2:34:01::	2	verb.consumption	1	0	0	0	0	22
22	enjoyed	2:39:00::	4	verb.perception	1	0	0	0	0	23
21	enjoy	2:39:00::	4	verb.perception	1	0	0	0	0	24
15	enjoy	2:37:00::	1	verb.emotion	2	2	2	2	2	25
31	enjoy	2:34:00::	5	verb.consumption	2	2	2	2	2	26
8	enjoy	2:37:00::	1	verb.emotion	2	2	2	2	2	27
7	enjoyed	2:37:00::	1	verb.emotion	2	0	2	2	2	28
9	enjoying	2:37:00::	1	verb.emotion	2	0	2	2	2	29
6	enjoy	2:37:00::	1	verb.emotion	2	0	0	2	2	30
26	enjoys	2:37:00::	1	verb.emotion	2	0	0	2	2	31
21	enjoying	2:37:00::	1	verb.emotion	2	0	0	2	2	32
15	enjoy	2:37:00::	1	verb.emotion	2	0	0	2	2	33
18	enjoy	2:34:00::	5	verb.consumption	2	0	0	2	2	34
24	enjoyed	2:37:00::	1	verb.emotion	2	0	0	0	2	35
10	enjoyed	2:37:00::	1	verb.emotion	2	0	0	0	2	36
11	enjoy	2:37:00::	1	verb.emotion	2	0	0	0	2	37
23	enjoying	2:34:00::	5	verb.consumption	2	0	0	0	2	38
6	enjoyed	2:37:00::	1	verb.emotion	2	0	0	0	2	39
17	enjoy	2:34:00::	5	verb.consumption	2	0	0	0	2	40
5	enjoy	2:37:00::	1	verb.emotion	2	0	0	0	2	41
0	Enjoy	2:37:00::	1	verb.emotion	2	0	0	0	2	42
3	enjoyed	2:37:00::	1	verb.emotion	2	0	0	0	2	43
7	enjoy	2:37:00::	1	verb.emotion	2	0	0	0	2	44
8	enjoy	2:37:00::	1	verb.emotion	2	0	0	0	0	45
25	enjoying	2:37:00::	1	verb.emotion	2	0	0	0	0	46
9	enjoying	2:37:00::	1	verb.emotion	2	0	0	0	0	47
11	enjoyed	2:37:00::	1	verb.emotion	2	0	0	0	0	48
9	enjoying	2:37:00::	1	verb.emotion	2	0	0	0	0	49
