position	word	lexsn	wnsn	supersense	X25	X3	X5	X10	X20	index
16	entered	2:38:00::	1	verb.motion	1	1	1	1	1	0
32	enter	2:38:00::	1	verb.motion	1	1	1	1	1	1
10	entered	2:32:04::	5	verb.communication	1	1	1	1	1	2
15	enters	2:38:00::	1	verb.motion	1	0	1	1	1	3
23	enter	2:38:00::	1	verb.motion	1	0	1	1	1	4
9	enters	2:38:00::	1	verb.motion	1	0	0	1	1	5
7	entering	2:38:00::	1	verb.motion	1	0	0	1	1	6
25	entering	2:38:00::	1	verb.motion	1	0	0	1	1	7
6	enter	2:38:00::	1	verb.motion	1	0	0	1	1	8
11	enter	2:38:00::	1	verb.motion	1	0	0	1	1	9
15	entered	2:38:00::	1	verb.motion	1	0	0	0	1	10
9	entering	2:41:06::	3	verb.social	1	0	0	0	1	11
11	entered	2:38:00::	1	verb.motion	1	0	0	0	1	12
1	entered	2:38:00::	1	verb.motion	1	0	0	0	1	13
10	entered	2:38:00::	1	verb.motion	1	0	0	0	1	14
4	entered	2:38:00::	1	verb.motion	1	0	0	0	1	15
27	enter	2:38:00::	1	verb.motion	1	0	0	0	1	16
7	enter	2:38:00::	1	verb.motion	1	0	0	0	1	17
12	entered	2:38:00::	1	verb.motion	1	0	0	0	1	18
3	entered	2:38:00::	1	verb.motion	1	0	0	0	1	19
5	entered	2:38:00::	1	verb.motion	1	0	0	0	0	20
6	entered	2:38:00::	1	verb.motion	1	0	0	0	0	21
4	entered	2:41:06::	3	verb.social	1	0	0	0	0	22
0	enter	2:38:00::	1	verb.motion	1	0	0	0	0	23
13	enters	2:38:00::	1	verb.motion	1	0	0	0	0	24
8	entered	2:33:00::	2	verb.competition	2	2	2	2	2	25
32	entered	2:33:00::	2	verb.competition	2	2	2	2	2	26
9	enter	2:33:00::	2	verb.competition	2	2	2	2	2	27
21	entered	2:33:00::	2	verb.competition	2	0	2	2	2	28
7	enters	2:42:00::	4	verb.stative	2	0	2	2	2	29
1	entering	2:33:00::	2	verb.competition	2	0	0	2	2	30
20	entered	2:42:00::	4	verb.stative	2	0	0	2	2	31
17	enter	2:42:00::	4	verb.stative	2	0	0	2	2	32
29	entered	2:33:00::	2	verb.competition	2	0	0	2	2	33
16	entered	2:33:00::	2	verb.competition	2	0	0	2	2	34
15	entered	2:36:00::	6	verb.creation	2	0	0	0	2	35
19	entered	2:33:00::	2	verb.competition	2	0	0	0	2	36
17	enter	2:42:00::	4	verb.stative	2	0	0	0	2	37
12	entered	2:33:00::	2	verb.competition	2	0	0	0	2	38
11	enter	2:33:00::	2	verb.competition	2	0	0	0	2	39
6	enter	2:33:00::	2	verb.competition	2	0	0	0	2	40
12	enter	2:33:00::	2	verb.competition	2	0	0	0	2	41
1	entering	2:42:00::	4	verb.stative	2	0	0	0	2	42
17	entered	2:42:00::	4	verb.stative	2	0	0	0	2	43
18	enter	2:33:00::	2	verb.competition	2	0	0	0	2	44
24	entered	2:33:00::	2	verb.competition	2	0	0	0	0	45
1	entered	2:33:00::	2	verb.competition	2	0	0	0	0	46
21	entered	2:33:00::	2	verb.competition	2	0	0	0	0	47
6	enters	2:42:00::	4	verb.stative	2	0	0	0	0	48
36	enter	2:33:00::	2	verb.competition	2	0	0	0	0	49
