position	word	lexsn	wnsn	supersense	X25	X3	X5	X10	X20	index
30	especially	4:02:00::	1	adv.all	1	1	1	1	1	0
6	especially	4:02:00::	1	adv.all	1	1	1	1	1	1
14	especially	4:02:00::	1	adv.all	1	1	1	1	1	2
4	especially	4:02:00::	1	adv.all	1	0	1	1	1	3
13	especially	4:02:00::	1	adv.all	1	0	1	1	1	4
6	especially	4:02:00::	1	adv.all	1	0	0	1	1	5
15	especially	4:02:00::	1	adv.all	1	0	0	1	1	6
10	especially	4:02:00::	1	adv.all	1	0	0	1	1	7
7	especially	4:02:00::	1	adv.all	1	0	0	1	1	8
28	especially	4:02:00::	1	adv.all	1	0	0	1	1	9
6	especially	4:02:00::	1	adv.all	1	0	0	0	1	10
5	especially	4:02:00::	1	adv.all	1	0	0	0	1	11
15	especially	4:02:00::	1	adv.all	1	0	0	0	1	12
17	especially	4:02:00::	1	adv.all	1	0	0	0	1	13
19	especially	4:02:00::	1	adv.all	1	0	0	0	1	14
19	especially	4:02:00::	1	adv.all	1	0	0	0	1	15
10	especially	4:02:00::	1	adv.all	1	0	0	0	1	16
18	especially	4:02:00::	1	adv.all	1	0	0	0	1	17
0	Especially	4:02:00::	1	adv.all	1	0	0	0	1	18
26	especially	4:02:00::	1	adv.all	1	0	0	0	1	19
26	especially	4:02:00::	1	adv.all	1	0	0	0	0	20
8	especially	4:02:00::	1	adv.all	1	0	0	0	0	21
36	especially	4:02:00::	1	adv.all	1	0	0	0	0	22
11	especially	4:02:00::	1	adv.all	1	0	0	0	0	23
14	especially	4:02:00::	1	adv.all	1	0	0	0	0	24
15	especially	4:02:00::	1	adv.all	2	2	2	2	2	25
4	especially	4:02:00::	1	adv.all	2	2	2	2	2	26
26	especially	4:02:00::	1	adv.all	2	2	2	2	2	27
12	especially	4:02:00::	1	adv.all	2	0	2	2	2	28
46	especially	4:02:00::	1	adv.all	2	0	2	2	2	29
2	especially	4:02:00::	1	adv.all	2	0	0	2	2	30
13	especially	4:02:00::	1	adv.all	2	0	0	2	2	31
6	especially	4:02:00::	1	adv.all	2	0	0	2	2	32
3	especially	4:02:00::	1	adv.all	2	0	0	2	2	33
21	especially	4:02:00::	1	adv.all	2	0	0	2	2	34
17	especially	4:02:00::	1	adv.all	2	0	0	0	2	35
25	especially	4:02:00::	1	adv.all	2	0	0	0	2	36
2	especially	4:02:00::	1	adv.all	2	0	0	0	2	37
12	especially	4:02:00::	1	adv.all	2	0	0	0	2	38
13	especially	4:02:00::	1	adv.all	2	0	0	0	2	39
32	especially	4:02:00::	1	adv.all	2	0	0	0	2	40
32	especially	4:02:00::	1	adv.all	2	0	0	0	2	41
14	especially	4:02:00::	1	adv.all	2	0	0	0	2	42
7	especially	4:02:00::	1	adv.all	2	0	0	0	2	43
8	especially	4:02:00::	1	adv.all	2	0	0	0	2	44
9	especially	4:02:00::	1	adv.all	2	0	0	0	0	45
2	especially	4:02:00::	1	adv.all	2	0	0	0	0	46
29	especially	4:02:00::	1	adv.all	2	0	0	0	0	47
14	especially	4:02:00::	1	adv.all	2	0	0	0	0	48
13	especially	4:02:00::	1	adv.all	2	0	0	0	0	49
