position	word	lexsn	wnsn	supersense	X25	X3	X5	X10	X20	index
19	establish	2:35:00::	6	verb.contact	1	1	1	1	1	0
16	established	2:31:00::	3	verb.cognition	1	1	1	1	1	1
2	establish	2:31:00::	3	verb.cognition	1	1	1	1	1	2
24	establish	2:31:00::	3	verb.cognition	1	0	1	1	1	3
9	established	2:31:00::	3	verb.cognition	1	0	1	1	1	4
22	establish	2:36:01::	5	verb.creation	1	0	0	1	1	5
13	establishes	2:31:00::	3	verb.cognition	1	0	0	1	1	6
26	established	2:36:01::	5	verb.creation	1	0	0	1	1	7
10	established	2:31:00::	3	verb.cognition	1	0	0	1	1	8
2	establish	2:36:10::	7	verb.creation	1	0	0	1	1	9
9	establish	2:31:00::	3	verb.cognition	1	0	0	0	1	10
11	established	2:31:00::	3	verb.cognition	1	0	0	0	1	11
5	established	2:31:00::	3	verb.cognition	1	0	0	0	1	12
8	established	2:31:00::	3	verb.cognition	1	0	0	0	1	13
8	established	2:31:00::	3	verb.cognition	1	0	0	0	1	14
63	establish	2:31:00::	3	verb.cognition	1	0	0	0	1	15
2	established	2:31:00::	3	verb.cognition	1	0	0	0	1	16
11	establish	2:31:00::	3	verb.cognition	1	0	0	0	1	17
8	established	2:31:00::	3	verb.cognition	1	0	0	0	1	18
10	established	2:31:00::	3	verb.cognition	1	0	0	0	1	19
7	established	2:31:00::	3	verb.cognition	1	0	0	0	0	20
22	establish	2:36:01::	5	verb.creation	1	0	0	0	0	21
7	establishing	2:36:01::	5	verb.creation	1	0	0	0	0	22
1	establishing	2:36:01::	5	verb.creation	1	0	0	0	0	23
78	established	2:31:00::	3	verb.cognition	1	0	0	0	0	24
9	establishing	2:31:02::	4	verb.cognition	2	2	2	2	2	25
4	established	2:31:02::	4	verb.cognition	2	2	2	2	2	26
11	established	2:36:00::	2	verb.creation	2	2	2	2	2	27
8	establish	2:31:02::	4	verb.cognition	2	0	2	2	2	28
11	establish	2:41:00::	1	verb.social	2	0	2	2	2	29
23	established	2:41:00::	1	verb.social	2	0	0	2	2	30
2	established	2:41:00::	1	verb.social	2	0	0	2	2	31
1	establish	2:41:00::	1	verb.social	2	0	0	2	2	32
16	established	2:36:00::	2	verb.creation	2	0	0	2	2	33
8	establishing	2:41:00::	1	verb.social	2	0	0	2	2	34
9	establish	2:36:00::	2	verb.creation	2	0	0	0	2	35
12	establish	2:41:00::	1	verb.social	2	0	0	0	2	36
9	establishing	2:41:00::	1	verb.social	2	0	0	0	2	37
27	establish	2:41:00::	1	verb.social	2	0	0	0	2	38
5	established	2:41:00::	1	verb.social	2	0	0	0	2	39
36	establishing	2:36:00::	2	verb.creation	2	0	0	0	2	40
8	establishing	2:41:00::	1	verb.social	2	0	0	0	2	41
24	establish	2:41:00::	1	verb.social	2	0	0	0	2	42
15	establish	2:36:00::	2	verb.creation	2	0	0	0	2	43
18	established	2:41:00::	1	verb.social	2	0	0	0	2	44
16	established	2:41:00::	1	verb.social	2	0	0	0	0	45
32	established	2:31:02::	4	verb.cognition	2	0	0	0	0	46
3	established	2:41:00::	1	verb.social	2	0	0	0	0	47
11	established	2:36:00::	2	verb.creation	2	0	0	0	0	48
24	established	2:31:02::	4	verb.cognition	2	0	0	0	0	49
