position	word	lexsn	wnsn	supersense	X25	X3	X5	X10	X20	index
4	event	1:03:00::	1	noun.Tops	1	1	1	1	1	0
11	events	1:03:00::	1	noun.Tops	1	1	1	1	1	1
33	event	1:03:00::	1	noun.Tops	1	1	1	1	1	2
17	Events	1:03:00::	1	noun.Tops	1	0	1	1	1	3
11	events	1:03:00::	1	noun.Tops	1	0	1	1	1	4
45	events	1:03:00::	1	noun.Tops	1	0	0	1	1	5
5	events	1:03:00::	1	noun.Tops	1	0	0	1	1	6
7	event	1:03:00::	1	noun.Tops	1	0	0	1	1	7
2	events	1:03:00::	1	noun.Tops	1	0	0	1	1	8
6	event	1:26:00::	2	noun.state	1	0	0	1	1	9
17	events	1:03:00::	1	noun.Tops	1	0	0	0	1	10
9	event	1:03:00::	1	noun.Tops	1	0	0	0	1	11
35	events	1:03:00::	1	noun.Tops	1	0	0	0	1	12
9	events	1:03:00::	1	noun.Tops	1	0	0	0	1	13
26	event	1:03:00::	1	noun.Tops	1	0	0	0	1	14
6	events	1:03:00::	1	noun.Tops	1	0	0	0	1	15
30	event	1:03:00::	1	noun.Tops	1	0	0	0	1	16
4	events	1:03:00::	1	noun.Tops	1	0	0	0	1	17
58	event	1:26:00::	2	noun.state	1	0	0	0	1	18
10	event	1:03:00::	1	noun.Tops	1	0	0	0	1	19
13	event	1:03:00::	1	noun.Tops	1	0	0	0	0	20
3	events	1:03:00::	1	noun.Tops	1	0	0	0	0	21
7	events	1:03:00::	1	noun.Tops	1	0	0	0	0	22
6	event	1:03:00::	1	noun.Tops	1	0	0	0	0	23
9	event	1:03:00::	1	noun.Tops	1	0	0	0	0	24
17	events	1:26:00::	2	noun.state	2	2	2	2	2	25
17	event	1:03:00::	1	noun.Tops	2	2	2	2	2	26
15	event	1:03:00::	1	noun.Tops	2	2	2	2	2	27
21	events	1:03:00::	1	noun.Tops	2	0	2	2	2	28
22	events	1:03:00::	1	noun.Tops	2	0	2	2	2	29
5	event	1:03:00::	1	noun.Tops	2	0	0	2	2	30
41	events	1:03:00::	1	noun.Tops	2	0	0	2	2	31
20	events	1:03:00::	1	noun.Tops	2	0	0	2	2	32
10	event	1:03:00::	1	noun.Tops	2	0	0	2	2	33
8	events	1:03:00::	1	noun.Tops	2	0	0	2	2	34
20	event	1:03:00::	1	noun.Tops	2	0	0	0	2	35
4	events	1:03:00::	1	noun.Tops	2	0	0	0	2	36
5	event	1:03:00::	1	noun.Tops	2	0	0	0	2	37
18	event	1:03:00::	1	noun.Tops	2	0	0	0	2	38
40	event	1:26:00::	2	noun.state	2	0	0	0	2	39
5	event	1:03:00::	1	noun.Tops	2	0	0	0	2	40
19	events	1:03:00::	1	noun.Tops	2	0	0	0	2	41
3	event	1:03:00::	1	noun.Tops	2	0	0	0	2	42
1	events	1:26:00::	2	noun.state	2	0	0	0	2	43
2	events	1:03:00::	1	noun.Tops	2	0	0	0	2	44
4	events	1:03:00::	1	noun.Tops	2	0	0	0	0	45
59	events	1:03:00::	1	noun.Tops	2	0	0	0	0	46
3	event	1:26:00::	2	noun.state	2	0	0	0	0	47
23	events	1:03:00::	1	noun.Tops	2	0	0	0	0	48
3	events	1:03:00::	1	noun.Tops	2	0	0	0	0	49
