position	word	lexsn	wnsn	supersense	X25	X3	X5	X10	X20	index
3	evidence	1:09:00::	1	noun.cognition	1	1	1	1	1	0
24	evidence	1:09:00::	1	noun.cognition	1	1	1	1	1	1
0	Evidence	1:09:00::	1	noun.cognition	1	1	1	1	1	2
2	evidence	1:09:00::	1	noun.cognition	1	0	1	1	1	3
16	evidence	1:09:00::	1	noun.cognition	1	0	1	1	1	4
16	evidence	1:09:00::	1	noun.cognition	1	0	0	1	1	5
28	evidence	1:09:00::	1	noun.cognition	1	0	0	1	1	6
9	evidence	1:09:00::	1	noun.cognition	1	0	0	1	1	7
5	evidence	1:09:00::	1	noun.cognition	1	0	0	1	1	8
17	evidence	1:09:00::	1	noun.cognition	1	0	0	1	1	9
2	evidence	1:09:00::	1	noun.cognition	1	0	0	0	1	10
3	evidence	1:09:00::	1	noun.cognition	1	0	0	0	1	11
5	evidence	1:09:00::	1	noun.cognition	1	0	0	0	1	12
4	evidence	1:09:00::	1	noun.cognition	1	0	0	0	1	13
7	evidence	1:09:00::	1	noun.cognition	1	0	0	0	1	14
17	evidence	1:09:00::	1	noun.cognition	1	0	0	0	1	15
21	evidence	1:09:00::	1	noun.cognition	1	0	0	0	1	16
22	evidence	1:09:00::	1	noun.cognition	1	0	0	0	1	17
10	evidence	1:09:00::	1	noun.cognition	1	0	0	0	1	18
25	evidence	1:09:00::	1	noun.cognition	1	0	0	0	1	19
3	evidence	1:09:00::	1	noun.cognition	1	0	0	0	0	20
14	evidence	1:09:00::	1	noun.cognition	1	0	0	0	0	21
10	evidence	1:09:00::	1	noun.cognition	1	0	0	0	0	22
7	evidence	1:09:00::	1	noun.cognition	1	0	0	0	0	23
3	evidence	1:09:00::	1	noun.cognition	1	0	0	0	0	24
11	evidence	1:10:00::	3	noun.communication	2	2	2	2	2	25
1	evidence	1:10:01::	2	noun.communication	2	2	2	2	2	26
9	evidence	1:10:01::	2	noun.communication	2	2	2	2	2	27
1	evidence	1:10:00::	3	noun.communication	2	0	2	2	2	28
22	evidence	1:10:01::	2	noun.communication	2	0	2	2	2	29
1	evidence	1:10:01::	2	noun.communication	2	0	0	2	2	30
4	evidence	1:10:00::	3	noun.communication	2	0	0	2	2	31
6	evidence	1:10:01::	2	noun.communication	2	0	0	2	2	32
15	evidence	1:10:01::	2	noun.communication	2	0	0	2	2	33
6	evidence	1:10:01::	2	noun.communication	2	0	0	2	2	34
4	evidence	1:10:01::	2	noun.communication	2	0	0	0	2	35
16	evidence	1:10:01::	2	noun.communication	2	0	0	0	2	36
8	evidence	1:10:01::	2	noun.communication	2	0	0	0	2	37
7	evidence	1:10:01::	2	noun.communication	2	0	0	0	2	38
3	evidence	1:10:01::	2	noun.communication	2	0	0	0	2	39
10	evidence	1:10:00::	3	noun.communication	2	0	0	0	2	40
19	evidence	1:10:01::	2	noun.communication	2	0	0	0	2	41
3	evidence	1:10:01::	2	noun.communication	2	0	0	0	2	42
7	evidence	1:10:00::	3	noun.communication	2	0	0	0	2	43
2	evidence	1:10:01::	2	noun.communication	2	0	0	0	2	44
12	evidence	1:10:01::	2	noun.communication	2	0	0	0	0	45
14	evidence	1:10:01::	2	noun.communication	2	0	0	0	0	46
66	evidence	1:10:01::	2	noun.communication	2	0	0	0	0	47
5	evidence	1:10:01::	2	noun.communication	2	0	0	0	0	48
18	evidence	1:10:01::	2	noun.communication	2	0	0	0	0	49
