position	word	lexsn	wnsn	supersense	X25	X3	X5	X10	X20	index
6	example	1:09:00::	1	noun.cognition	1	1	1	1	1	0
22	example	1:09:00::	1	noun.cognition	1	1	1	1	1	1
2	example	1:09:01::	3	noun.cognition	1	1	1	1	1	2
18	example	1:09:00::	1	noun.cognition	1	0	1	1	1	3
3	examples	1:09:00::	1	noun.cognition	1	0	1	1	1	4
29	example	1:09:00::	1	noun.cognition	1	0	0	1	1	5
9	example	1:09:00::	1	noun.cognition	1	0	0	1	1	6
1	examples	1:09:00::	1	noun.cognition	1	0	0	1	1	7
1	examples	1:10:00::	4	noun.communication	1	0	0	1	1	8
2	examples	1:09:00::	1	noun.cognition	1	0	0	1	1	9
3	example	1:09:00::	1	noun.cognition	1	0	0	0	1	10
21	example	1:09:00::	1	noun.cognition	1	0	0	0	1	11
16	examples	1:09:00::	1	noun.cognition	1	0	0	0	1	12
9	example	1:09:02::	2	noun.cognition	1	0	0	0	1	13
6	example	1:09:02::	2	noun.cognition	1	0	0	0	1	14
20	examples	1:09:01::	3	noun.cognition	1	0	0	0	1	15
17	example	1:09:02::	2	noun.cognition	1	0	0	0	1	16
6	example	1:09:02::	2	noun.cognition	1	0	0	0	1	17
10	examples	1:09:01::	3	noun.cognition	1	0	0	0	1	18
22	example	1:09:00::	1	noun.cognition	1	0	0	0	1	19
23	examples	1:09:00::	1	noun.cognition	1	0	0	0	0	20
8	example	1:09:00::	1	noun.cognition	1	0	0	0	0	21
5	examples	1:09:00::	1	noun.cognition	1	0	0	0	0	22
6	example	1:09:00::	1	noun.cognition	1	0	0	0	0	23
1	example	1:09:00::	1	noun.cognition	1	0	0	0	0	24
53	example	1:09:00::	1	noun.cognition	2	2	2	2	2	25
11	examples	1:09:00::	1	noun.cognition	2	2	2	2	2	26
4	example	1:09:00::	1	noun.cognition	2	2	2	2	2	27
19	example	1:09:00::	1	noun.cognition	2	0	2	2	2	28
4	examples	1:09:00::	1	noun.cognition	2	0	2	2	2	29
3	example	1:09:02::	2	noun.cognition	2	0	0	2	2	30
1	examples	1:09:00::	1	noun.cognition	2	0	0	2	2	31
9	examples	1:09:00::	1	noun.cognition	2	0	0	2	2	32
5	example	1:09:00::	1	noun.cognition	2	0	0	2	2	33
10	examples	1:09:00::	1	noun.cognition	2	0	0	2	2	34
2	example	1:09:00::	1	noun.cognition	2	0	0	0	2	35
8	example	1:09:00::	1	noun.cognition	2	0	0	0	2	36
3	examples	1:09:00::	1	noun.cognition	2	0	0	0	2	37
5	examples	1:09:00::	1	noun.cognition	2	0	0	0	2	38
5	example	1:09:00::	1	noun.cognition	2	0	0	0	2	39
5	example	1:09:00::	1	noun.cognition	2	0	0	0	2	40
7	example	1:09:00::	1	noun.cognition	2	0	0	0	2	41
5	example	1:09:00::	1	noun.cognition	2	0	0	0	2	42
13	example	1:09:00::	1	noun.cognition	2	0	0	0	2	43
11	example	1:09:02::	2	noun.cognition	2	0	0	0	2	44
2	example	1:09:02::	2	noun.cognition	2	0	0	0	0	45
4	example	1:09:00::	1	noun.cognition	2	0	0	0	0	46
0	Examples	1:09:02::	2	noun.cognition	2	0	0	0	0	47
17	example	1:09:00::	1	noun.cognition	2	0	0	0	0	48
4	examples	1:09:00::	1	noun.cognition	2	0	0	0	0	49
