position	word	lexsn	wnsn	supersense	X25	X3	X5	X10	X20	index
12	exists	2:42:00::	1	verb.stative	1	1	1	1	1	0
11	exist	2:42:00::	1	verb.stative	1	1	1	1	1	1
23	exist	2:42:00::	1	verb.stative	1	1	1	1	1	2
9	exist	2:42:00::	1	verb.stative	1	0	1	1	1	3
15	existed	2:42:00::	1	verb.stative	1	0	1	1	1	4
5	exist	2:42:00::	1	verb.stative	1	0	0	1	1	5
8	exists	2:42:00::	1	verb.stative	1	0	0	1	1	6
8	exist	2:42:00::	1	verb.stative	1	0	0	1	1	7
20	exists	2:42:00::	1	verb.stative	1	0	0	1	1	8
20	exist	2:42:00::	1	verb.stative	1	0	0	1	1	9
44	exist	2:42:00::	1	verb.stative	1	0	0	0	1	10
45	exist	2:42:00::	1	verb.stative	1	0	0	0	1	11
3	exists	2:42:00::	1	verb.stative	1	0	0	0	1	12
23	existing	2:42:00::	1	verb.stative	1	0	0	0	1	13
5	exists	2:42:00::	1	verb.stative	1	0	0	0	1	14
11	exist	2:42:00::	1	verb.stative	1	0	0	0	1	15
35	exists	2:42:00::	1	verb.stative	1	0	0	0	1	16
2	exists	2:42:00::	1	verb.stative	1	0	0	0	1	17
6	exists	2:42:00::	1	verb.stative	1	0	0	0	1	18
4	exist	2:42:00::	1	verb.stative	1	0	0	0	1	19
12	exists	2:42:01::	2	verb.stative	1	0	0	0	0	20
4	exist	2:42:00::	1	verb.stative	1	0	0	0	0	21
5	existed	2:42:00::	1	verb.stative	1	0	0	0	0	22
26	existed	2:42:00::	1	verb.stative	1	0	0	0	0	23
3	existed	2:42:00::	1	verb.stative	1	0	0	0	0	24
12	exist	2:42:00::	1	verb.stative	2	2	2	2	2	25
4	exists	2:42:00::	1	verb.stative	2	2	2	2	2	26
36	exists	2:42:00::	1	verb.stative	2	2	2	2	2	27
27	exist	2:42:00::	1	verb.stative	2	0	2	2	2	28
4	existed	2:42:01::	2	verb.stative	2	0	2	2	2	29
5	exists	2:42:00::	1	verb.stative	2	0	0	2	2	30
4	exists	2:42:00::	1	verb.stative	2	0	0	2	2	31
26	existed	2:42:00::	1	verb.stative	2	0	0	2	2	32
6	exists	2:42:00::	1	verb.stative	2	0	0	2	2	33
12	exist	2:42:00::	1	verb.stative	2	0	0	2	2	34
15	existed	2:42:00::	1	verb.stative	2	0	0	0	2	35
1	existing	2:42:00::	1	verb.stative	2	0	0	0	2	36
6	existed	2:42:00::	1	verb.stative	2	0	0	0	2	37
4	existed	2:42:00::	1	verb.stative	2	0	0	0	2	38
25	existed	2:42:00::	1	verb.stative	2	0	0	0	2	39
11	exist	2:42:00::	1	verb.stative	2	0	0	0	2	40
14	existed	2:42:00::	1	verb.stative	2	0	0	0	2	41
12	exist	2:42:00::	1	verb.stative	2	0	0	0	2	42
3	existed	2:42:00::	1	verb.stative	2	0	0	0	2	43
41	existed	2:42:00::	1	verb.stative	2	0	0	0	2	44
9	exist	2:42:00::	1	verb.stative	2	0	0	0	0	45
11	exists	2:42:00::	1	verb.stative	2	0	0	0	0	46
22	exist	2:42:00::	1	verb.stative	2	0	0	0	0	47
6	exists	2:42:00::	1	verb.stative	2	0	0	0	0	48
24	exist	2:42:00::	1	verb.stative	2	0	0	0	0	49
