position	word	lexsn	wnsn	supersense	X25	X3	X5	X10	X20	index
12	expect	2:31:00::	1	verb.cognition	1	1	1	1	1	0
5	expected	2:31:00::	1	verb.cognition	1	1	1	1	1	1
3	expected	2:31:00::	1	verb.cognition	1	1	1	1	1	2
8	expect	2:31:00::	1	verb.cognition	1	0	1	1	1	3
3	expected	2:31:00::	1	verb.cognition	1	0	1	1	1	4
66	expect	2:31:00::	1	verb.cognition	1	0	0	1	1	5
12	expect	2:31:00::	1	verb.cognition	1	0	0	1	1	6
10	expected	2:31:00::	1	verb.cognition	1	0	0	1	1	7
25	expecting	2:31:00::	1	verb.cognition	1	0	0	1	1	8
5	expected	2:31:00::	1	verb.cognition	1	0	0	1	1	9
4	expected	2:31:00::	1	verb.cognition	1	0	0	0	1	10
4	expected	2:31:00::	1	verb.cognition	1	0	0	0	1	11
12	expected	2:31:00::	1	verb.cognition	1	0	0	0	1	12
41	expected	2:31:00::	1	verb.cognition	1	0	0	0	1	13
8	expected	2:31:00::	1	verb.cognition	1	0	0	0	1	14
16	expected	2:31:00::	1	verb.cognition	1	0	0	0	1	15
4	expects	2:31:00::	1	verb.cognition	1	0	0	0	1	16
11	expected	2:31:00::	1	verb.cognition	1	0	0	0	1	17
22	expect	2:31:00::	1	verb.cognition	1	0	0	0	1	18
7	expected	2:31:00::	1	verb.cognition	1	0	0	0	1	19
11	expecting	2:31:00::	1	verb.cognition	1	0	0	0	0	20
11	expect	2:31:00::	1	verb.cognition	1	0	0	0	0	21
23	expected	2:31:00::	1	verb.cognition	1	0	0	0	0	22
21	expected	2:31:00::	1	verb.cognition	1	0	0	0	0	23
12	expected	2:31:00::	1	verb.cognition	1	0	0	0	0	24
2	expected	2:32:00::	2	verb.communication	2	2	2	2	2	25
19	expected	2:32:00::	2	verb.communication	2	2	2	2	2	26
3	expected	2:32:00::	2	verb.communication	2	2	2	2	2	27
7	expect	2:32:00::	2	verb.communication	2	0	2	2	2	28
72	expected	2:32:00::	2	verb.communication	2	0	2	2	2	29
3	expect	2:32:00::	2	verb.communication	2	0	0	2	2	30
3	expect	2:31:01::	3	verb.cognition	2	0	0	2	2	31
1	expected	2:32:00::	2	verb.communication	2	0	0	2	2	32
3	expect	2:31:01::	3	verb.cognition	2	0	0	2	2	33
2	expected	2:32:00::	2	verb.communication	2	0	0	2	2	34
0	Expecting	2:31:01::	3	verb.cognition	2	0	0	0	2	35
17	expect	2:32:00::	2	verb.communication	2	0	0	0	2	36
3	expect	2:31:01::	3	verb.cognition	2	0	0	0	2	37
11	expected	2:31:01::	3	verb.cognition	2	0	0	0	2	38
14	expect	2:32:00::	2	verb.communication	2	0	0	0	2	39
12	expected	2:32:00::	2	verb.communication	2	0	0	0	2	40
2	expects	2:32:00::	2	verb.communication	2	0	0	0	2	41
6	expecting	2:32:00::	2	verb.communication	2	0	0	0	2	42
8	expected	2:31:01::	3	verb.cognition	2	0	0	0	2	43
17	expect	2:32:00::	2	verb.communication	2	0	0	0	2	44
6	expected	2:32:00::	2	verb.communication	2	0	0	0	0	45
2	expected	2:32:00::	2	verb.communication	2	0	0	0	0	46
4	expecting	2:31:01::	3	verb.cognition	2	0	0	0	0	47
17	expected	2:31:01::	3	verb.cognition	2	0	0	0	0	48
1	expected	2:32:00::	2	verb.communication	2	0	0	0	0	49
