position	word	lexsn	wnsn	supersense	X25	X3	X5	X10	X20	index
3	experience	1:09:00::	2	noun.cognition	1	1	1	1	1	0
4	experience	1:09:00::	2	noun.cognition	1	1	1	1	1	1
30	experience	1:09:00::	2	noun.cognition	1	1	1	1	1	2
5	experience	1:09:00::	2	noun.cognition	1	0	1	1	1	3
33	experience	1:09:00::	2	noun.cognition	1	0	1	1	1	4
39	experience	1:09:00::	2	noun.cognition	1	0	0	1	1	5
1	experience	1:09:00::	2	noun.cognition	1	0	0	1	1	6
4	experience	1:09:00::	2	noun.cognition	1	0	0	1	1	7
6	experience	1:09:00::	2	noun.cognition	1	0	0	1	1	8
11	experience	1:09:00::	2	noun.cognition	1	0	0	1	1	9
51	experience	1:09:00::	2	noun.cognition	1	0	0	0	1	10
2	experience	1:09:00::	2	noun.cognition	1	0	0	0	1	11
15	experiences	1:09:00::	2	noun.cognition	1	0	0	0	1	12
8	experience	1:09:00::	2	noun.cognition	1	0	0	0	1	13
8	experience	1:09:00::	2	noun.cognition	1	0	0	0	1	14
14	experience	1:09:00::	2	noun.cognition	1	0	0	0	1	15
2	experience	1:09:00::	2	noun.cognition	1	0	0	0	1	16
65	experience	1:09:00::	2	noun.cognition	1	0	0	0	1	17
10	experiences	1:09:00::	2	noun.cognition	1	0	0	0	1	18
9	experience	1:09:00::	2	noun.cognition	1	0	0	0	1	19
4	experience	1:09:00::	2	noun.cognition	1	0	0	0	0	20
11	experience	1:09:00::	2	noun.cognition	1	0	0	0	0	21
4	experience	1:09:00::	2	noun.cognition	1	0	0	0	0	22
3	experience	1:09:00::	2	noun.cognition	1	0	0	0	0	23
3	experience	1:09:00::	2	noun.cognition	1	0	0	0	0	24
38	experience	1:11:00::	3	noun.event	2	2	2	2	2	25
6	experience	1:09:01::	1	noun.cognition	2	2	2	2	2	26
10	experience	1:09:01::	1	noun.cognition	2	2	2	2	2	27
12	experience	1:09:01::	1	noun.cognition	2	0	2	2	2	28
42	experience	1:11:00::	3	noun.event	2	0	2	2	2	29
2	experiences	1:11:00::	3	noun.event	2	0	0	2	2	30
2	experience	1:09:01::	1	noun.cognition	2	0	0	2	2	31
10	experience	1:09:01::	1	noun.cognition	2	0	0	2	2	32
6	experience	1:09:01::	1	noun.cognition	2	0	0	2	2	33
18	experience	1:11:00::	3	noun.event	2	0	0	2	2	34
14	experience	1:09:01::	1	noun.cognition	2	0	0	0	2	35
9	experience	1:09:01::	1	noun.cognition	2	0	0	0	2	36
19	experiences	1:11:00::	3	noun.event	2	0	0	0	2	37
15	experience	1:11:00::	3	noun.event	2	0	0	0	2	38
9	experience	1:09:01::	1	noun.cognition	2	0	0	0	2	39
6	experience	1:11:00::	3	noun.event	2	0	0	0	2	40
28	experience	1:11:00::	3	noun.event	2	0	0	0	2	41
15	experience	1:09:01::	1	noun.cognition	2	0	0	0	2	42
18	experience	1:09:01::	1	noun.cognition	2	0	0	0	2	43
10	experiences	1:09:01::	1	noun.cognition	2	0	0	0	2	44
6	experience	1:11:00::	3	noun.event	2	0	0	0	0	45
2	experience	1:09:01::	1	noun.cognition	2	0	0	0	0	46
7	experience	1:09:01::	1	noun.cognition	2	0	0	0	0	47
11	experience	1:11:00::	3	noun.event	2	0	0	0	0	48
5	experiences	1:09:01::	1	noun.cognition	2	0	0	0	0	49
