position	word	lexsn	wnsn	supersense	X25	X3	X5	X10	X20	index
4	experiment	1:04:00::	1	noun.act	1	1	1	1	1	0
1	experiments	1:04:00::	1	noun.act	1	1	1	1	1	1
2	experiments	1:04:00::	1	noun.act	1	1	1	1	1	2
0	Experiments	1:04:00::	1	noun.act	1	0	1	1	1	3
19	experiments	1:04:00::	1	noun.act	1	0	1	1	1	4
33	experiments	1:04:00::	1	noun.act	1	0	0	1	1	5
2	experiments	1:04:00::	1	noun.act	1	0	0	1	1	6
33	experiments	1:04:00::	1	noun.act	1	0	0	1	1	7
2	experiment	1:04:00::	1	noun.act	1	0	0	1	1	8
2	experiments	1:09:00::	2	noun.cognition	1	0	0	1	1	9
0	Experiments	1:09:00::	2	noun.cognition	1	0	0	0	1	10
19	experiment	1:04:00::	1	noun.act	1	0	0	0	1	11
27	experiments	1:04:01::	3	noun.act	1	0	0	0	1	12
2	experiment	1:09:00::	2	noun.cognition	1	0	0	0	1	13
7	experiments	1:04:00::	1	noun.act	1	0	0	0	1	14
0	Experiments	1:09:00::	2	noun.cognition	1	0	0	0	1	15
4	experiment	1:04:00::	1	noun.act	1	0	0	0	1	16
23	experiment	1:09:00::	2	noun.cognition	1	0	0	0	1	17
14	experiments	1:04:00::	1	noun.act	1	0	0	0	1	18
3	experiment	1:04:00::	1	noun.act	1	0	0	0	1	19
4	experiments	1:04:00::	1	noun.act	1	0	0	0	0	20
4	experiment	1:04:01::	3	noun.act	1	0	0	0	0	21
2	experiment	1:04:00::	1	noun.act	1	0	0	0	0	22
4	experiments	1:04:00::	1	noun.act	1	0	0	0	0	23
43	experiment	1:04:00::	1	noun.act	1	0	0	0	0	24
1	experiments	1:04:00::	1	noun.act	2	2	2	2	2	25
14	experiment	1:04:00::	1	noun.act	2	2	2	2	2	26
4	experiment	1:04:01::	3	noun.act	2	2	2	2	2	27
6	experiments	1:09:00::	2	noun.cognition	2	0	2	2	2	28
24	experiments	1:04:01::	3	noun.act	2	0	2	2	2	29
20	experiments	1:04:00::	1	noun.act	2	0	0	2	2	30
4	experiments	1:04:00::	1	noun.act	2	0	0	2	2	31
13	experiment	1:04:00::	1	noun.act	2	0	0	2	2	32
8	experiments	1:09:00::	2	noun.cognition	2	0	0	2	2	33
15	experiment	1:04:00::	1	noun.act	2	0	0	2	2	34
11	experiment	1:04:00::	1	noun.act	2	0	0	0	2	35
5	experiments	1:04:00::	1	noun.act	2	0	0	0	2	36
36	experiments	1:09:00::	2	noun.cognition	2	0	0	0	2	37
16	experiment	1:04:00::	1	noun.act	2	0	0	0	2	38
6	experiment	1:04:00::	1	noun.act	2	0	0	0	2	39
1	experiments	1:04:00::	1	noun.act	2	0	0	0	2	40
6	experiment	1:04:00::	1	noun.act	2	0	0	0	2	41
6	experiments	1:04:00::	1	noun.act	2	0	0	0	2	42
6	experiment	1:04:00::	1	noun.act	2	0	0	0	2	43
10	experiments	1:04:00::	1	noun.act	2	0	0	0	2	44
2	experiment	1:04:00::	1	noun.act	2	0	0	0	0	45
13	experiments	1:04:01::	3	noun.act	2	0	0	0	0	46
17	experiment	1:04:00::	1	noun.act	2	0	0	0	0	47
3	experiment	1:04:00::	1	noun.act	2	0	0	0	0	48
42	experiments	1:09:00::	2	noun.cognition	2	0	0	0	0	49
