position	word	lexsn	wnsn	supersense	X25	X3	X5	X10	X20	index
2	explain	2:32:00::	1	verb.communication	1	1	1	1	1	0
12	explain	2:32:00::	1	verb.communication	1	1	1	1	1	1
1	explained	2:32:00::	1	verb.communication	1	1	1	1	1	2
25	explained	2:32:01::	2	verb.communication	1	0	1	1	1	3
1	explains	2:32:00::	1	verb.communication	1	0	1	1	1	4
10	explained	2:32:00::	1	verb.communication	1	0	0	1	1	5
5	explain	2:32:02::	3	verb.communication	1	0	0	1	1	6
38	explains	2:32:00::	1	verb.communication	1	0	0	1	1	7
1	explain	2:32:00::	1	verb.communication	1	0	0	1	1	8
4	explain	2:32:00::	1	verb.communication	1	0	0	1	1	9
1	explains	2:32:00::	1	verb.communication	1	0	0	0	1	10
3	explain	2:32:00::	1	verb.communication	1	0	0	0	1	11
31	explained	2:32:00::	1	verb.communication	1	0	0	0	1	12
35	explain	2:32:00::	1	verb.communication	1	0	0	0	1	13
11	explained	2:32:00::	1	verb.communication	1	0	0	0	1	14
18	explain	2:32:02::	3	verb.communication	1	0	0	0	1	15
2	explained	2:32:00::	1	verb.communication	1	0	0	0	1	16
1	explained	2:32:00::	1	verb.communication	1	0	0	0	1	17
1	explained	2:32:00::	1	verb.communication	1	0	0	0	1	18
25	explain	2:32:00::	1	verb.communication	1	0	0	0	1	19
7	Explain	2:32:00::	1	verb.communication	1	0	0	0	0	20
9	explained	2:32:00::	1	verb.communication	1	0	0	0	0	21
25	explained	2:32:01::	2	verb.communication	1	0	0	0	0	22
10	explained	2:32:00::	1	verb.communication	1	0	0	0	0	23
14	explain	2:32:00::	1	verb.communication	1	0	0	0	0	24
8	explained	2:32:00::	1	verb.communication	2	2	2	2	2	25
1	explained	2:32:00::	1	verb.communication	2	2	2	2	2	26
6	explained	2:32:00::	1	verb.communication	2	2	2	2	2	27
12	explain	2:32:00::	1	verb.communication	2	0	2	2	2	28
2	explained	2:32:02::	3	verb.communication	2	0	2	2	2	29
5	explains	2:32:00::	1	verb.communication	2	0	0	2	2	30
16	explained	2:32:00::	1	verb.communication	2	0	0	2	2	31
26	explaining	2:32:00::	1	verb.communication	2	0	0	2	2	32
3	explain	2:32:00::	1	verb.communication	2	0	0	2	2	33
24	explained	2:32:00::	1	verb.communication	2	0	0	2	2	34
12	explain	2:32:00::	1	verb.communication	2	0	0	0	2	35
29	explaining	2:32:00::	1	verb.communication	2	0	0	0	2	36
6	explained	2:32:01::	2	verb.communication	2	0	0	0	2	37
1	explained	2:32:01::	2	verb.communication	2	0	0	0	2	38
27	explaining	2:32:00::	1	verb.communication	2	0	0	0	2	39
2	explained	2:32:00::	1	verb.communication	2	0	0	0	2	40
16	explained	2:32:00::	1	verb.communication	2	0	0	0	2	41
27	explained	2:32:00::	1	verb.communication	2	0	0	0	2	42
16	explained	2:32:00::	1	verb.communication	2	0	0	0	2	43
30	explain	2:32:00::	1	verb.communication	2	0	0	0	2	44
1	explained	2:32:00::	1	verb.communication	2	0	0	0	0	45
13	explaining	2:32:00::	1	verb.communication	2	0	0	0	0	46
3	explain	2:32:00::	1	verb.communication	2	0	0	0	0	47
5	explains	2:32:00::	1	verb.communication	2	0	0	0	0	48
11	explain	2:32:00::	1	verb.communication	2	0	0	0	0	49
