position	word	lexsn	wnsn	supersense	X25	X3	X5	X10	X20	index
7	expresses	2:32:01::	1	verb.communication	1	1	1	1	1	0
12	expressed	2:32:02::	3	verb.communication	1	1	1	1	1	1
3	express	2:32:01::	1	verb.communication	1	1	1	1	1	2
10	expressed	2:32:02::	3	verb.communication	1	0	1	1	1	3
1	expressed	2:32:00::	2	verb.communication	1	0	1	1	1	4
18	expressing	2:32:01::	1	verb.communication	1	0	0	1	1	5
1	expressed	2:32:01::	1	verb.communication	1	0	0	1	1	6
18	expressing	2:32:02::	3	verb.communication	1	0	0	1	1	7
11	expressed	2:32:01::	1	verb.communication	1	0	0	1	1	8
4	expressed	2:32:01::	1	verb.communication	1	0	0	1	1	9
34	expressed	2:32:02::	3	verb.communication	1	0	0	0	1	10
12	expressing	2:32:01::	1	verb.communication	1	0	0	0	1	11
4	expressing	2:32:01::	1	verb.communication	1	0	0	0	1	12
8	expressed	2:32:01::	1	verb.communication	1	0	0	0	1	13
15	express	2:32:02::	3	verb.communication	1	0	0	0	1	14
11	expressing	2:32:01::	1	verb.communication	1	0	0	0	1	15
7	expressed	2:32:00::	2	verb.communication	1	0	0	0	1	16
10	expresses	2:32:02::	3	verb.communication	1	0	0	0	1	17
35	expressing	2:32:01::	1	verb.communication	1	0	0	0	1	18
6	expressed	2:32:01::	1	verb.communication	1	0	0	0	1	19
6	express	2:32:00::	2	verb.communication	1	0	0	0	0	20
1	expressed	2:32:01::	1	verb.communication	1	0	0	0	0	21
26	expressing	2:32:01::	1	verb.communication	1	0	0	0	0	22
14	expressed	2:32:00::	2	verb.communication	1	0	0	0	0	23
0	Expressed	2:32:00::	2	verb.communication	1	0	0	0	0	24
18	express	2:32:01::	1	verb.communication	2	2	2	2	2	25
23	express	2:32:01::	1	verb.communication	2	2	2	2	2	26
1	expressed	2:32:00::	2	verb.communication	2	2	2	2	2	27
15	express	2:32:01::	1	verb.communication	2	0	2	2	2	28
50	expressed	2:32:02::	3	verb.communication	2	0	2	2	2	29
2	expressed	2:32:00::	2	verb.communication	2	0	0	2	2	30
9	expressing	2:32:00::	2	verb.communication	2	0	0	2	2	31
11	expressed	2:32:01::	1	verb.communication	2	0	0	2	2	32
4	expressed	2:32:01::	1	verb.communication	2	0	0	2	2	33
15	expressing	2:32:01::	1	verb.communication	2	0	0	2	2	34
23	expressed	2:32:02::	3	verb.communication	2	0	0	0	2	35
40	express	2:32:01::	1	verb.communication	2	0	0	0	2	36
23	expressing	2:32:01::	1	verb.communication	2	0	0	0	2	37
21	express	2:32:01::	1	verb.communication	2	0	0	0	2	38
26	expressed	2:32:02::	3	verb.communication	2	0	0	0	2	39
35	express	2:32:01::	1	verb.communication	2	0	0	0	2	40
30	expressing	2:32:00::	2	verb.communication	2	0	0	0	2	41
5	expressed	2:32:02::	3	verb.communication	2	0	0	0	2	42
25	expressing	2:32:00::	2	verb.communication	2	0	0	0	2	43
40	expressing	2:32:01::	1	verb.communication	2	0	0	0	2	44
8	expressed	2:32:01::	1	verb.communication	2	0	0	0	0	45
11	expresses	2:32:02::	3	verb.communication	2	0	0	0	0	46
10	expressed	2:32:01::	1	verb.communication	2	0	0	0	0	47
1	expressed	2:32:01::	1	verb.communication	2	0	0	0	0	48
28	express	2:32:01::	1	verb.communication	2	0	0	0	0	49
