position	word	lexsn	wnsn	supersense	X25	X3	X5	X10	X20	index
4	extend	2:42:03::	2	verb.stative	1	1	1	1	1	0
20	extended	2:40:05::	4	verb.possession	1	1	1	1	1	1
23	extend	2:29:00::	8	verb.body	1	1	1	1	1	2
22	extended	2:42:03::	2	verb.stative	1	0	1	1	1	3
4	extending	2:42:03::	2	verb.stative	1	0	1	1	1	4
8	extended	2:40:05::	4	verb.possession	1	0	0	1	1	5
5	extending	2:42:03::	2	verb.stative	1	0	0	1	1	6
41	extended	2:42:03::	2	verb.stative	1	0	0	1	1	7
19	extended	2:42:03::	2	verb.stative	1	0	0	1	1	8
4	extending	2:42:03::	2	verb.stative	1	0	0	1	1	9
9	extends	2:30:09::	9	verb.change	1	0	0	0	1	10
19	extended	2:40:05::	4	verb.possession	1	0	0	0	1	11
20	extends	2:42:03::	2	verb.stative	1	0	0	0	1	12
25	extended	2:42:03::	2	verb.stative	1	0	0	0	1	13
8	extending	2:29:01::	5	verb.body	1	0	0	0	1	14
27	extended	2:42:03::	2	verb.stative	1	0	0	0	1	15
1	extended	2:29:00::	8	verb.body	1	0	0	0	1	16
3	extended	2:40:05::	4	verb.possession	1	0	0	0	1	17
7	extend	2:42:03::	2	verb.stative	1	0	0	0	1	18
5	extended	2:29:01::	5	verb.body	1	0	0	0	1	19
24	extending	2:42:03::	2	verb.stative	1	0	0	0	0	20
6	extend	2:40:05::	4	verb.possession	1	0	0	0	0	21
22	extending	2:42:03::	2	verb.stative	1	0	0	0	0	22
18	extended	2:29:01::	5	verb.body	1	0	0	0	0	23
15	extending	2:40:05::	4	verb.possession	1	0	0	0	0	24
19	extending	2:30:01::	1	verb.change	2	2	2	2	2	25
32	extend	2:30:01::	1	verb.change	2	2	2	2	2	26
42	extended	2:30:01::	1	verb.change	2	2	2	2	2	27
28	extended	2:30:01::	1	verb.change	2	0	2	2	2	28
17	extend	2:42:01::	3	verb.stative	2	0	2	2	2	29
10	extended	2:30:01::	1	verb.change	2	0	0	2	2	30
4	extends	2:42:01::	3	verb.stative	2	0	0	2	2	31
22	extended	2:30:01::	1	verb.change	2	0	0	2	2	32
33	extending	2:30:01::	1	verb.change	2	0	0	2	2	33
4	extended	2:30:01::	1	verb.change	2	0	0	2	2	34
4	extends	2:30:01::	1	verb.change	2	0	0	0	2	35
6	extended	2:30:01::	1	verb.change	2	0	0	0	2	36
17	extending	2:42:01::	3	verb.stative	2	0	0	0	2	37
26	extend	2:42:01::	3	verb.stative	2	0	0	0	2	38
24	extend	2:42:02::	6	verb.stative	2	0	0	0	2	39
7	extended	2:42:01::	3	verb.stative	2	0	0	0	2	40
10	extend	2:30:01::	1	verb.change	2	0	0	0	2	41
9	extended	2:30:01::	1	verb.change	2	0	0	0	2	42
13	extending	2:30:01::	1	verb.change	2	0	0	0	2	43
12	extend	2:30:01::	1	verb.change	2	0	0	0	2	44
8	extend	2:42:02::	6	verb.stative	2	0	0	0	0	45
0	Extend	2:42:01::	3	verb.stative	2	0	0	0	0	46
26	extending	2:30:01::	1	verb.change	2	0	0	0	0	47
3	extend	2:40:04::	7	verb.possession	2	0	0	0	0	48
12	extend	2:30:01::	1	verb.change	2	0	0	0	0	49
