position	word	lexsn	wnsn	supersense	X25	X3	X5	X10	X20	index
8	eye	1:08:00::	1	noun.body	1	1	1	1	1	0
4	eyes	1:08:00::	1	noun.body	1	1	1	1	1	1
30	eye	1:08:00::	1	noun.body	1	1	1	1	1	2
16	eye	1:08:00::	1	noun.body	1	0	1	1	1	3
3	eyes	1:08:00::	1	noun.body	1	0	1	1	1	4
7	eyes	1:08:00::	1	noun.body	1	0	0	1	1	5
20	eyes	1:08:00::	1	noun.body	1	0	0	1	1	6
34	eye	1:08:00::	1	noun.body	1	0	0	1	1	7
6	eyes	1:08:00::	1	noun.body	1	0	0	1	1	8
19	eyes	1:08:00::	1	noun.body	1	0	0	1	1	9
9	eyes	1:08:00::	1	noun.body	1	0	0	0	1	10
17	eyes	1:08:00::	1	noun.body	1	0	0	0	1	11
4	eyes	1:08:00::	1	noun.body	1	0	0	0	1	12
13	eyes	1:08:00::	1	noun.body	1	0	0	0	1	13
5	eyes	1:08:00::	1	noun.body	1	0	0	0	1	14
18	eyes	1:08:00::	1	noun.body	1	0	0	0	1	15
16	eyes	1:08:00::	1	noun.body	1	0	0	0	1	16
14	eyes	1:08:00::	1	noun.body	1	0	0	0	1	17
24	eye	1:08:00::	1	noun.body	1	0	0	0	1	18
18	eye	1:08:00::	1	noun.body	1	0	0	0	1	19
58	eyes	1:08:00::	1	noun.body	1	0	0	0	0	20
11	eyes	1:08:00::	1	noun.body	1	0	0	0	0	21
11	eyes	1:08:00::	1	noun.body	1	0	0	0	0	22
17	eyes	1:08:00::	1	noun.body	1	0	0	0	0	23
2	eyes	1:08:00::	1	noun.body	1	0	0	0	0	24
3	eye	1:08:00::	1	noun.body	2	2	2	2	2	25
39	eye	1:08:00::	1	noun.body	2	2	2	2	2	26
7	eye	1:08:00::	1	noun.body	2	2	2	2	2	27
9	eyes	1:08:00::	1	noun.body	2	0	2	2	2	28
3	eyes	1:08:00::	1	noun.body	2	0	2	2	2	29
1	eyes	1:08:00::	1	noun.body	2	0	0	2	2	30
6	eye	1:08:00::	1	noun.body	2	0	0	2	2	31
33	eyes	1:08:00::	1	noun.body	2	0	0	2	2	32
6	eyes	1:08:00::	1	noun.body	2	0	0	2	2	33
23	eye	1:08:00::	1	noun.body	2	0	0	2	2	34
5	eyes	1:08:00::	1	noun.body	2	0	0	0	2	35
29	eyes	1:08:00::	1	noun.body	2	0	0	0	2	36
10	eyes	1:08:00::	1	noun.body	2	0	0	0	2	37
6	eyes	1:08:00::	1	noun.body	2	0	0	0	2	38
9	eye	1:08:00::	1	noun.body	2	0	0	0	2	39
13	eye	1:09:01::	3	noun.cognition	2	0	0	0	2	40
0	Eyes	1:08:00::	1	noun.body	2	0	0	0	2	41
7	eyes	1:08:00::	1	noun.body	2	0	0	0	2	42
8	eyes	1:08:00::	1	noun.body	2	0	0	0	2	43
6	eye	1:08:00::	1	noun.body	2	0	0	0	2	44
1	eyes	1:08:00::	1	noun.body	2	0	0	0	0	45
3	eye	1:08:00::	1	noun.body	2	0	0	0	0	46
1	eye	1:09:00::	2	noun.cognition	2	0	0	0	0	47
8	eye	1:08:00::	1	noun.body	2	0	0	0	0	48
17	eyes	1:08:00::	1	noun.body	2	0	0	0	0	49
