position	word	lexsn	wnsn	supersense	X25	X3	X5	X10	X20	index
10	face	1:08:00::	1	noun.body	1	1	1	1	1	0
3	face	1:08:00::	1	noun.body	1	1	1	1	1	1
12	faces	1:07:03::	2	noun.attribute	1	1	1	1	1	2
12	face	1:08:00::	1	noun.body	1	0	1	1	1	3
1	faces	1:08:00::	1	noun.body	1	0	1	1	1	4
8	face	1:08:00::	1	noun.body	1	0	0	1	1	5
11	faces	1:08:00::	1	noun.body	1	0	0	1	1	6
21	faces	1:08:00::	1	noun.body	1	0	0	1	1	7
7	face	1:08:00::	1	noun.body	1	0	0	1	1	8
7	face	1:04:00::	0	noun.act	1	0	0	1	1	9
21	face	1:08:00::	1	noun.body	1	0	0	0	1	10
24	face	1:08:00::	1	noun.body	1	0	0	0	1	11
12	face	1:08:00::	1	noun.body	1	0	0	0	1	12
5	face	1:08:00::	1	noun.body	1	0	0	0	1	13
9	face	1:08:00::	1	noun.body	1	0	0	0	1	14
3	face	1:07:03::	2	noun.attribute	1	0	0	0	1	15
23	face	1:08:00::	1	noun.body	1	0	0	0	1	16
1	face	1:08:00::	1	noun.body	1	0	0	0	1	17
20	face	1:08:00::	1	noun.body	1	0	0	0	1	18
9	face	1:08:00::	1	noun.body	1	0	0	0	1	19
1	face	1:08:00::	1	noun.body	1	0	0	0	0	20
19	face	1:08:00::	1	noun.body	1	0	0	0	0	21
16	face	1:04:00::	0	noun.act	1	0	0	0	0	22
1	face	1:08:00::	1	noun.body	1	0	0	0	0	23
10	faces	1:08:00::	1	noun.body	1	0	0	0	0	24
14	face	1:07:00::	3	noun.attribute	2	2	2	2	2	25
1	face	1:06:02::	4	noun.artifact	2	2	2	2	2	26
22	faces	1:07:00::	3	noun.attribute	2	2	2	2	2	27
6	face	1:07:00::	3	noun.attribute	2	0	2	2	2	28
4	face	1:07:00::	3	noun.attribute	2	0	2	2	2	29
14	face	1:07:00::	3	noun.attribute	2	0	0	2	2	30
5	face	1:07:00::	3	noun.attribute	2	0	0	2	2	31
8	face	1:07:00::	3	noun.attribute	2	0	0	2	2	32
22	face	1:06:02::	4	noun.artifact	2	0	0	2	2	33
9	face	1:07:00::	3	noun.attribute	2	0	0	2	2	34
7	face	1:07:00::	3	noun.attribute	2	0	0	0	2	35
1	face	1:07:00::	3	noun.attribute	2	0	0	0	2	36
9	face	1:07:00::	3	noun.attribute	2	0	0	0	2	37
8	face	1:07:00::	3	noun.attribute	2	0	0	0	2	38
22	faces	1:06:02::	4	noun.artifact	2	0	0	0	2	39
7	face	1:07:00::	3	noun.attribute	2	0	0	0	2	40
1	face	1:07:00::	3	noun.attribute	2	0	0	0	2	41
35	face	1:06:02::	4	noun.artifact	2	0	0	0	2	42
1	face	1:07:00::	3	noun.attribute	2	0	0	0	2	43
12	face	1:07:00::	3	noun.attribute	2	0	0	0	2	44
11	face	1:07:00::	3	noun.attribute	2	0	0	0	0	45
7	faces	1:07:00::	3	noun.attribute	2	0	0	0	0	46
18	face	1:07:00::	3	noun.attribute	2	0	0	0	0	47
7	face	1:07:00::	3	noun.attribute	2	0	0	0	0	48
28	face	1:08:01::	7	noun.body	2	0	0	0	0	49
