position	word	lexsn	wnsn	supersense	X25	X3	X5	X10	X20	index
16	faced	2:33:00::	2	verb.competition	1	1	1	1	1	0
4	faced	2:32:00::	1	verb.communication	1	1	1	1	1	1
14	face	2:32:00::	1	verb.communication	1	1	1	1	1	2
23	face	2:33:00::	2	verb.competition	1	0	1	1	1	3
13	faced	2:42:00::	3	verb.stative	1	0	1	1	1	4
8	faced	2:33:00::	2	verb.competition	1	0	0	1	1	5
7	faced	2:33:00::	2	verb.competition	1	0	0	1	1	6
20	faces	2:32:00::	1	verb.communication	1	0	0	1	1	7
5	face	2:33:00::	2	verb.competition	1	0	0	1	1	8
17	facing	2:42:00::	3	verb.stative	1	0	0	1	1	9
7	faced	2:32:00::	1	verb.communication	1	0	0	0	1	10
5	face	2:32:00::	1	verb.communication	1	0	0	0	1	11
14	face	2:33:00::	2	verb.competition	1	0	0	0	1	12
4	face	2:33:00::	2	verb.competition	1	0	0	0	1	13
2	face	2:32:00::	1	verb.communication	1	0	0	0	1	14
13	face	2:32:00::	1	verb.communication	1	0	0	0	1	15
20	faces	2:33:00::	2	verb.competition	1	0	0	0	1	16
26	faced	2:32:00::	1	verb.communication	1	0	0	0	1	17
7	facing	2:32:00::	1	verb.communication	1	0	0	0	1	18
19	face	2:32:00::	1	verb.communication	1	0	0	0	1	19
14	facing	2:32:00::	1	verb.communication	1	0	0	0	0	20
6	facing	2:42:02::	4	verb.stative	1	0	0	0	0	21
2	face	2:32:00::	1	verb.communication	1	0	0	0	0	22
11	face	2:42:00::	3	verb.stative	1	0	0	0	0	23
5	faced	2:32:00::	1	verb.communication	1	0	0	0	0	24
9	facing	2:32:00::	1	verb.communication	2	2	2	2	2	25
18	facing	2:42:00::	3	verb.stative	2	2	2	2	2	26
6	face	2:33:00::	2	verb.competition	2	2	2	2	2	27
12	face	2:32:00::	1	verb.communication	2	0	2	2	2	28
73	face	2:32:00::	1	verb.communication	2	0	2	2	2	29
5	face	2:32:00::	1	verb.communication	2	0	0	2	2	30
0	Facing	2:32:00::	1	verb.communication	2	0	0	2	2	31
20	faces	2:32:03::	6	verb.communication	2	0	0	2	2	32
6	face	2:32:00::	1	verb.communication	2	0	0	2	2	33
3	facing	2:32:00::	1	verb.communication	2	0	0	2	2	34
8	face	2:33:00::	2	verb.competition	2	0	0	0	2	35
21	faced	2:33:00::	2	verb.competition	2	0	0	0	2	36
0	Faced	2:32:00::	1	verb.communication	2	0	0	0	2	37
7	facing	2:33:00::	2	verb.competition	2	0	0	0	2	38
13	face	2:33:00::	2	verb.competition	2	0	0	0	2	39
40	faced	2:32:00::	1	verb.communication	2	0	0	0	2	40
25	face	2:32:00::	1	verb.communication	2	0	0	0	2	41
34	face	2:32:00::	1	verb.communication	2	0	0	0	2	42
15	face	2:33:00::	2	verb.competition	2	0	0	0	2	43
23	faced	2:32:00::	1	verb.communication	2	0	0	0	2	44
16	faced	2:32:03::	6	verb.communication	2	0	0	0	0	45
12	facing	2:32:00::	1	verb.communication	2	0	0	0	0	46
0	Facing	2:42:00::	3	verb.stative	2	0	0	0	0	47
3	face	2:32:00::	1	verb.communication	2	0	0	0	0	48
5	facing	2:32:00::	1	verb.communication	2	0	0	0	0	49
