position	word	lexsn	wnsn	supersense	X25	X3	X5	X10	X20	index
29	fact	1:09:01::	1	noun.cognition	1	1	1	1	1	0
4	facts	1:09:01::	1	noun.cognition	1	1	1	1	1	1
1	fact	1:09:01::	1	noun.cognition	1	1	1	1	1	2
3	fact	1:09:01::	1	noun.cognition	1	0	1	1	1	3
9	fact	1:09:01::	1	noun.cognition	1	0	1	1	1	4
5	facts	1:09:01::	1	noun.cognition	1	0	0	1	1	5
24	fact	1:10:01::	2	noun.communication	1	0	0	1	1	6
16	fact	1:10:01::	2	noun.communication	1	0	0	1	1	7
25	fact	1:26:01::	3	noun.state	1	0	0	1	1	8
7	facts	1:09:01::	1	noun.cognition	1	0	0	1	1	9
4	fact	1:26:01::	3	noun.state	1	0	0	0	1	10
12	fact	1:10:01::	2	noun.communication	1	0	0	0	1	11
43	fact	1:09:01::	1	noun.cognition	1	0	0	0	1	12
20	fact	1:10:01::	2	noun.communication	1	0	0	0	1	13
11	fact	1:09:01::	1	noun.cognition	1	0	0	0	1	14
4	fact	1:09:01::	1	noun.cognition	1	0	0	0	1	15
2	facts	1:09:02::	4	noun.cognition	1	0	0	0	1	16
28	fact	1:10:01::	2	noun.communication	1	0	0	0	1	17
4	fact	1:09:01::	1	noun.cognition	1	0	0	0	1	18
4	fact	1:09:01::	1	noun.cognition	1	0	0	0	1	19
22	facts	1:09:01::	1	noun.cognition	1	0	0	0	0	20
29	fact	1:09:01::	1	noun.cognition	1	0	0	0	0	21
4	facts	1:10:01::	2	noun.communication	1	0	0	0	0	22
25	fact	1:10:01::	2	noun.communication	1	0	0	0	0	23
11	fact	1:10:01::	2	noun.communication	1	0	0	0	0	24
1	fact	1:10:01::	2	noun.communication	2	2	2	2	2	25
12	fact	1:09:01::	1	noun.cognition	2	2	2	2	2	26
14	facts	1:10:01::	2	noun.communication	2	2	2	2	2	27
14	fact	1:09:01::	1	noun.cognition	2	0	2	2	2	28
12	fact	1:10:01::	2	noun.communication	2	0	2	2	2	29
5	facts	1:09:01::	1	noun.cognition	2	0	0	2	2	30
3	fact	1:09:01::	1	noun.cognition	2	0	0	2	2	31
11	fact	1:09:01::	1	noun.cognition	2	0	0	2	2	32
27	fact	1:09:01::	1	noun.cognition	2	0	0	2	2	33
25	facts	1:10:01::	2	noun.communication	2	0	0	2	2	34
7	fact	1:09:01::	1	noun.cognition	2	0	0	0	2	35
1	fact	1:09:01::	1	noun.cognition	2	0	0	0	2	36
10	fact	1:26:01::	3	noun.state	2	0	0	0	2	37
4	fact	1:09:01::	1	noun.cognition	2	0	0	0	2	38
2	fact	1:09:01::	1	noun.cognition	2	0	0	0	2	39
18	fact	1:09:01::	1	noun.cognition	2	0	0	0	2	40
5	facts	1:10:01::	2	noun.communication	2	0	0	0	2	41
6	fact	1:09:01::	1	noun.cognition	2	0	0	0	2	42
16	fact	1:09:01::	1	noun.cognition	2	0	0	0	2	43
5	fact	1:09:01::	1	noun.cognition	2	0	0	0	2	44
7	fact	1:09:01::	1	noun.cognition	2	0	0	0	0	45
23	fact	1:09:01::	1	noun.cognition	2	0	0	0	0	46
1	fact	1:10:01::	2	noun.communication	2	0	0	0	0	47
3	fact	1:09:01::	1	noun.cognition	2	0	0	0	0	48
12	fact	1:10:01::	2	noun.communication	2	0	0	0	0	49
