position	word	lexsn	wnsn	supersense	X25	X3	X5	X10	X20	index
11	failed	2:41:02::	1	verb.social	1	1	1	1	1	0
12	failed	2:41:02::	1	verb.social	1	1	1	1	1	1
30	fail	2:41:00::	2	verb.social	1	1	1	1	1	2
1	failed	2:41:00::	2	verb.social	1	0	1	1	1	3
32	failed	2:41:02::	1	verb.social	1	0	1	1	1	4
10	failed	2:41:02::	1	verb.social	1	0	0	1	1	5
3	failed	2:41:00::	2	verb.social	1	0	0	1	1	6
13	failed	2:41:00::	2	verb.social	1	0	0	1	1	7
21	failed	2:41:02::	1	verb.social	1	0	0	1	1	8
18	failed	2:41:02::	1	verb.social	1	0	0	1	1	9
13	failing	2:41:00::	2	verb.social	1	0	0	0	1	10
7	fail	2:41:02::	1	verb.social	1	0	0	0	1	11
53	fail	2:41:02::	1	verb.social	1	0	0	0	1	12
2	failed	2:41:02::	1	verb.social	1	0	0	0	1	13
0	Failing	2:41:02::	1	verb.social	1	0	0	0	1	14
6	failed	2:41:02::	1	verb.social	1	0	0	0	1	15
10	failed	2:41:02::	1	verb.social	1	0	0	0	1	16
9	fails	2:41:02::	1	verb.social	1	0	0	0	1	17
6	fail	2:41:02::	1	verb.social	1	0	0	0	1	18
15	failed	2:41:00::	2	verb.social	1	0	0	0	1	19
25	failing	2:41:02::	1	verb.social	1	0	0	0	0	20
2	failed	2:41:00::	2	verb.social	1	0	0	0	0	21
55	fail	2:30:00::	4	verb.change	1	0	0	0	0	22
21	fail	2:37:00::	3	verb.emotion	1	0	0	0	0	23
3	failed	2:41:00::	2	verb.social	1	0	0	0	0	24
11	failed	2:41:00::	2	verb.social	2	2	2	2	2	25
0	Failing	2:41:00::	2	verb.social	2	2	2	2	2	26
3	failed	2:41:00::	2	verb.social	2	2	2	2	2	27
4	failed	2:41:02::	1	verb.social	2	0	2	2	2	28
13	fail	2:41:02::	1	verb.social	2	0	2	2	2	29
3	failed	2:41:02::	1	verb.social	2	0	0	2	2	30
13	failed	2:41:02::	1	verb.social	2	0	0	2	2	31
2	fails	2:41:02::	1	verb.social	2	0	0	2	2	32
8	failed	2:41:02::	1	verb.social	2	0	0	2	2	33
23	fails	2:41:02::	1	verb.social	2	0	0	2	2	34
24	failed	2:37:00::	3	verb.emotion	2	0	0	0	2	35
4	failed	2:41:02::	1	verb.social	2	0	0	0	2	36
3	fail	2:41:02::	1	verb.social	2	0	0	0	2	37
16	failed	2:41:02::	1	verb.social	2	0	0	0	2	38
4	failed	2:41:00::	2	verb.social	2	0	0	0	2	39
23	failed	2:41:02::	1	verb.social	2	0	0	0	2	40
7	failed	2:41:02::	1	verb.social	2	0	0	0	2	41
15	fail	2:41:02::	1	verb.social	2	0	0	0	2	42
3	fails	2:41:00::	2	verb.social	2	0	0	0	2	43
18	failed	2:41:00::	2	verb.social	2	0	0	0	2	44
11	fail	2:41:00::	2	verb.social	2	0	0	0	0	45
5	fail	2:41:00::	2	verb.social	2	0	0	0	0	46
20	failed	2:41:02::	1	verb.social	2	0	0	0	0	47
4	failed	2:41:02::	1	verb.social	2	0	0	0	0	48
2	failed	2:41:00::	2	verb.social	2	0	0	0	0	49
