position	word	lexsn	wnsn	supersense	X25	X3	X5	X10	X20	index
24	fall	2:42:03::	4	verb.stative	1	1	1	1	1	0
12	fall	2:42:03::	4	verb.stative	1	1	1	1	1	1
13	falling	2:38:00::	2	verb.motion	1	1	1	1	1	2
5	fall	2:42:03::	4	verb.stative	1	0	1	1	1	3
11	fell	2:38:00::	2	verb.motion	1	0	1	1	1	4
4	fall	2:38:00::	2	verb.motion	1	0	0	1	1	5
5	falling	2:42:04::	8	verb.stative	1	0	0	1	1	6
5	falls	2:42:03::	4	verb.stative	1	0	0	1	1	7
7	fell	2:38:00::	2	verb.motion	1	0	0	1	1	8
27	falls	2:30:00::	10	verb.change	1	0	0	1	1	9
24	fell	2:38:00::	2	verb.motion	1	0	0	0	1	10
10	fall	2:38:00::	2	verb.motion	1	0	0	0	1	11
29	fell	2:38:00::	2	verb.motion	1	0	0	0	1	12
2	falling	2:38:00::	2	verb.motion	1	0	0	0	1	13
0	Fall	2:38:00::	2	verb.motion	1	0	0	0	1	14
12	falling	2:38:00::	2	verb.motion	1	0	0	0	1	15
6	fell	2:38:00::	2	verb.motion	1	0	0	0	1	16
11	fall	2:42:03::	4	verb.stative	1	0	0	0	1	17
1	fell	2:38:00::	2	verb.motion	1	0	0	0	1	18
0	Falling	2:42:03::	4	verb.stative	1	0	0	0	1	19
3	fell	2:38:00::	2	verb.motion	1	0	0	0	0	20
26	fall	2:30:00::	10	verb.change	1	0	0	0	0	21
5	fall	2:42:04::	8	verb.stative	1	0	0	0	0	22
1	fell	2:38:00::	2	verb.motion	1	0	0	0	0	23
12	falls	2:38:00::	2	verb.motion	1	0	0	0	0	24
6	falling	2:38:03::	1	verb.motion	2	2	2	2	2	25
10	fell	2:38:03::	1	verb.motion	2	2	2	2	2	26
25	fell	2:38:03::	1	verb.motion	2	2	2	2	2	27
25	fall	2:41:02::	6	verb.social	2	0	2	2	2	28
6	fallen	2:38:03::	1	verb.motion	2	0	2	2	2	29
47	falls	2:41:02::	6	verb.social	2	0	0	2	2	30
10	fell	2:30:08::	3	verb.change	2	0	0	2	2	31
9	fell	2:38:03::	1	verb.motion	2	0	0	2	2	32
4	fallen	2:42:00::	7	verb.stative	2	0	0	2	2	33
6	fell	2:38:03::	1	verb.motion	2	0	0	2	2	34
10	fell	2:43:00::	5	verb.weather	2	0	0	0	2	35
12	fell	2:30:08::	3	verb.change	2	0	0	0	2	36
9	falling	2:38:03::	1	verb.motion	2	0	0	0	2	37
6	fell	2:42:00::	7	verb.stative	2	0	0	0	2	38
7	fell	2:38:03::	1	verb.motion	2	0	0	0	2	39
39	fall	2:30:08::	3	verb.change	2	0	0	0	2	40
7	fell	2:43:00::	5	verb.weather	2	0	0	0	2	41
23	fell	2:30:08::	3	verb.change	2	0	0	0	2	42
5	fallen	2:38:03::	1	verb.motion	2	0	0	0	2	43
10	fallen	2:30:08::	3	verb.change	2	0	0	0	2	44
48	fell	2:30:08::	3	verb.change	2	0	0	0	0	45
4	fell	2:30:08::	3	verb.change	2	0	0	0	0	46
43	fell	2:42:00::	7	verb.stative	2	0	0	0	0	47
21	fall	2:43:00::	5	verb.weather	2	0	0	0	0	48
7	fall	2:38:03::	1	verb.motion	2	0	0	0	0	49
