position	word	lexsn	wnsn	supersense	X25	X3	X5	X10	X20	index
52	family	1:14:00::	2	noun.group	1	1	1	1	1	0
22	family	1:14:00::	2	noun.group	1	1	1	1	1	1
7	family	1:14:02::	1	noun.group	1	1	1	1	1	2
22	family	1:14:00::	2	noun.group	1	0	1	1	1	3
37	family	1:14:00::	2	noun.group	1	0	1	1	1	4
26	family	1:14:00::	2	noun.group	1	0	0	1	1	5
18	families	1:14:00::	2	noun.group	1	0	0	1	1	6
9	family	1:14:02::	1	noun.group	1	0	0	1	1	7
1	families	1:14:02::	1	noun.group	1	0	0	1	1	8
23	family	1:14:00::	2	noun.group	1	0	0	1	1	9
5	family	1:14:02::	1	noun.group	1	0	0	0	1	10
14	families	1:14:04::	3	noun.group	1	0	0	0	1	11
6	families	1:14:00::	2	noun.group	1	0	0	0	1	12
14	family	1:14:01::	4	noun.group	1	0	0	0	1	13
5	family	1:14:00::	2	noun.group	1	0	0	0	1	14
11	family	1:14:01::	4	noun.group	1	0	0	0	1	15
26	family	1:14:01::	4	noun.group	1	0	0	0	1	16
27	family	1:14:02::	1	noun.group	1	0	0	0	1	17
5	family	1:14:00::	2	noun.group	1	0	0	0	1	18
8	family	1:14:02::	1	noun.group	1	0	0	0	1	19
4	family	1:14:02::	1	noun.group	1	0	0	0	0	20
11	family	1:14:02::	1	noun.group	1	0	0	0	0	21
13	families	1:14:04::	3	noun.group	1	0	0	0	0	22
17	families	1:14:04::	3	noun.group	1	0	0	0	0	23
9	family	1:14:00::	2	noun.group	1	0	0	0	0	24
16	family	1:14:02::	1	noun.group	2	2	2	2	2	25
20	families	1:14:04::	3	noun.group	2	2	2	2	2	26
28	family	1:14:00::	2	noun.group	2	2	2	2	2	27
3	family	1:14:02::	1	noun.group	2	0	2	2	2	28
1	family	1:14:00::	2	noun.group	2	0	2	2	2	29
29	families	1:14:00::	2	noun.group	2	0	0	2	2	30
6	family	1:14:00::	2	noun.group	2	0	0	2	2	31
4	family	1:14:00::	2	noun.group	2	0	0	2	2	32
16	family	1:14:00::	2	noun.group	2	0	0	2	2	33
15	family	1:14:00::	2	noun.group	2	0	0	2	2	34
14	family	1:14:00::	2	noun.group	2	0	0	0	2	35
1	family	1:14:02::	1	noun.group	2	0	0	0	2	36
0	Family	1:14:02::	1	noun.group	2	0	0	0	2	37
2	family	1:14:00::	2	noun.group	2	0	0	0	2	38
14	family	1:14:02::	1	noun.group	2	0	0	0	2	39
6	family	1:14:02::	1	noun.group	2	0	0	0	2	40
4	family	1:14:02::	1	noun.group	2	0	0	0	2	41
29	family	1:14:00::	2	noun.group	2	0	0	0	2	42
18	family	1:14:02::	1	noun.group	2	0	0	0	2	43
8	families	1:14:00::	2	noun.group	2	0	0	0	2	44
26	family	1:14:02::	1	noun.group	2	0	0	0	0	45
40	family	1:14:00::	2	noun.group	2	0	0	0	0	46
26	families	1:14:00::	2	noun.group	2	0	0	0	0	47
20	family	1:14:02::	1	noun.group	2	0	0	0	0	48
0	Family	1:14:00::	2	noun.group	2	0	0	0	0	49
