position	word	lexsn	wnsn	supersense	X25	X3	X5	X10	X20	index
13	far	4:02:01::	4	adv.all	1	1	1	1	1	0
29	far	4:02:02::	1	adv.all	1	1	1	1	1	1
10	farther	4:02:00::	2	adv.all	1	1	1	1	1	2
0	Far	4:02:00::	2	adv.all	1	0	1	1	1	3
51	far	4:02:00::	2	adv.all	1	0	1	1	1	4
19	far	4:02:02::	1	adv.all	1	0	0	1	1	5
8	far	4:02:04::	3	adv.all	1	0	0	1	1	6
20	far	4:02:02::	1	adv.all	1	0	0	1	1	7
13	far	4:02:02::	1	adv.all	1	0	0	1	1	8
5	far	4:02:04::	3	adv.all	1	0	0	1	1	9
13	far	4:02:02::	1	adv.all	1	0	0	0	1	10
7	farther	4:02:04::	3	adv.all	1	0	0	0	1	11
6	far	4:02:02::	1	adv.all	1	0	0	0	1	12
21	far	4:02:02::	1	adv.all	1	0	0	0	1	13
44	far	4:02:02::	1	adv.all	1	0	0	0	1	14
7	far	4:02:02::	1	adv.all	1	0	0	0	1	15
9	far	4:02:00::	2	adv.all	1	0	0	0	1	16
51	far	4:02:02::	1	adv.all	1	0	0	0	1	17
25	far	4:02:02::	1	adv.all	1	0	0	0	1	18
3	far	4:02:02::	1	adv.all	1	0	0	0	1	19
52	far	4:02:02::	1	adv.all	1	0	0	0	0	20
0	Far	4:02:02::	1	adv.all	1	0	0	0	0	21
4	far	4:02:02::	1	adv.all	1	0	0	0	0	22
41	far	4:02:02::	1	adv.all	1	0	0	0	0	23
14	far	4:02:02::	1	adv.all	1	0	0	0	0	24
5	far	4:02:04::	3	adv.all	2	2	2	2	2	25
17	far	4:02:02::	1	adv.all	2	2	2	2	2	26
8	far	4:02:02::	1	adv.all	2	2	2	2	2	27
31	farther	4:02:04::	3	adv.all	2	0	2	2	2	28
13	far	4:02:02::	1	adv.all	2	0	2	2	2	29
5	far	4:02:02::	1	adv.all	2	0	0	2	2	30
24	far	4:02:00::	2	adv.all	2	0	0	2	2	31
15	far	4:02:02::	1	adv.all	2	0	0	2	2	32
1	far	4:02:02::	1	adv.all	2	0	0	2	2	33
8	far	4:02:04::	3	adv.all	2	0	0	2	2	34
10	far	4:02:02::	1	adv.all	2	0	0	0	2	35
16	further	4:02:04::	3	adv.all	2	0	0	0	2	36
8	far	4:02:00::	2	adv.all	2	0	0	0	2	37
6	farther	4:02:04::	3	adv.all	2	0	0	0	2	38
4	far	4:02:00::	2	adv.all	2	0	0	0	2	39
14	far	4:02:02::	1	adv.all	2	0	0	0	2	40
24	far	4:02:00::	2	adv.all	2	0	0	0	2	41
6	far	4:02:02::	1	adv.all	2	0	0	0	2	42
8	far	4:02:02::	1	adv.all	2	0	0	0	2	43
6	far	4:02:02::	1	adv.all	2	0	0	0	2	44
21	far	4:02:02::	1	adv.all	2	0	0	0	0	45
36	far	4:02:02::	1	adv.all	2	0	0	0	0	46
17	far	4:02:02::	1	adv.all	2	0	0	0	0	47
6	farther	4:02:00::	2	adv.all	2	0	0	0	0	48
7	further	4:02:04::	3	adv.all	2	0	0	0	0	49
