position	word	lexsn	wnsn	supersense	X25	X3	X5	X10	X20	index
9	fathers	1:18:04::	4	noun.person	1	1	1	1	1	0
12	father	1:18:00::	1	noun.person	1	1	1	1	1	1
22	father	1:18:00::	1	noun.person	1	1	1	1	1	2
16	father	1:18:00::	1	noun.person	1	0	1	1	1	3
4	Fathers	1:18:03::	2	noun.person	1	0	1	1	1	4
36	father	1:18:00::	1	noun.person	1	0	0	1	1	5
19	father	1:18:00::	1	noun.person	1	0	0	1	1	6
6	father	1:18:00::	1	noun.person	1	0	0	1	1	7
53	father	1:18:00::	1	noun.person	1	0	0	1	1	8
6	father	1:18:00::	1	noun.person	1	0	0	1	1	9
12	father	1:18:00::	1	noun.person	1	0	0	0	1	10
5	father	1:18:00::	1	noun.person	1	0	0	0	1	11
6	father	1:18:00::	1	noun.person	1	0	0	0	1	12
3	father	1:18:00::	1	noun.person	1	0	0	0	1	13
6	father	1:18:00::	1	noun.person	1	0	0	0	1	14
10	father	1:18:03::	2	noun.person	1	0	0	0	1	15
20	father	1:18:00::	1	noun.person	1	0	0	0	1	16
1	father	1:18:00::	1	noun.person	1	0	0	0	1	17
5	father	1:18:00::	1	noun.person	1	0	0	0	1	18
2	father	1:18:00::	1	noun.person	1	0	0	0	1	19
13	fathers	1:18:00::	1	noun.person	1	0	0	0	0	20
4	Father	1:18:00::	1	noun.person	1	0	0	0	0	21
35	father	1:18:00::	1	noun.person	1	0	0	0	0	22
8	father	1:18:00::	1	noun.person	1	0	0	0	0	23
1	father	1:18:00::	1	noun.person	1	0	0	0	0	24
14	father	1:18:00::	1	noun.person	2	2	2	2	2	25
2	fathers	1:18:05::	5	noun.person	2	2	2	2	2	26
17	fathers	1:18:04::	4	noun.person	2	2	2	2	2	27
1	father	1:18:00::	1	noun.person	2	0	2	2	2	28
9	father	1:18:00::	1	noun.person	2	0	2	2	2	29
9	father	1:18:00::	1	noun.person	2	0	0	2	2	30
18	fathers	1:18:00::	1	noun.person	2	0	0	2	2	31
1	father	1:18:00::	1	noun.person	2	0	0	2	2	32
6	father	1:18:00::	1	noun.person	2	0	0	2	2	33
5	father	1:18:00::	1	noun.person	2	0	0	2	2	34
21	father	1:18:00::	1	noun.person	2	0	0	0	2	35
14	father	1:18:00::	1	noun.person	2	0	0	0	2	36
1	father	1:18:00::	1	noun.person	2	0	0	0	2	37
12	father	1:18:00::	1	noun.person	2	0	0	0	2	38
6	father	1:18:00::	1	noun.person	2	0	0	0	2	39
52	father	1:18:00::	1	noun.person	2	0	0	0	2	40
4	father	1:18:00::	1	noun.person	2	0	0	0	2	41
1	father	1:18:00::	1	noun.person	2	0	0	0	2	42
1	father	1:18:00::	1	noun.person	2	0	0	0	2	43
6	father	1:18:00::	1	noun.person	2	0	0	0	2	44
4	father	1:18:00::	1	noun.person	2	0	0	0	0	45
15	father	1:18:00::	1	noun.person	2	0	0	0	0	46
7	father	1:18:00::	1	noun.person	2	0	0	0	0	47
3	father	1:18:00::	1	noun.person	2	0	0	0	0	48
1	father	1:18:00::	1	noun.person	2	0	0	0	0	49
