position	word	lexsn	wnsn	supersense	X25	X3	X5	X10	X20	index
15	fear	1:12:00::	1	noun.feeling	1	1	1	1	1	0
4	fears	1:12:00::	1	noun.feeling	1	1	1	1	1	1
18	fear	1:12:00::	1	noun.feeling	1	1	1	1	1	2
36	fear	1:12:00::	1	noun.feeling	1	0	1	1	1	3
37	fear	1:12:00::	1	noun.feeling	1	0	1	1	1	4
16	fear	1:12:00::	1	noun.feeling	1	0	0	1	1	5
3	fears	1:12:00::	1	noun.feeling	1	0	0	1	1	6
17	fear	1:12:00::	1	noun.feeling	1	0	0	1	1	7
9	fear	1:12:00::	1	noun.feeling	1	0	0	1	1	8
7	fear	1:12:00::	1	noun.feeling	1	0	0	1	1	9
18	fears	1:12:00::	1	noun.feeling	1	0	0	0	1	10
5	fears	1:12:00::	1	noun.feeling	1	0	0	0	1	11
7	fear	1:12:00::	1	noun.feeling	1	0	0	0	1	12
4	fears	1:12:00::	1	noun.feeling	1	0	0	0	1	13
1	fear	1:12:00::	1	noun.feeling	1	0	0	0	1	14
14	fears	1:12:00::	1	noun.feeling	1	0	0	0	1	15
0	Fear	1:12:00::	1	noun.feeling	1	0	0	0	1	16
33	fears	1:12:00::	1	noun.feeling	1	0	0	0	1	17
20	fears	1:12:00::	1	noun.feeling	1	0	0	0	1	18
1	fear	1:12:00::	1	noun.feeling	1	0	0	0	1	19
12	fears	1:12:00::	1	noun.feeling	1	0	0	0	0	20
14	fear	1:12:00::	1	noun.feeling	1	0	0	0	0	21
19	fear	1:12:01::	2	noun.feeling	1	0	0	0	0	22
12	fears	1:12:00::	1	noun.feeling	1	0	0	0	0	23
0	Fear	1:12:00::	1	noun.feeling	1	0	0	0	0	24
25	fears	1:12:00::	1	noun.feeling	2	2	2	2	2	25
14	fear	1:12:00::	1	noun.feeling	2	2	2	2	2	26
22	fear	1:12:00::	1	noun.feeling	2	2	2	2	2	27
1	fear	1:12:00::	1	noun.feeling	2	0	2	2	2	28
4	fear	1:12:00::	1	noun.feeling	2	0	2	2	2	29
12	fear	1:12:00::	1	noun.feeling	2	0	0	2	2	30
1	fear	1:12:00::	1	noun.feeling	2	0	0	2	2	31
31	fear	1:12:00::	1	noun.feeling	2	0	0	2	2	32
2	fear	1:12:00::	1	noun.feeling	2	0	0	2	2	33
20	fear	1:12:00::	1	noun.feeling	2	0	0	2	2	34
2	fear	1:12:00::	1	noun.feeling	2	0	0	0	2	35
5	fears	1:12:00::	1	noun.feeling	2	0	0	0	2	36
8	fears	1:12:00::	1	noun.feeling	2	0	0	0	2	37
17	fear	1:12:00::	1	noun.feeling	2	0	0	0	2	38
16	fear	1:12:00::	1	noun.feeling	2	0	0	0	2	39
22	fear	1:12:00::	1	noun.feeling	2	0	0	0	2	40
14	fear	1:12:00::	1	noun.feeling	2	0	0	0	2	41
35	fears	1:12:00::	1	noun.feeling	2	0	0	0	2	42
7	fear	1:12:00::	1	noun.feeling	2	0	0	0	2	43
4	fears	1:12:00::	1	noun.feeling	2	0	0	0	2	44
6	fear	1:12:00::	1	noun.feeling	2	0	0	0	0	45
9	fear	1:12:00::	1	noun.feeling	2	0	0	0	0	46
6	fear	1:12:00::	1	noun.feeling	2	0	0	0	0	47
8	fears	1:12:00::	1	noun.feeling	2	0	0	0	0	48
2	fear	1:12:00::	1	noun.feeling	2	0	0	0	0	49
