position	word	lexsn	wnsn	supersense	X25	X3	X5	X10	X20	index
30	feed	2:41:00::	5	verb.social	1	1	1	1	1	0
43	fed	2:34:01::	2	verb.consumption	1	1	1	1	1	1
0	Feed	2:34:04::	1	verb.consumption	1	1	1	1	1	2
18	feed	2:34:04::	1	verb.consumption	1	0	1	1	1	3
18	fed	2:34:01::	2	verb.consumption	1	0	1	1	1	4
48	feeds	2:41:00::	5	verb.social	1	0	0	1	1	5
10	feed	2:34:04::	1	verb.consumption	1	0	0	1	1	6
8	fed	2:34:04::	1	verb.consumption	1	0	0	1	1	7
21	feeds	2:34:00::	6	verb.consumption	1	0	0	1	1	8
6	feed	2:34:04::	1	verb.consumption	1	0	0	1	1	9
51	fed	2:34:04::	1	verb.consumption	1	0	0	0	1	10
7	feed	2:34:04::	1	verb.consumption	1	0	0	0	1	11
5	fed	2:34:03::	3	verb.consumption	1	0	0	0	1	12
21	feeds	2:30:01::	4	verb.change	1	0	0	0	1	13
5	feed	2:34:04::	1	verb.consumption	1	0	0	0	1	14
6	feeds	2:34:03::	3	verb.consumption	1	0	0	0	1	15
11	feed	2:34:04::	1	verb.consumption	1	0	0	0	1	16
4	fed	2:34:04::	1	verb.consumption	1	0	0	0	1	17
16	fed	2:34:01::	2	verb.consumption	1	0	0	0	1	18
19	fed	2:30:01::	4	verb.change	1	0	0	0	1	19
8	feeding	2:34:04::	1	verb.consumption	1	0	0	0	0	20
3	fed	2:34:04::	1	verb.consumption	1	0	0	0	0	21
13	fed	2:34:03::	3	verb.consumption	1	0	0	0	0	22
5	feed	2:34:04::	1	verb.consumption	1	0	0	0	0	23
7	fed	2:34:04::	1	verb.consumption	1	0	0	0	0	24
8	feed	2:34:04::	1	verb.consumption	2	2	2	2	2	25
8	feed	2:34:04::	1	verb.consumption	2	2	2	2	2	26
22	feeding	2:34:04::	1	verb.consumption	2	2	2	2	2	27
1	fed	2:41:00::	5	verb.social	2	0	2	2	2	28
21	fed	2:34:04::	1	verb.consumption	2	0	2	2	2	29
3	feed	2:34:01::	2	verb.consumption	2	0	0	2	2	30
5	feed	2:34:04::	1	verb.consumption	2	0	0	2	2	31
0	Fed	2:34:04::	1	verb.consumption	2	0	0	2	2	32
10	feed	2:34:04::	1	verb.consumption	2	0	0	2	2	33
24	feed	2:34:01::	2	verb.consumption	2	0	0	2	2	34
2	feed	2:34:04::	1	verb.consumption	2	0	0	0	2	35
3	feed	2:34:04::	1	verb.consumption	2	0	0	0	2	36
4	feed	2:34:04::	1	verb.consumption	2	0	0	0	2	37
34	feed	2:34:01::	2	verb.consumption	2	0	0	0	2	38
10	feed	2:34:04::	1	verb.consumption	2	0	0	0	2	39
7	feed	2:34:04::	1	verb.consumption	2	0	0	0	2	40
15	feed	2:34:01::	2	verb.consumption	2	0	0	0	2	41
14	feeds	2:30:01::	4	verb.change	2	0	0	0	2	42
7	feed	2:34:04::	1	verb.consumption	2	0	0	0	2	43
3	feed	2:34:04::	1	verb.consumption	2	0	0	0	2	44
29	fed	2:34:01::	2	verb.consumption	2	0	0	0	0	45
10	feeding	2:34:01::	2	verb.consumption	2	0	0	0	0	46
48	fed	2:34:04::	1	verb.consumption	2	0	0	0	0	47
5	feed	2:34:04::	1	verb.consumption	2	0	0	0	0	48
8	feed	2:34:04::	1	verb.consumption	2	0	0	0	0	49
