position	word	lexsn	wnsn	supersense	X25	X3	X5	X10	X20	index
2	felt	2:29:00::	4	verb.body	1	1	1	1	1	0
1	feel	2:31:00::	2	verb.cognition	1	1	1	1	1	1
18	feel	2:37:00::	1	verb.emotion	1	1	1	1	1	2
8	felt	2:39:00::	3	verb.perception	1	0	1	1	1	3
2	felt	2:37:00::	1	verb.emotion	1	0	1	1	1	4
29	feel	2:37:00::	1	verb.emotion	1	0	0	1	1	5
1	felt	2:31:00::	2	verb.cognition	1	0	0	1	1	6
1	felt	2:37:00::	1	verb.emotion	1	0	0	1	1	7
6	felt	2:39:00::	3	verb.perception	1	0	0	1	1	8
2	feel	2:37:00::	1	verb.emotion	1	0	0	1	1	9
8	felt	2:29:00::	4	verb.body	1	0	0	0	1	10
1	feels	2:31:00::	2	verb.cognition	1	0	0	0	1	11
16	felt	2:31:00::	2	verb.cognition	1	0	0	0	1	12
6	feel	2:29:00::	4	verb.body	1	0	0	0	1	13
9	felt	2:31:00::	2	verb.cognition	1	0	0	0	1	14
18	feels	2:31:00::	2	verb.cognition	1	0	0	0	1	15
7	feel	2:37:00::	1	verb.emotion	1	0	0	0	1	16
1	felt	2:29:00::	4	verb.body	1	0	0	0	1	17
4	felt	2:31:00::	2	verb.cognition	1	0	0	0	1	18
1	felt	2:39:10::	8	verb.perception	1	0	0	0	1	19
5	feels	2:31:00::	2	verb.cognition	1	0	0	0	0	20
6	felt	2:37:00::	1	verb.emotion	1	0	0	0	0	21
1	feel	2:37:00::	1	verb.emotion	1	0	0	0	0	22
6	feel	2:37:00::	1	verb.emotion	1	0	0	0	0	23
47	feel	2:37:00::	1	verb.emotion	1	0	0	0	0	24
7	felt	2:39:01::	6	verb.perception	2	2	2	2	2	25
12	felt	2:39:01::	6	verb.perception	2	2	2	2	2	26
12	felt	2:29:00::	4	verb.body	2	2	2	2	2	27
7	felt	2:39:00::	3	verb.perception	2	0	2	2	2	28
1	felt	2:39:00::	3	verb.perception	2	0	2	2	2	29
8	felt	2:39:00::	3	verb.perception	2	0	0	2	2	30
6	feel	2:31:01::	5	verb.cognition	2	0	0	2	2	31
13	felt	2:31:01::	5	verb.cognition	2	0	0	2	2	32
13	feel	2:37:00::	1	verb.emotion	2	0	0	2	2	33
15	feel	2:31:00::	2	verb.cognition	2	0	0	2	2	34
10	feels	2:31:00::	2	verb.cognition	2	0	0	0	2	35
1	felt	2:31:00::	2	verb.cognition	2	0	0	0	2	36
10	feels	2:37:00::	1	verb.emotion	2	0	0	0	2	37
4	feel	2:31:00::	2	verb.cognition	2	0	0	0	2	38
2	felt	2:31:00::	2	verb.cognition	2	0	0	0	2	39
6	felt	2:37:00::	1	verb.emotion	2	0	0	0	2	40
4	felt	2:39:01::	6	verb.perception	2	0	0	0	2	41
9	felt	2:31:00::	2	verb.cognition	2	0	0	0	2	42
14	felt	2:31:00::	2	verb.cognition	2	0	0	0	2	43
9	feeling	2:31:00::	2	verb.cognition	2	0	0	0	2	44
2	feels	2:37:00::	1	verb.emotion	2	0	0	0	0	45
41	feel	2:37:00::	1	verb.emotion	2	0	0	0	0	46
20	felt	2:31:00::	2	verb.cognition	2	0	0	0	0	47
3	feel	2:37:00::	1	verb.emotion	2	0	0	0	0	48
6	feels	2:37:00::	1	verb.emotion	2	0	0	0	0	49
