position	word	lexsn	wnsn	supersense	X25	X3	X5	X10	X20	index
3	feeling	1:09:03::	2	noun.cognition	1	1	1	1	1	0
37	feeling	1:03:00::	1	noun.Tops	1	1	1	1	1	1
39	feelings	1:03:00::	1	noun.Tops	1	1	1	1	1	2
25	feelings	1:03:00::	1	noun.Tops	1	0	1	1	1	3
4	feeling	1:09:03::	2	noun.cognition	1	0	1	1	1	4
23	feeling	1:26:00::	3	noun.state	1	0	0	1	1	5
19	feeling	1:09:03::	2	noun.cognition	1	0	0	1	1	6
11	feeling	1:03:00::	1	noun.Tops	1	0	0	1	1	7
21	feeling	1:09:03::	2	noun.cognition	1	0	0	1	1	8
22	feeling	1:03:00::	1	noun.Tops	1	0	0	1	1	9
21	feeling	1:03:00::	1	noun.Tops	1	0	0	0	1	10
2	feeling	1:09:03::	2	noun.cognition	1	0	0	0	1	11
10	feeling	1:26:00::	3	noun.state	1	0	0	0	1	12
8	feeling	1:09:03::	2	noun.cognition	1	0	0	0	1	13
3	feelings	1:03:00::	1	noun.Tops	1	0	0	0	1	14
12	feeling	1:09:01::	4	noun.cognition	1	0	0	0	1	15
1	feeling	1:03:00::	1	noun.Tops	1	0	0	0	1	16
14	feeling	1:03:00::	1	noun.Tops	1	0	0	0	1	17
3	feeling	1:09:03::	2	noun.cognition	1	0	0	0	1	18
19	feeling	1:03:00::	1	noun.Tops	1	0	0	0	1	19
19	feelings	1:03:00::	1	noun.Tops	1	0	0	0	0	20
2	feeling	1:26:00::	3	noun.state	1	0	0	0	0	21
8	feeling	1:09:03::	2	noun.cognition	1	0	0	0	0	22
4	feeling	1:03:00::	1	noun.Tops	1	0	0	0	0	23
4	feeling	1:26:00::	3	noun.state	1	0	0	0	0	24
77	feelings	1:03:00::	1	noun.Tops	2	2	2	2	2	25
6	feeling	1:26:00::	3	noun.state	2	2	2	2	2	26
2	feeling	1:26:00::	3	noun.state	2	2	2	2	2	27
20	feelings	1:09:03::	2	noun.cognition	2	0	2	2	2	28
44	feelings	1:03:00::	1	noun.Tops	2	0	2	2	2	29
45	feelings	1:03:00::	1	noun.Tops	2	0	0	2	2	30
21	feeling	1:09:03::	2	noun.cognition	2	0	0	2	2	31
5	feeling	1:09:03::	2	noun.cognition	2	0	0	2	2	32
23	feeling	1:26:00::	3	noun.state	2	0	0	2	2	33
40	feeling	1:03:00::	1	noun.Tops	2	0	0	2	2	34
11	feeling	1:03:00::	1	noun.Tops	2	0	0	0	2	35
1	feeling	1:26:00::	3	noun.state	2	0	0	0	2	36
11	feeling	1:03:00::	1	noun.Tops	2	0	0	0	2	37
31	feelings	1:26:00::	3	noun.state	2	0	0	0	2	38
4	feeling	1:09:03::	2	noun.cognition	2	0	0	0	2	39
2	feeling	1:09:03::	2	noun.cognition	2	0	0	0	2	40
4	feelings	1:03:00::	1	noun.Tops	2	0	0	0	2	41
1	feeling	1:03:00::	1	noun.Tops	2	0	0	0	2	42
38	feeling	1:26:00::	3	noun.state	2	0	0	0	2	43
2	feeling	1:09:03::	2	noun.cognition	2	0	0	0	2	44
11	feeling	1:09:03::	2	noun.cognition	2	0	0	0	0	45
6	feeling	1:03:00::	1	noun.Tops	2	0	0	0	0	46
7	feelings	1:03:00::	1	noun.Tops	2	0	0	0	0	47
11	feelings	1:03:00::	1	noun.Tops	2	0	0	0	0	48
14	feelings	1:03:00::	1	noun.Tops	2	0	0	0	0	49
