position	word	lexsn	wnsn	supersense	X25	X3	X5	X10	X20	index
20	field	1:04:00::	6	noun.act	1	1	1	1	1	0
2	field	1:14:01::	12	noun.group	1	1	1	1	1	1
19	field	1:09:00::	4	noun.cognition	1	1	1	1	1	2
12	field	1:15:01::	3	noun.location	1	0	1	1	1	3
10	field	1:15:01::	3	noun.location	1	0	1	1	1	4
20	field	1:15:01::	3	noun.location	1	0	0	1	1	5
8	field	1:14:02::	13	noun.group	1	0	0	1	1	6
7	field	1:04:00::	6	noun.act	1	0	0	1	1	7
3	field	1:26:00::	7	noun.state	1	0	0	1	1	8
25	field	1:15:01::	3	noun.location	1	0	0	1	1	9
2	fields	1:09:00::	4	noun.cognition	1	0	0	0	1	10
8	field	1:15:01::	3	noun.location	1	0	0	0	1	11
6	field	1:15:02::	8	noun.location	1	0	0	0	1	12
17	field	1:15:01::	3	noun.location	1	0	0	0	1	13
8	field	1:15:02::	8	noun.location	1	0	0	0	1	14
2	field	1:04:00::	6	noun.act	1	0	0	0	1	15
2	field	1:09:00::	4	noun.cognition	1	0	0	0	1	16
29	field	1:15:01::	3	noun.location	1	0	0	0	1	17
24	field	1:09:00::	4	noun.cognition	1	0	0	0	1	18
8	field	1:09:00::	4	noun.cognition	1	0	0	0	1	19
16	field	1:15:02::	8	noun.location	1	0	0	0	0	20
16	field	1:15:01::	3	noun.location	1	0	0	0	0	21
2	field	1:26:00::	7	noun.state	1	0	0	0	0	22
9	field	1:15:01::	3	noun.location	1	0	0	0	0	23
5	field	1:15:01::	3	noun.location	1	0	0	0	0	24
10	fields	1:15:00::	1	noun.location	2	2	2	2	2	25
42	fields	1:19:00::	5	noun.phenomenon	2	2	2	2	2	26
14	field	1:14:00::	10	noun.group	2	2	2	2	2	27
8	field	1:17:00::	9	noun.object	2	0	2	2	2	28
18	field	1:14:00::	10	noun.group	2	0	2	2	2	29
30	fields	1:15:00::	1	noun.location	2	0	0	2	2	30
17	field	1:19:00::	5	noun.phenomenon	2	0	0	2	2	31
4	fields	1:15:00::	1	noun.location	2	0	0	2	2	32
12	field	1:15:00::	1	noun.location	2	0	0	2	2	33
8	field	1:17:00::	9	noun.object	2	0	0	2	2	34
10	field	1:19:00::	5	noun.phenomenon	2	0	0	0	2	35
6	field	1:15:00::	1	noun.location	2	0	0	0	2	36
4	field	1:15:00::	1	noun.location	2	0	0	0	2	37
11	field	1:19:00::	5	noun.phenomenon	2	0	0	0	2	38
2	fields	1:15:00::	1	noun.location	2	0	0	0	2	39
7	fields	1:15:00::	1	noun.location	2	0	0	0	2	40
9	fields	1:19:00::	5	noun.phenomenon	2	0	0	0	2	41
10	field	1:19:00::	5	noun.phenomenon	2	0	0	0	2	42
35	fields	1:15:00::	1	noun.location	2	0	0	0	2	43
25	fields	1:15:00::	1	noun.location	2	0	0	0	2	44
13	fields	1:19:00::	5	noun.phenomenon	2	0	0	0	0	45
3	fields	1:15:00::	1	noun.location	2	0	0	0	0	46
28	fields	1:15:00::	1	noun.location	2	0	0	0	0	47
23	fields	1:19:00::	5	noun.phenomenon	2	0	0	0	0	48
12	field	1:19:00::	5	noun.phenomenon	2	0	0	0	0	49
