position	word	lexsn	wnsn	supersense	X25	X3	X5	X10	X20	index
7	fight	2:33:00::	1	verb.competition	1	1	1	1	1	0
21	fought	2:33:00::	1	verb.competition	1	1	1	1	1	1
3	fight	2:33:01::	2	verb.competition	1	1	1	1	1	2
22	fight	2:33:01::	2	verb.competition	1	0	1	1	1	3
1	fought	2:33:01::	2	verb.competition	1	0	1	1	1	4
3	fighting	2:33:01::	2	verb.competition	1	0	0	1	1	5
5	fought	2:33:00::	1	verb.competition	1	0	0	1	1	6
29	fought	2:33:00::	1	verb.competition	1	0	0	1	1	7
15	fought	2:33:01::	2	verb.competition	1	0	0	1	1	8
2	fought	2:33:01::	2	verb.competition	1	0	0	1	1	9
22	fighting	2:41:00::	3	verb.social	1	0	0	0	1	10
36	fought	2:33:01::	2	verb.competition	1	0	0	0	1	11
18	fighting	2:33:01::	2	verb.competition	1	0	0	0	1	12
7	fight	2:33:01::	2	verb.competition	1	0	0	0	1	13
1	fought	2:33:00::	1	verb.competition	1	0	0	0	1	14
10	fighting	2:33:01::	2	verb.competition	1	0	0	0	1	15
26	fight	2:33:01::	2	verb.competition	1	0	0	0	1	16
4	fight	2:33:00::	1	verb.competition	1	0	0	0	1	17
9	fighting	2:33:00::	1	verb.competition	1	0	0	0	1	18
3	fighting	2:33:00::	1	verb.competition	1	0	0	0	1	19
7	fighting	2:33:01::	2	verb.competition	1	0	0	0	0	20
16	fight	2:33:00::	1	verb.competition	1	0	0	0	0	21
15	fight	2:33:01::	2	verb.competition	1	0	0	0	0	22
14	fighting	2:33:00::	1	verb.competition	1	0	0	0	0	23
30	fought	2:41:10::	4	verb.social	1	0	0	0	0	24
9	fighting	2:33:01::	2	verb.competition	2	2	2	2	2	25
14	fight	2:33:01::	2	verb.competition	2	2	2	2	2	26
20	fighting	2:33:01::	2	verb.competition	2	2	2	2	2	27
12	fight	2:33:00::	1	verb.competition	2	0	2	2	2	28
9	fight	2:33:00::	1	verb.competition	2	0	2	2	2	29
58	fighting	2:33:01::	2	verb.competition	2	0	0	2	2	30
18	fighting	2:33:00::	1	verb.competition	2	0	0	2	2	31
44	fighting	2:33:01::	2	verb.competition	2	0	0	2	2	32
42	fight	2:33:00::	1	verb.competition	2	0	0	2	2	33
7	fighting	2:33:00::	1	verb.competition	2	0	0	2	2	34
18	fighting	2:33:01::	2	verb.competition	2	0	0	0	2	35
3	fight	2:33:01::	2	verb.competition	2	0	0	0	2	36
10	fight	2:33:01::	2	verb.competition	2	0	0	0	2	37
4	fighting	2:33:00::	1	verb.competition	2	0	0	0	2	38
51	Fought	2:33:00::	1	verb.competition	2	0	0	0	2	39
20	fought	2:33:01::	2	verb.competition	2	0	0	0	2	40
5	fight	2:33:01::	2	verb.competition	2	0	0	0	2	41
20	fought	2:33:00::	1	verb.competition	2	0	0	0	2	42
56	fighting	2:41:10::	4	verb.social	2	0	0	0	2	43
4	fightin	2:33:00::	1	verb.competition	2	0	0	0	2	44
11	fought	2:33:01::	2	verb.competition	2	0	0	0	0	45
4	fighting	2:33:01::	2	verb.competition	2	0	0	0	0	46
11	fight	2:33:00::	1	verb.competition	2	0	0	0	0	47
5	fought	2:33:00::	1	verb.competition	2	0	0	0	0	48
25	fought	2:33:01::	2	verb.competition	2	0	0	0	0	49
