position	word	lexsn	wnsn	supersense	X25	X3	X5	X10	X20	index
11	figure	1:10:00::	1	noun.communication	1	1	1	1	1	0
5	figure	1:10:00::	1	noun.communication	1	1	1	1	1	1
14	Figure	1:10:00::	1	noun.communication	1	1	1	1	1	2
1	figures	1:21:00::	7	noun.possession	1	0	1	1	1	3
1	figure	1:08:00::	2	noun.body	1	0	1	1	1	4
17	Figures	1:10:00::	1	noun.communication	1	0	0	1	1	5
3	Figure	1:10:00::	1	noun.communication	1	0	0	1	1	6
9	Figure	1:10:00::	1	noun.communication	1	0	0	1	1	7
4	figure	1:10:00::	1	noun.communication	1	0	0	1	1	8
15	figure	1:07:00::	8	noun.attribute	1	0	0	1	1	9
6	Figure	1:10:00::	1	noun.communication	1	0	0	0	1	10
0	Figure	1:10:00::	1	noun.communication	1	0	0	0	1	11
8	Figure	1:10:00::	1	noun.communication	1	0	0	0	1	12
8	figure	1:08:00::	2	noun.body	1	0	0	0	1	13
1	figures	1:23:00::	3	noun.quantity	1	0	0	0	1	14
17	figure	1:10:00::	1	noun.communication	1	0	0	0	1	15
9	Figure	1:10:00::	1	noun.communication	1	0	0	0	1	16
7	figures	1:06:00::	4	noun.artifact	1	0	0	0	1	17
19	figure	1:10:00::	1	noun.communication	1	0	0	0	1	18
15	figure	1:10:00::	1	noun.communication	1	0	0	0	1	19
2	figure	1:08:00::	2	noun.body	1	0	0	0	0	20
40	figures	1:23:00::	3	noun.quantity	1	0	0	0	0	21
37	figures	1:21:00::	7	noun.possession	1	0	0	0	0	22
11	figures	1:23:00::	3	noun.quantity	1	0	0	0	0	23
12	Figure	1:10:00::	1	noun.communication	1	0	0	0	0	24
5	figure	1:25:00::	6	noun.shape	2	2	2	2	2	25
4	Figure	1:10:00::	1	noun.communication	2	2	2	2	2	26
10	figures	1:18:00::	5	noun.person	2	2	2	2	2	27
5	figures	1:08:00::	2	noun.body	2	0	2	2	2	28
7	figure	1:23:00::	3	noun.quantity	2	0	2	2	2	29
10	figure	1:10:00::	1	noun.communication	2	0	0	2	2	30
21	figure	1:08:00::	2	noun.body	2	0	0	2	2	31
23	figures	1:18:00::	5	noun.person	2	0	0	2	2	32
2	figure	1:08:00::	2	noun.body	2	0	0	2	2	33
10	Figures	1:10:00::	1	noun.communication	2	0	0	2	2	34
0	Figure	1:10:00::	1	noun.communication	2	0	0	0	2	35
0	Figures	1:10:00::	1	noun.communication	2	0	0	0	2	36
8	figure	1:08:00::	2	noun.body	2	0	0	0	2	37
27	figure	1:08:00::	2	noun.body	2	0	0	0	2	38
0	Figures	1:08:00::	2	noun.body	2	0	0	0	2	39
1	figure	1:08:00::	2	noun.body	2	0	0	0	2	40
2	figures	1:10:00::	1	noun.communication	2	0	0	0	2	41
15	figure	1:08:00::	2	noun.body	2	0	0	0	2	42
0	Figure	1:10:00::	1	noun.communication	2	0	0	0	2	43
18	figure	1:18:00::	5	noun.person	2	0	0	0	2	44
29	figures	1:10:00::	1	noun.communication	2	0	0	0	0	45
3	figures	1:08:00::	2	noun.body	2	0	0	0	0	46
6	Figures	1:10:00::	1	noun.communication	2	0	0	0	0	47
8	figure	1:10:00::	1	noun.communication	2	0	0	0	0	48
13	figure	1:23:00::	3	noun.quantity	2	0	0	0	0	49
