position	word	lexsn	wnsn	supersense	X25	X3	X5	X10	X20	index
16	file	2:35:00::	2	verb.contact	1	1	1	1	1	0
5	file	2:32:02::	1	verb.communication	1	1	1	1	1	1
14	file	2:32:02::	1	verb.communication	1	1	1	1	1	2
2	file	2:32:02::	1	verb.communication	1	0	1	1	1	3
14	file	2:32:02::	1	verb.communication	1	0	1	1	1	4
7	filed	2:32:02::	1	verb.communication	1	0	0	1	1	5
24	file	2:32:02::	1	verb.communication	1	0	0	1	1	6
5	filed	2:32:02::	1	verb.communication	1	0	0	1	1	7
28	filing	2:32:02::	1	verb.communication	1	0	0	1	1	8
8	filing	2:32:02::	1	verb.communication	1	0	0	1	1	9
18	filed	2:32:02::	1	verb.communication	1	0	0	0	1	10
2	file	2:32:02::	1	verb.communication	1	0	0	0	1	11
28	filing	2:32:02::	1	verb.communication	1	0	0	0	1	12
7	filing	2:32:02::	1	verb.communication	1	0	0	0	1	13
18	filed	2:32:02::	1	verb.communication	1	0	0	0	1	14
5	file	2:38:00::	3	verb.motion	1	0	0	0	1	15
3	filed	2:32:02::	1	verb.communication	1	0	0	0	1	16
17	file	2:35:00::	2	verb.contact	1	0	0	0	1	17
15	file	2:32:02::	1	verb.communication	1	0	0	0	1	18
3	file	2:32:02::	1	verb.communication	1	0	0	0	1	19
8	filed	2:32:02::	1	verb.communication	1	0	0	0	0	20
21	filing	2:32:02::	1	verb.communication	1	0	0	0	0	21
10	filed	2:38:00::	3	verb.motion	1	0	0	0	0	22
3	filed	2:32:01::	4	verb.communication	1	0	0	0	0	23
16	file	2:32:02::	1	verb.communication	1	0	0	0	0	24
14	filing	2:32:02::	1	verb.communication	2	2	2	2	2	25
15	filed	2:32:02::	1	verb.communication	2	2	2	2	2	26
8	filing	2:32:02::	1	verb.communication	2	2	2	2	2	27
5	filing	2:32:02::	1	verb.communication	2	0	2	2	2	28
4	filing	2:32:02::	1	verb.communication	2	0	2	2	2	29
5	file	2:35:00::	2	verb.contact	2	0	0	2	2	30
14	file	2:32:02::	1	verb.communication	2	0	0	2	2	31
45	file	2:32:02::	1	verb.communication	2	0	0	2	2	32
7	filed	2:32:02::	1	verb.communication	2	0	0	2	2	33
2	file	2:32:02::	1	verb.communication	2	0	0	2	2	34
8	filing	2:32:02::	1	verb.communication	2	0	0	0	2	35
12	filing	2:32:02::	1	verb.communication	2	0	0	0	2	36
0	File	2:35:00::	2	verb.contact	2	0	0	0	2	37
10	filing	2:32:02::	1	verb.communication	2	0	0	0	2	38
23	file	2:32:02::	1	verb.communication	2	0	0	0	2	39
18	filed	2:32:02::	1	verb.communication	2	0	0	0	2	40
5	filed	2:32:02::	1	verb.communication	2	0	0	0	2	41
6	file	2:35:00::	2	verb.contact	2	0	0	0	2	42
24	file	2:35:00::	2	verb.contact	2	0	0	0	2	43
1	filed	2:32:02::	1	verb.communication	2	0	0	0	2	44
94	filed	2:32:02::	1	verb.communication	2	0	0	0	0	45
4	filed	2:32:02::	1	verb.communication	2	0	0	0	0	46
13	file	2:32:02::	1	verb.communication	2	0	0	0	0	47
6	file	2:32:02::	1	verb.communication	2	0	0	0	0	48
3	filed	2:32:00::	5	verb.communication	2	0	0	0	0	49
