position	word	lexsn	wnsn	supersense	X25	X3	X5	X10	X20	index
16	film	1:06:00::	4	noun.artifact	1	1	1	1	1	0
14	film	1:06:00::	4	noun.artifact	1	1	1	1	1	1
2	film	1:10:01::	1	noun.communication	1	1	1	1	1	2
37	film	1:10:01::	1	noun.communication	1	0	1	1	1	3
15	film	1:06:00::	4	noun.artifact	1	0	1	1	1	4
1	film	1:10:01::	1	noun.communication	1	0	0	1	1	5
12	film	1:10:01::	1	noun.communication	1	0	0	1	1	6
6	film	1:10:01::	1	noun.communication	1	0	0	1	1	7
34	films	1:10:01::	1	noun.communication	1	0	0	1	1	8
32	film	1:10:01::	1	noun.communication	1	0	0	1	1	9
7	film	1:10:00::	2	noun.communication	1	0	0	0	1	10
18	film	1:06:01::	3	noun.artifact	1	0	0	0	1	11
8	film	1:10:00::	2	noun.communication	1	0	0	0	1	12
11	films	1:10:01::	1	noun.communication	1	0	0	0	1	13
33	film	1:10:01::	1	noun.communication	1	0	0	0	1	14
3	film	1:10:00::	2	noun.communication	1	0	0	0	1	15
6	film	1:10:01::	1	noun.communication	1	0	0	0	1	16
2	film	1:10:01::	1	noun.communication	1	0	0	0	1	17
30	film	1:10:00::	2	noun.communication	1	0	0	0	1	18
12	film	1:10:00::	2	noun.communication	1	0	0	0	1	19
40	film	1:10:00::	2	noun.communication	1	0	0	0	0	20
2	films	1:10:01::	1	noun.communication	1	0	0	0	0	21
15	film	1:10:01::	1	noun.communication	1	0	0	0	0	22
8	films	1:06:01::	3	noun.artifact	1	0	0	0	0	23
2	film	1:06:01::	3	noun.artifact	1	0	0	0	0	24
4	film	1:10:01::	1	noun.communication	2	2	2	2	2	25
13	film	1:10:01::	1	noun.communication	2	2	2	2	2	26
6	film	1:06:00::	4	noun.artifact	2	2	2	2	2	27
11	film	1:10:00::	2	noun.communication	2	0	2	2	2	28
1	film	1:10:01::	1	noun.communication	2	0	2	2	2	29
25	film	1:10:01::	1	noun.communication	2	0	0	2	2	30
27	films	1:10:01::	1	noun.communication	2	0	0	2	2	31
16	film	1:06:00::	4	noun.artifact	2	0	0	2	2	32
19	film	1:10:00::	2	noun.communication	2	0	0	2	2	33
5	films	1:06:01::	3	noun.artifact	2	0	0	2	2	34
11	film	1:06:01::	3	noun.artifact	2	0	0	0	2	35
22	film	1:10:00::	2	noun.communication	2	0	0	0	2	36
24	films	1:10:01::	1	noun.communication	2	0	0	0	2	37
21	films	1:10:01::	1	noun.communication	2	0	0	0	2	38
8	film	1:10:01::	1	noun.communication	2	0	0	0	2	39
11	film	1:10:01::	1	noun.communication	2	0	0	0	2	40
20	film	1:10:01::	1	noun.communication	2	0	0	0	2	41
20	film	1:10:01::	1	noun.communication	2	0	0	0	2	42
16	film	1:10:01::	1	noun.communication	2	0	0	0	2	43
22	film	1:10:00::	2	noun.communication	2	0	0	0	2	44
20	film	1:10:00::	2	noun.communication	2	0	0	0	0	45
11	film	1:10:01::	1	noun.communication	2	0	0	0	0	46
9	films	1:10:01::	1	noun.communication	2	0	0	0	0	47
18	film	1:10:01::	1	noun.communication	2	0	0	0	0	48
18	film	1:10:00::	2	noun.communication	2	0	0	0	0	49
