position	word	lexsn	wnsn	supersense	X25	X3	X5	X10	X20	index
7	finally	4:02:02::	1	adv.all	1	1	1	1	1	0
0	Finally	4:02:03::	3	adv.all	1	1	1	1	1	1
0	Finally	4:02:03::	3	adv.all	1	1	1	1	1	2
0	Finally	4:02:03::	3	adv.all	1	0	1	1	1	3
12	finally	4:02:02::	1	adv.all	1	0	1	1	1	4
31	finally	4:02:03::	3	adv.all	1	0	0	1	1	5
0	Finally	4:02:02::	1	adv.all	1	0	0	1	1	6
47	finally	4:02:00::	2	adv.all	1	0	0	1	1	7
6	finally	4:02:02::	1	adv.all	1	0	0	1	1	8
5	finally	4:02:00::	2	adv.all	1	0	0	1	1	9
1	Finally	4:02:00::	2	adv.all	1	0	0	0	1	10
7	finally	4:02:02::	1	adv.all	1	0	0	0	1	11
0	Finally	4:02:03::	3	adv.all	1	0	0	0	1	12
0	Finally	4:02:03::	3	adv.all	1	0	0	0	1	13
0	Finally	4:02:03::	3	adv.all	1	0	0	0	1	14
15	finally	4:02:02::	1	adv.all	1	0	0	0	1	15
35	finally	4:02:02::	1	adv.all	1	0	0	0	1	16
0	Finally	4:02:02::	1	adv.all	1	0	0	0	1	17
4	finally	4:02:00::	2	adv.all	1	0	0	0	1	18
7	finally	4:02:02::	1	adv.all	1	0	0	0	1	19
27	finally	4:02:00::	2	adv.all	1	0	0	0	0	20
19	finally	4:02:00::	2	adv.all	1	0	0	0	0	21
38	finally	4:02:00::	2	adv.all	1	0	0	0	0	22
2	finally	4:02:02::	1	adv.all	1	0	0	0	0	23
0	Finally	4:02:02::	1	adv.all	1	0	0	0	0	24
80	finally	4:02:03::	3	adv.all	2	2	2	2	2	25
0	Finally	4:02:03::	3	adv.all	2	2	2	2	2	26
0	Finally	4:02:02::	1	adv.all	2	2	2	2	2	27
2	finally	4:02:00::	2	adv.all	2	0	2	2	2	28
8	finally	4:02:00::	2	adv.all	2	0	2	2	2	29
2	finally	4:02:02::	1	adv.all	2	0	0	2	2	30
0	Finally	4:02:02::	1	adv.all	2	0	0	2	2	31
3	finally	4:02:00::	2	adv.all	2	0	0	2	2	32
3	finally	4:02:00::	2	adv.all	2	0	0	2	2	33
12	finally	4:02:02::	1	adv.all	2	0	0	2	2	34
14	finally	4:02:03::	3	adv.all	2	0	0	0	2	35
11	finally	4:02:00::	2	adv.all	2	0	0	0	2	36
0	Finally	4:02:03::	3	adv.all	2	0	0	0	2	37
15	finally	4:02:02::	1	adv.all	2	0	0	0	2	38
5	finally	4:02:00::	2	adv.all	2	0	0	0	2	39
53	finally	4:02:03::	3	adv.all	2	0	0	0	2	40
31	finally	4:02:03::	3	adv.all	2	0	0	0	2	41
13	finally	4:02:03::	3	adv.all	2	0	0	0	2	42
0	Finally	4:02:02::	1	adv.all	2	0	0	0	2	43
28	finally	4:02:03::	3	adv.all	2	0	0	0	2	44
0	Finally	4:02:03::	3	adv.all	2	0	0	0	0	45
0	Finally	4:02:02::	1	adv.all	2	0	0	0	0	46
53	finally	4:02:02::	1	adv.all	2	0	0	0	0	47
18	finally	4:02:00::	2	adv.all	2	0	0	0	0	48
0	Finally	4:02:02::	1	adv.all	2	0	0	0	0	49
