position	word	lexsn	wnsn	supersense	X25	X3	X5	X10	X20	index
7	finished	2:30:02::	1	verb.change	1	1	1	1	1	0
1	finished	2:30:01::	2	verb.change	1	1	1	1	1	1
22	finished	2:30:02::	1	verb.change	1	1	1	1	1	2
14	finishes	2:30:02::	1	verb.change	1	0	1	1	1	3
11	finish	2:30:02::	1	verb.change	1	0	1	1	1	4
6	finished	2:30:02::	1	verb.change	1	0	0	1	1	5
8	finish	2:30:02::	1	verb.change	1	0	0	1	1	6
1	finished	2:30:02::	1	verb.change	1	0	0	1	1	7
9	finished	2:42:00::	3	verb.stative	1	0	0	1	1	8
3	finished	2:30:02::	1	verb.change	1	0	0	1	1	9
6	finished	2:30:02::	1	verb.change	1	0	0	0	1	10
5	finished	2:30:01::	2	verb.change	1	0	0	0	1	11
4	finished	2:30:02::	1	verb.change	1	0	0	0	1	12
37	finish	2:30:02::	1	verb.change	1	0	0	0	1	13
3	finished	2:30:02::	1	verb.change	1	0	0	0	1	14
32	finish	2:35:00::	4	verb.contact	1	0	0	0	1	15
14	finished	2:30:02::	1	verb.change	1	0	0	0	1	16
12	finished	2:30:01::	2	verb.change	1	0	0	0	1	17
5	finished	2:42:00::	3	verb.stative	1	0	0	0	1	18
5	finished	2:42:00::	3	verb.stative	1	0	0	0	1	19
9	finish	2:30:02::	1	verb.change	1	0	0	0	0	20
6	finish	2:30:02::	1	verb.change	1	0	0	0	0	21
4	finished	2:30:02::	1	verb.change	1	0	0	0	0	22
5	finished	2:30:02::	1	verb.change	1	0	0	0	0	23
14	finish	2:30:02::	1	verb.change	1	0	0	0	0	24
35	finish	2:30:01::	2	verb.change	2	2	2	2	2	25
14	finished	2:30:02::	1	verb.change	2	2	2	2	2	26
7	finished	2:35:00::	4	verb.contact	2	2	2	2	2	27
7	finished	2:42:00::	3	verb.stative	2	0	2	2	2	28
10	finish	2:30:02::	1	verb.change	2	0	2	2	2	29
8	finish	2:30:02::	1	verb.change	2	0	0	2	2	30
9	finished	2:30:01::	2	verb.change	2	0	0	2	2	31
3	finished	2:42:00::	3	verb.stative	2	0	0	2	2	32
4	finished	2:30:02::	1	verb.change	2	0	0	2	2	33
12	finished	2:30:02::	1	verb.change	2	0	0	2	2	34
7	finished	2:30:02::	1	verb.change	2	0	0	0	2	35
25	finishing	2:30:01::	2	verb.change	2	0	0	0	2	36
12	finished	2:30:02::	1	verb.change	2	0	0	0	2	37
28	finish	2:30:02::	1	verb.change	2	0	0	0	2	38
7	finish	2:42:00::	3	verb.stative	2	0	0	0	2	39
1	finished	2:30:01::	2	verb.change	2	0	0	0	2	40
17	finished	2:42:00::	3	verb.stative	2	0	0	0	2	41
1	finished	2:30:02::	1	verb.change	2	0	0	0	2	42
4	finished	2:30:02::	1	verb.change	2	0	0	0	2	43
6	finished	2:30:01::	2	verb.change	2	0	0	0	2	44
1	finished	2:30:01::	2	verb.change	2	0	0	0	0	45
18	finished	2:34:00::	5	verb.consumption	2	0	0	0	0	46
2	finished	2:35:00::	4	verb.contact	2	0	0	0	0	47
3	finish	2:30:02::	1	verb.change	2	0	0	0	0	48
1	finished	2:30:02::	1	verb.change	2	0	0	0	0	49
