position	word	lexsn	wnsn	supersense	X25	X3	X5	X10	X20	index
19	floor	1:06:00::	1	noun.artifact	1	1	1	1	1	0
5	floor	1:06:00::	1	noun.artifact	1	1	1	1	1	1
10	floors	1:10:00::	3	noun.communication	1	1	1	1	1	2
20	floor	1:06:01::	2	noun.artifact	1	0	1	1	1	3
9	floor	1:06:00::	1	noun.artifact	1	0	1	1	1	4
25	floor	1:06:01::	2	noun.artifact	1	0	0	1	1	5
5	floor	1:06:00::	1	noun.artifact	1	0	0	1	1	6
13	floor	1:06:00::	1	noun.artifact	1	0	0	1	1	7
15	floor	1:06:00::	1	noun.artifact	1	0	0	1	1	8
7	floor	1:10:00::	3	noun.communication	1	0	0	1	1	9
11	floor	1:06:01::	2	noun.artifact	1	0	0	0	1	10
14	floor	1:06:00::	1	noun.artifact	1	0	0	0	1	11
23	floor	1:06:00::	1	noun.artifact	1	0	0	0	1	12
8	floor	1:06:00::	1	noun.artifact	1	0	0	0	1	13
24	floors	1:06:00::	1	noun.artifact	1	0	0	0	1	14
25	floor	1:06:00::	1	noun.artifact	1	0	0	0	1	15
9	floor	1:06:01::	2	noun.artifact	1	0	0	0	1	16
13	floor	1:06:00::	1	noun.artifact	1	0	0	0	1	17
23	floor	1:10:00::	3	noun.communication	1	0	0	0	1	18
10	floor	1:06:00::	1	noun.artifact	1	0	0	0	1	19
3	floor	1:06:01::	2	noun.artifact	1	0	0	0	0	20
11	floor	1:06:01::	2	noun.artifact	1	0	0	0	0	21
18	floors	1:06:00::	1	noun.artifact	1	0	0	0	0	22
20	floor	1:06:00::	1	noun.artifact	1	0	0	0	0	23
17	floor	1:06:01::	2	noun.artifact	1	0	0	0	0	24
8	floor	1:06:00::	1	noun.artifact	2	2	2	2	2	25
21	floor	1:06:00::	1	noun.artifact	2	2	2	2	2	26
5	floor	1:06:00::	1	noun.artifact	2	2	2	2	2	27
15	floor	1:06:00::	1	noun.artifact	2	0	2	2	2	28
31	floor	1:06:00::	1	noun.artifact	2	0	2	2	2	29
15	floor	1:17:01::	4	noun.object	2	0	0	2	2	30
11	floor	1:06:01::	2	noun.artifact	2	0	0	2	2	31
12	floor	1:06:00::	1	noun.artifact	2	0	0	2	2	32
6	floor	1:06:00::	1	noun.artifact	2	0	0	2	2	33
10	floor	1:06:01::	2	noun.artifact	2	0	0	2	2	34
58	floor	1:06:00::	1	noun.artifact	2	0	0	0	2	35
17	floor	1:06:00::	1	noun.artifact	2	0	0	0	2	36
28	floor	1:06:00::	1	noun.artifact	2	0	0	0	2	37
26	floor	1:06:00::	1	noun.artifact	2	0	0	0	2	38
12	floor	1:06:00::	1	noun.artifact	2	0	0	0	2	39
2	floor	1:06:00::	1	noun.artifact	2	0	0	0	2	40
14	floors	1:06:00::	1	noun.artifact	2	0	0	0	2	41
32	floor	1:06:00::	1	noun.artifact	2	0	0	0	2	42
35	floor	1:06:00::	1	noun.artifact	2	0	0	0	2	43
9	floor	1:06:01::	2	noun.artifact	2	0	0	0	2	44
3	floor	1:06:01::	2	noun.artifact	2	0	0	0	0	45
28	floors	1:06:01::	2	noun.artifact	2	0	0	0	0	46
24	floor	1:06:00::	1	noun.artifact	2	0	0	0	0	47
32	floor	1:06:01::	2	noun.artifact	2	0	0	0	0	48
13	floor	1:06:01::	2	noun.artifact	2	0	0	0	0	49
