position	word	lexsn	wnsn	supersense	X25	X3	X5	X10	X20	index
2	fly	2:38:02::	2	verb.motion	1	1	1	1	1	0
14	flying	2:38:00::	1	verb.motion	1	1	1	1	1	1
21	fly	2:38:00::	1	verb.motion	1	1	1	1	1	2
8	flew	2:38:00::	1	verb.motion	1	0	1	1	1	3
1	flew	2:38:02::	2	verb.motion	1	0	1	1	1	4
12	flying	2:38:00::	1	verb.motion	1	0	0	1	1	5
11	fly	2:38:01::	3	verb.motion	1	0	0	1	1	6
3	flew	2:38:07::	5	verb.motion	1	0	0	1	1	7
14	flew	2:38:00::	1	verb.motion	1	0	0	1	1	8
12	flew	2:38:00::	1	verb.motion	1	0	0	1	1	9
40	flying	2:38:00::	1	verb.motion	1	0	0	0	1	10
10	flew	2:38:00::	1	verb.motion	1	0	0	0	1	11
19	flew	2:38:00::	1	verb.motion	1	0	0	0	1	12
11	fly	2:38:01::	3	verb.motion	1	0	0	0	1	13
20	flew	2:38:00::	1	verb.motion	1	0	0	0	1	14
14	flying	2:38:01::	3	verb.motion	1	0	0	0	1	15
7	fly	2:35:00::	4	verb.contact	1	0	0	0	1	16
11	flew	2:35:00::	4	verb.contact	1	0	0	0	1	17
10	flown	2:38:00::	1	verb.motion	1	0	0	0	1	18
19	flew	2:38:00::	1	verb.motion	1	0	0	0	1	19
3	flies	2:38:02::	2	verb.motion	1	0	0	0	0	20
8	flying	2:38:00::	1	verb.motion	1	0	0	0	0	21
31	flying	2:38:00::	1	verb.motion	1	0	0	0	0	22
2	flew	2:38:00::	1	verb.motion	1	0	0	0	0	23
2	flew	2:38:02::	2	verb.motion	1	0	0	0	0	24
7	flown	2:35:00::	4	verb.contact	2	2	2	2	2	25
43	flew	2:38:00::	1	verb.motion	2	2	2	2	2	26
21	flying	2:38:00::	1	verb.motion	2	2	2	2	2	27
15	flies	2:38:00::	1	verb.motion	2	0	2	2	2	28
22	flying	2:38:01::	3	verb.motion	2	0	2	2	2	29
42	fly	2:38:00::	1	verb.motion	2	0	0	2	2	30
1	flew	2:38:02::	2	verb.motion	2	0	0	2	2	31
4	fly	2:38:00::	1	verb.motion	2	0	0	2	2	32
2	flew	2:38:00::	1	verb.motion	2	0	0	2	2	33
2	flying	2:30:01::	7	verb.change	2	0	0	2	2	34
11	flying	2:38:00::	1	verb.motion	2	0	0	0	2	35
13	fly	2:38:00::	1	verb.motion	2	0	0	0	2	36
23	fly	2:38:00::	1	verb.motion	2	0	0	0	2	37
4	flew	2:38:00::	1	verb.motion	2	0	0	0	2	38
3	fly	2:38:00::	1	verb.motion	2	0	0	0	2	39
12	flown	2:38:01::	3	verb.motion	2	0	0	0	2	40
34	flies	2:38:07::	5	verb.motion	2	0	0	0	2	41
8	flew	2:38:02::	2	verb.motion	2	0	0	0	2	42
15	flying	2:38:00::	1	verb.motion	2	0	0	0	2	43
7	flying	2:38:00::	1	verb.motion	2	0	0	0	2	44
4	fly	2:38:00::	1	verb.motion	2	0	0	0	0	45
54	fly	2:38:00::	1	verb.motion	2	0	0	0	0	46
13	flying	2:38:00::	1	verb.motion	2	0	0	0	0	47
1	flew	2:38:05::	9	verb.motion	2	0	0	0	0	48
16	fly	2:38:00::	1	verb.motion	2	0	0	0	0	49
