position	word	lexsn	wnsn	supersense	X25	X3	X5	X10	X20	index
1	followed	2:42:01::	6	verb.stative	1	1	1	1	1	0
1	followed	2:42:00::	2	verb.stative	1	1	1	1	1	1
8	following	2:30:00::	7	verb.change	1	1	1	1	1	2
31	follow	2:42:00::	2	verb.stative	1	0	1	1	1	3
11	following	2:42:00::	2	verb.stative	1	0	1	1	1	4
25	follow	2:40:00::	9	verb.possession	1	0	0	1	1	5
4	follow	2:30:00::	7	verb.change	1	0	0	1	1	6
4	follow	2:38:01::	4	verb.motion	1	0	0	1	1	7
4	follow	2:30:00::	7	verb.change	1	0	0	1	1	8
2	followed	2:42:00::	2	verb.stative	1	0	0	1	1	9
5	followed	2:41:02::	13	verb.social	1	0	0	0	1	10
20	following	2:42:00::	2	verb.stative	1	0	0	0	1	11
15	followed	2:42:05::	3	verb.stative	1	0	0	0	1	12
1	follows	2:42:05::	3	verb.stative	1	0	0	0	1	13
10	follow	2:42:00::	2	verb.stative	1	0	0	0	1	14
61	follow	2:42:00::	2	verb.stative	1	0	0	0	1	15
14	follow	2:40:00::	9	verb.possession	1	0	0	0	1	16
38	following	2:40:00::	9	verb.possession	1	0	0	0	1	17
16	followed	2:42:01::	6	verb.stative	1	0	0	0	1	18
0	Following	2:30:00::	7	verb.change	1	0	0	0	1	19
6	followed	2:40:00::	9	verb.possession	1	0	0	0	0	20
2	follow	2:42:01::	6	verb.stative	1	0	0	0	0	21
11	follow	2:42:05::	3	verb.stative	1	0	0	0	0	22
25	following	2:41:00::	5	verb.social	1	0	0	0	0	23
2	follows	2:30:00::	7	verb.change	1	0	0	0	0	24
1	Follow	2:38:00::	1	verb.motion	2	2	2	2	2	25
24	follow	2:36:00::	11	verb.creation	2	2	2	2	2	26
8	follow	2:42:03::	10	verb.stative	2	2	2	2	2	27
1	followed	2:38:00::	1	verb.motion	2	0	2	2	2	28
6	follows	2:36:00::	11	verb.creation	2	0	2	2	2	29
5	followed	2:42:03::	10	verb.stative	2	0	0	2	2	30
9	follow	2:36:01::	15	verb.creation	2	0	0	2	2	31
20	followed	2:38:00::	1	verb.motion	2	0	0	2	2	32
16	followed	2:42:02::	8	verb.stative	2	0	0	2	2	33
21	followed	2:38:00::	1	verb.motion	2	0	0	2	2	34
2	followed	2:38:00::	1	verb.motion	2	0	0	0	2	35
14	follows	2:42:02::	8	verb.stative	2	0	0	0	2	36
28	following	2:38:00::	1	verb.motion	2	0	0	0	2	37
0	Following	2:38:00::	1	verb.motion	2	0	0	0	2	38
6	followed	2:38:00::	1	verb.motion	2	0	0	0	2	39
38	following	2:42:03::	10	verb.stative	2	0	0	0	2	40
51	follow	2:38:00::	1	verb.motion	2	0	0	0	2	41
7	followed	2:42:03::	10	verb.stative	2	0	0	0	2	42
69	followed	2:42:02::	8	verb.stative	2	0	0	0	2	43
1	followed	2:38:00::	1	verb.motion	2	0	0	0	2	44
1	followed	2:38:00::	1	verb.motion	2	0	0	0	0	45
3	follow	2:38:00::	1	verb.motion	2	0	0	0	0	46
23	following	2:36:00::	11	verb.creation	2	0	0	0	0	47
13	following	2:36:00::	11	verb.creation	2	0	0	0	0	48
13	followed	2:38:00::	1	verb.motion	2	0	0	0	0	49
