position	word	lexsn	wnsn	supersense	X25	X3	X5	X10	X20	index
1	following	5:00:01:succeeding(a):00	1	adj.all	1	1	1	1	1	0
7	following	5:00:01:succeeding(a):00	1	adj.all	1	1	1	1	1	1
1	following	5:00:01:succeeding(a):00	1	adj.all	1	1	1	1	1	2
11	following	5:00:01:succeeding(a):00	1	adj.all	1	0	1	1	1	3
1	following	5:00:01:succeeding(a):00	1	adj.all	1	0	1	1	1	4
1	following	5:00:01:succeeding(a):00	1	adj.all	1	0	0	1	1	5
24	following	5:00:02:succeeding(a):00	2	adj.all	1	0	0	1	1	6
8	following	5:00:01:succeeding(a):00	1	adj.all	1	0	0	1	1	7
3	following	5:00:01:succeeding(a):00	1	adj.all	1	0	0	1	1	8
16	following	5:00:01:succeeding(a):00	1	adj.all	1	0	0	1	1	9
1	following	5:00:02:succeeding(a):00	2	adj.all	1	0	0	0	1	10
5	following	5:00:01:succeeding(a):00	1	adj.all	1	0	0	0	1	11
16	following	5:00:02:succeeding(a):00	2	adj.all	1	0	0	0	1	12
1	following	5:00:01:succeeding(a):00	1	adj.all	1	0	0	0	1	13
26	following	5:00:01:succeeding(a):00	1	adj.all	1	0	0	0	1	14
22	following	5:00:01:succeeding(a):00	1	adj.all	1	0	0	0	1	15
33	following	5:00:02:succeeding(a):00	2	adj.all	1	0	0	0	1	16
12	following	5:00:02:succeeding(a):00	2	adj.all	1	0	0	0	1	17
36	following	5:00:02:succeeding(a):00	2	adj.all	1	0	0	0	1	18
2	following	5:00:02:succeeding(a):00	2	adj.all	1	0	0	0	1	19
9	following	5:00:01:succeeding(a):00	1	adj.all	1	0	0	0	0	20
1	following	5:00:01:succeeding(a):00	1	adj.all	1	0	0	0	0	21
2	following	5:00:01:succeeding(a):00	1	adj.all	1	0	0	0	0	22
4	following	5:00:02:succeeding(a):00	2	adj.all	1	0	0	0	0	23
2	following	5:00:02:succeeding(a):00	2	adj.all	1	0	0	0	0	24
17	following	5:00:02:succeeding(a):00	2	adj.all	2	2	2	2	2	25
19	following	5:00:01:succeeding(a):00	1	adj.all	2	2	2	2	2	26
27	following	5:00:01:succeeding(a):00	1	adj.all	2	2	2	2	2	27
8	following	5:00:01:succeeding(a):00	1	adj.all	2	0	2	2	2	28
14	following	5:00:01:succeeding(a):00	1	adj.all	2	0	2	2	2	29
13	following	3:00:00::	3	adj.all	2	0	0	2	2	30
24	following	5:00:01:succeeding(a):00	1	adj.all	2	0	0	2	2	31
6	following	5:00:01:succeeding(a):00	1	adj.all	2	0	0	2	2	32
2	following	5:00:02:succeeding(a):00	2	adj.all	2	0	0	2	2	33
41	following	5:00:02:succeeding(a):00	2	adj.all	2	0	0	2	2	34
35	following	5:00:02:succeeding(a):00	2	adj.all	2	0	0	0	2	35
21	following	5:00:01:succeeding(a):00	1	adj.all	2	0	0	0	2	36
12	following	5:00:01:succeeding(a):00	1	adj.all	2	0	0	0	2	37
12	following	5:00:02:succeeding(a):00	2	adj.all	2	0	0	0	2	38
8	following	5:00:02:succeeding(a):00	2	adj.all	2	0	0	0	2	39
1	following	5:00:01:succeeding(a):00	1	adj.all	2	0	0	0	2	40
1	following	5:00:01:succeeding(a):00	1	adj.all	2	0	0	0	2	41
36	following	5:00:02:succeeding(a):00	2	adj.all	2	0	0	0	2	42
12	following	5:00:01:succeeding(a):00	1	adj.all	2	0	0	0	2	43
1	following	5:00:01:succeeding(a):00	1	adj.all	2	0	0	0	2	44
13	following	5:00:02:succeeding(a):00	2	adj.all	2	0	0	0	0	45
5	following	5:00:01:succeeding(a):00	1	adj.all	2	0	0	0	0	46
2	following	5:00:01:succeeding(a):00	1	adj.all	2	0	0	0	0	47
37	following	5:00:02:succeeding(a):00	2	adj.all	2	0	0	0	0	48
2	following	5:00:02:succeeding(a):00	2	adj.all	2	0	0	0	0	49
