position	word	lexsn	wnsn	supersense	X25	X3	X5	X10	X20	index
12	feet	1:08:01::	1	noun.body	1	1	1	1	1	0
5	feet	1:08:01::	1	noun.body	1	1	1	1	1	1
4	feet	1:08:01::	1	noun.body	1	1	1	1	1	2
5	feet	1:05:00::	6	noun.animal	1	0	1	1	1	3
6	feet	1:08:01::	1	noun.body	1	0	1	1	1	4
21	feet	1:08:01::	1	noun.body	1	0	0	1	1	5
9	foot	1:15:00::	3	noun.location	1	0	0	1	1	6
10	foot	1:15:00::	3	noun.location	1	0	0	1	1	7
17	foot	1:08:01::	1	noun.body	1	0	0	1	1	8
24	foot	1:08:01::	1	noun.body	1	0	0	1	1	9
10	foot	1:15:00::	3	noun.location	1	0	0	0	1	10
32	feet	1:08:01::	1	noun.body	1	0	0	0	1	11
37	foot	1:15:00::	3	noun.location	1	0	0	0	1	12
14	foot	1:08:01::	1	noun.body	1	0	0	0	1	13
8	feet	1:08:01::	1	noun.body	1	0	0	0	1	14
5	foot	1:08:01::	1	noun.body	1	0	0	0	1	15
8	feet	1:08:01::	1	noun.body	1	0	0	0	1	16
11	foot	1:08:01::	1	noun.body	1	0	0	0	1	17
5	foot	1:08:01::	1	noun.body	1	0	0	0	1	18
9	feet	1:08:01::	1	noun.body	1	0	0	0	1	19
10	feet	1:08:01::	1	noun.body	1	0	0	0	0	20
12	feet	1:08:01::	1	noun.body	1	0	0	0	0	21
5	feet	1:08:01::	1	noun.body	1	0	0	0	0	22
1	feet	1:08:01::	1	noun.body	1	0	0	0	0	23
22	Foot	1:08:01::	1	noun.body	1	0	0	0	0	24
5	feet	1:23:00::	2	noun.quantity	2	2	2	2	2	25
14	feet	1:23:00::	2	noun.quantity	2	2	2	2	2	26
4	feet	1:05:01::	4	noun.animal	2	2	2	2	2	27
14	feet	1:23:00::	2	noun.quantity	2	0	2	2	2	28
12	feet	1:23:00::	2	noun.quantity	2	0	2	2	2	29
25	feet	1:23:00::	2	noun.quantity	2	0	0	2	2	30
5	foot	1:23:00::	2	noun.quantity	2	0	0	2	2	31
9	feet	1:23:00::	2	noun.quantity	2	0	0	2	2	32
4	foot	1:23:00::	2	noun.quantity	2	0	0	2	2	33
8	feet	1:23:00::	2	noun.quantity	2	0	0	2	2	34
7	feet	1:23:00::	2	noun.quantity	2	0	0	0	2	35
40	feet	1:05:01::	4	noun.animal	2	0	0	0	2	36
17	foot	1:23:00::	2	noun.quantity	2	0	0	0	2	37
12	feet	1:23:00::	2	noun.quantity	2	0	0	0	2	38
8	foot	1:04:00::	7	noun.act	2	0	0	0	2	39
17	foot	1:23:00::	2	noun.quantity	2	0	0	0	2	40
23	feet	1:23:00::	2	noun.quantity	2	0	0	0	2	41
15	foot	1:23:00::	2	noun.quantity	2	0	0	0	2	42
6	feet	1:05:01::	4	noun.animal	2	0	0	0	2	43
19	feet	1:23:00::	2	noun.quantity	2	0	0	0	2	44
35	feet	1:23:00::	2	noun.quantity	2	0	0	0	0	45
10	feet	1:23:00::	2	noun.quantity	2	0	0	0	0	46
21	feet	1:23:00::	2	noun.quantity	2	0	0	0	0	47
18	feet	1:23:00::	2	noun.quantity	2	0	0	0	0	48
4	feet	1:23:00::	2	noun.quantity	2	0	0	0	0	49
