position	word	lexsn	wnsn	supersense	X25	X3	X5	X10	X20	index
29	force	1:07:01::	1	noun.attribute	1	1	1	1	1	0
5	forces	1:18:00::	7	noun.person	1	1	1	1	1	1
16	force	1:04:01::	6	noun.act	1	1	1	1	1	2
27	forces	1:14:00::	4	noun.group	1	0	1	1	1	3
18	forces	1:14:00::	4	noun.group	1	0	1	1	1	4
23	forces	1:14:01::	5	noun.group	1	0	0	1	1	5
2	forces	1:07:01::	1	noun.attribute	1	0	0	1	1	6
24	force	1:07:01::	1	noun.attribute	1	0	0	1	1	7
8	force	1:07:01::	1	noun.attribute	1	0	0	1	1	8
19	forces	1:19:00::	2	noun.phenomenon	1	0	0	1	1	9
43	force	1:07:01::	1	noun.attribute	1	0	0	0	1	10
10	force	1:07:01::	1	noun.attribute	1	0	0	0	1	11
17	force	1:07:01::	1	noun.attribute	1	0	0	0	1	12
1	force	1:07:00::	3	noun.attribute	1	0	0	0	1	13
13	force	1:04:01::	6	noun.act	1	0	0	0	1	14
31	forces	1:07:01::	1	noun.attribute	1	0	0	0	1	15
22	forces	1:07:01::	1	noun.attribute	1	0	0	0	1	16
15	forces	1:14:00::	4	noun.group	1	0	0	0	1	17
13	force	1:07:01::	1	noun.attribute	1	0	0	0	1	18
12	forces	1:19:00::	2	noun.phenomenon	1	0	0	0	1	19
10	forces	1:19:00::	2	noun.phenomenon	1	0	0	0	0	20
4	force	1:14:00::	4	noun.group	1	0	0	0	0	21
30	forces	1:19:00::	2	noun.phenomenon	1	0	0	0	0	22
1	force	1:14:01::	5	noun.group	1	0	0	0	0	23
48	force	1:07:01::	1	noun.attribute	1	0	0	0	0	24
23	forces	1:19:00::	2	noun.phenomenon	0	0	0	0	0	25
10	force	1:07:01::	1	noun.attribute	0	0	0	0	0	26
6	force	1:07:00::	3	noun.attribute	0	0	0	0	0	27
4	forces	1:14:00::	4	noun.group	0	0	0	0	0	28
11	force	1:07:00::	3	noun.attribute	0	0	0	0	0	29
10	forces	1:14:00::	4	noun.group	0	0	0	0	0	30
32	force	1:07:01::	1	noun.attribute	0	0	0	0	0	31
4	forces	1:07:01::	1	noun.attribute	0	0	0	0	0	32
17	forces	1:07:01::	1	noun.attribute	0	0	0	0	0	33
23	forces	1:07:01::	1	noun.attribute	0	0	0	0	0	34
7	force	1:07:00::	3	noun.attribute	0	0	0	0	0	35
7	forces	1:19:00::	2	noun.phenomenon	0	0	0	0	0	36
2	forces	1:14:00::	4	noun.group	0	0	0	0	0	37
13	force	1:14:01::	5	noun.group	0	0	0	0	0	38
40	force	1:19:00::	2	noun.phenomenon	0	0	0	0	0	39
3	force	1:07:01::	1	noun.attribute	2	2	2	2	2	40
18	forces	1:07:01::	1	noun.attribute	2	2	2	2	2	41
29	force	1:07:01::	1	noun.attribute	2	2	2	2	2	42
3	force	1:19:00::	2	noun.phenomenon	2	0	2	2	2	43
34	force	1:19:00::	2	noun.phenomenon	2	0	2	2	2	44
25	force	1:07:01::	1	noun.attribute	2	0	0	2	2	45
2	forces	1:19:00::	2	noun.phenomenon	2	0	0	2	2	46
10	force	1:19:00::	2	noun.phenomenon	2	0	0	2	2	47
17	force	1:19:00::	2	noun.phenomenon	2	0	0	2	2	48
48	force	1:07:00::	3	noun.attribute	2	0	0	2	2	49
17	forces	1:14:00::	4	noun.group	2	0	0	0	2	50
6	force	1:07:00::	3	noun.attribute	2	0	0	0	2	51
17	force	1:04:01::	6	noun.act	2	0	0	0	2	52
19	force	1:07:00::	3	noun.attribute	2	0	0	0	2	53
14	forces	1:14:01::	5	noun.group	2	0	0	0	2	54
13	force	1:14:01::	5	noun.group	2	0	0	0	2	55
4	force	1:19:00::	2	noun.phenomenon	2	0	0	0	2	56
28	forces	1:14:00::	4	noun.group	2	0	0	0	2	57
5	force	1:14:00::	4	noun.group	2	0	0	0	2	58
10	force	1:14:00::	4	noun.group	2	0	0	0	2	59
4	forces	1:04:01::	6	noun.act	2	0	0	0	0	60
11	force	1:04:01::	6	noun.act	2	0	0	0	0	61
15	force	1:07:00::	3	noun.attribute	2	0	0	0	0	62
22	forces	1:14:00::	4	noun.group	2	0	0	0	0	63
21	force	1:19:00::	2	noun.phenomenon	2	0	0	0	0	64
25	force	1:07:00::	3	noun.attribute	0	0	0	0	0	65
2	forces	1:19:00::	2	noun.phenomenon	0	0	0	0	0	66
1	forces	1:14:00::	4	noun.group	0	0	0	0	0	67
11	force	1:19:00::	2	noun.phenomenon	0	0	0	0	0	68
25	force	1:07:01::	1	noun.attribute	0	0	0	0	0	69
12	forces	1:07:01::	1	noun.attribute	0	0	0	0	0	70
20	force	1:07:01::	1	noun.attribute	0	0	0	0	0	71
23	forces	1:19:00::	2	noun.phenomenon	0	0	0	0	0	72
16	force	1:07:00::	3	noun.attribute	0	0	0	0	0	73
9	force	1:19:00::	2	noun.phenomenon	0	0	0	0	0	74
18	force	1:07:01::	1	noun.attribute	0	0	0	0	0	75
9	force	1:07:01::	1	noun.attribute	0	0	0	0	0	76
18	force	1:07:00::	3	noun.attribute	0	0	0	0	0	77
26	forces	1:19:00::	2	noun.phenomenon	0	0	0	0	0	78
15	force	1:07:00::	3	noun.attribute	0	0	0	0	0	79
