position	word	lexsn	wnsn	supersense	X25	X3	X5	X10	X20	index
11	forced	2:38:00::	3	verb.motion	1	1	1	1	1	0
3	force	2:38:00::	3	verb.motion	1	1	1	1	1	1
3	force	2:36:00::	2	verb.creation	1	1	1	1	1	2
35	forced	2:36:00::	2	verb.creation	1	0	1	1	1	3
24	forced	2:35:02::	6	verb.contact	1	0	1	1	1	4
3	forced	2:41:00::	1	verb.social	1	0	0	1	1	5
13	forces	2:36:00::	2	verb.creation	1	0	0	1	1	6
9	forced	2:36:00::	2	verb.creation	1	0	0	1	1	7
68	forced	2:35:00::	5	verb.contact	1	0	0	1	1	8
11	forced	2:32:00::	4	verb.communication	1	0	0	1	1	9
13	forced	2:41:00::	1	verb.social	1	0	0	0	1	10
4	forcing	2:35:00::	5	verb.contact	1	0	0	0	1	11
10	force	2:41:00::	1	verb.social	1	0	0	0	1	12
6	forcing	2:41:00::	1	verb.social	1	0	0	0	1	13
22	forced	2:41:00::	1	verb.social	1	0	0	0	1	14
4	forced	2:41:00::	1	verb.social	1	0	0	0	1	15
18	forced	2:41:00::	1	verb.social	1	0	0	0	1	16
22	forced	2:41:00::	1	verb.social	1	0	0	0	1	17
2	forced	2:36:00::	2	verb.creation	1	0	0	0	1	18
13	forces	2:36:00::	2	verb.creation	1	0	0	0	1	19
30	forced	2:36:00::	2	verb.creation	1	0	0	0	0	20
36	force	2:41:00::	1	verb.social	1	0	0	0	0	21
10	forced	2:41:00::	1	verb.social	1	0	0	0	0	22
5	forcing	2:36:00::	2	verb.creation	1	0	0	0	0	23
18	force	2:41:00::	1	verb.social	1	0	0	0	0	24
4	forced	2:38:00::	3	verb.motion	2	2	2	2	2	25
3	forced	2:41:00::	1	verb.social	2	2	2	2	2	26
11	forcing	2:41:00::	1	verb.social	2	2	2	2	2	27
18	force	2:32:00::	4	verb.communication	2	0	2	2	2	28
3	forced	2:38:00::	3	verb.motion	2	0	2	2	2	29
12	forcing	2:41:00::	1	verb.social	2	0	0	2	2	30
14	forced	2:36:00::	2	verb.creation	2	0	0	2	2	31
11	force	2:41:00::	1	verb.social	2	0	0	2	2	32
14	force	2:41:00::	1	verb.social	2	0	0	2	2	33
12	forced	2:41:00::	1	verb.social	2	0	0	2	2	34
1	forced	2:41:00::	1	verb.social	2	0	0	0	2	35
1	forced	2:41:00::	1	verb.social	2	0	0	0	2	36
11	forces	2:38:00::	3	verb.motion	2	0	0	0	2	37
25	forced	2:41:00::	1	verb.social	2	0	0	0	2	38
2	force	2:38:00::	3	verb.motion	2	0	0	0	2	39
9	forced	2:41:00::	1	verb.social	2	0	0	0	2	40
37	forced	2:41:00::	1	verb.social	2	0	0	0	2	41
24	forced	2:32:00::	4	verb.communication	2	0	0	0	2	42
6	forced	2:41:00::	1	verb.social	2	0	0	0	2	43
14	forced	2:41:00::	1	verb.social	2	0	0	0	2	44
0	Forced	2:36:00::	2	verb.creation	2	0	0	0	0	45
16	forced	2:32:00::	4	verb.communication	2	0	0	0	0	46
3	forced	2:41:00::	1	verb.social	2	0	0	0	0	47
12	forced	2:38:00::	3	verb.motion	2	0	0	0	0	48
12	forced	2:41:00::	1	verb.social	2	0	0	0	0	49
