position	word	lexsn	wnsn	supersense	X25	X3	X5	X10	X20	index
6	forgot	2:31:01::	1	verb.cognition	1	1	1	1	1	0
4	forgotten	2:31:01::	1	verb.cognition	1	1	1	1	1	1
3	forget	2:31:00::	2	verb.cognition	1	1	1	1	1	2
11	forget	2:31:01::	1	verb.cognition	1	0	1	1	1	3
2	forget	2:31:00::	2	verb.cognition	1	0	1	1	1	4
24	forget	2:31:01::	1	verb.cognition	1	0	0	1	1	5
1	forgot	2:31:03::	3	verb.cognition	1	0	0	1	1	6
32	forgetting	2:31:01::	1	verb.cognition	1	0	0	1	1	7
20	forgotten	2:31:01::	1	verb.cognition	1	0	0	1	1	8
25	forgetting	2:31:01::	1	verb.cognition	1	0	0	1	1	9
4	forgotten	2:31:01::	1	verb.cognition	1	0	0	0	1	10
29	forget	2:31:01::	1	verb.cognition	1	0	0	0	1	11
15	forgotten	2:31:01::	1	verb.cognition	1	0	0	0	1	12
16	forget	2:31:01::	1	verb.cognition	1	0	0	0	1	13
5	forget	2:31:01::	1	verb.cognition	1	0	0	0	1	14
3	forget	2:31:01::	1	verb.cognition	1	0	0	0	1	15
10	forgotten	2:31:03::	3	verb.cognition	1	0	0	0	1	16
3	forgotten	2:31:01::	1	verb.cognition	1	0	0	0	1	17
2	forgotten	2:31:01::	1	verb.cognition	1	0	0	0	1	18
17	forgotten	2:31:03::	3	verb.cognition	1	0	0	0	1	19
30	forgetting	2:31:01::	1	verb.cognition	1	0	0	0	0	20
2	forget	2:31:01::	1	verb.cognition	1	0	0	0	0	21
23	forget	2:31:01::	1	verb.cognition	1	0	0	0	0	22
24	forget	2:31:01::	1	verb.cognition	1	0	0	0	0	23
32	forget	2:31:01::	1	verb.cognition	1	0	0	0	0	24
4	forgetting	2:31:01::	1	verb.cognition	2	2	2	2	2	25
14	forgotten	2:31:00::	2	verb.cognition	2	2	2	2	2	26
16	forgot	2:31:00::	2	verb.cognition	2	2	2	2	2	27
30	forget	2:31:01::	1	verb.cognition	2	0	2	2	2	28
3	forgotten	2:31:01::	1	verb.cognition	2	0	2	2	2	29
3	forget	2:31:00::	2	verb.cognition	2	0	0	2	2	30
9	forget	2:31:01::	1	verb.cognition	2	0	0	2	2	31
51	forget	2:31:00::	2	verb.cognition	2	0	0	2	2	32
5	forgotten	2:31:01::	1	verb.cognition	2	0	0	2	2	33
6	forget	2:31:01::	1	verb.cognition	2	0	0	2	2	34
11	forgetting	2:31:01::	1	verb.cognition	2	0	0	0	2	35
8	forgot	2:31:01::	1	verb.cognition	2	0	0	0	2	36
8	forgotten	2:31:00::	2	verb.cognition	2	0	0	0	2	37
4	forget	2:31:01::	1	verb.cognition	2	0	0	0	2	38
7	forget	2:31:01::	1	verb.cognition	2	0	0	0	2	39
13	forgotten	2:31:01::	1	verb.cognition	2	0	0	0	2	40
2	forget	2:31:03::	3	verb.cognition	2	0	0	0	2	41
13	forgot	2:31:01::	1	verb.cognition	2	0	0	0	2	42
2	forget	2:31:01::	1	verb.cognition	2	0	0	0	2	43
2	forget	2:31:00::	2	verb.cognition	2	0	0	0	2	44
2	forgot	2:31:00::	2	verb.cognition	2	0	0	0	0	45
19	forgotten	2:31:03::	3	verb.cognition	2	0	0	0	0	46
2	forget	2:31:03::	3	verb.cognition	2	0	0	0	0	47
22	forget	2:31:01::	1	verb.cognition	2	0	0	0	0	48
2	forget	2:31:01::	1	verb.cognition	2	0	0	0	0	49
