position	word	lexsn	wnsn	supersense	X25	X3	X5	X10	X20	index
14	form	1:09:00::	3	noun.cognition	1	1	1	1	1	0
29	form	1:09:00::	3	noun.cognition	1	1	1	1	1	1
9	form	1:09:00::	3	noun.cognition	1	1	1	1	1	2
28	forms	1:09:00::	3	noun.cognition	1	0	1	1	1	3
40	form	1:09:00::	3	noun.cognition	1	0	1	1	1	4
9	form	1:09:00::	3	noun.cognition	1	0	0	1	1	5
11	form	1:08:00::	5	noun.body	1	0	0	1	1	6
14	form	1:09:00::	3	noun.cognition	1	0	0	1	1	7
13	form	1:08:00::	5	noun.body	1	0	0	1	1	8
12	form	1:09:00::	3	noun.cognition	1	0	0	1	1	9
14	form	1:09:00::	3	noun.cognition	1	0	0	0	1	10
36	form	1:09:00::	3	noun.cognition	1	0	0	0	1	11
19	form	1:09:00::	3	noun.cognition	1	0	0	0	1	12
15	form	1:09:00::	3	noun.cognition	1	0	0	0	1	13
17	form	1:09:00::	3	noun.cognition	1	0	0	0	1	14
2	forms	1:08:00::	5	noun.body	1	0	0	0	1	15
4	form	1:09:00::	3	noun.cognition	1	0	0	0	1	16
45	form	1:09:00::	3	noun.cognition	1	0	0	0	1	17
28	forms	1:07:00::	7	noun.attribute	1	0	0	0	1	18
3	form	1:09:00::	3	noun.cognition	1	0	0	0	1	19
14	form	1:07:00::	7	noun.attribute	1	0	0	0	0	20
5	form	1:09:00::	3	noun.cognition	1	0	0	0	0	21
8	form	1:09:00::	3	noun.cognition	1	0	0	0	0	22
1	form	1:09:00::	3	noun.cognition	1	0	0	0	0	23
1	form	1:09:00::	3	noun.cognition	1	0	0	0	0	24
47	forms	1:07:01::	4	noun.attribute	2	2	2	2	2	25
13	form	1:10:00::	1	noun.communication	2	2	2	2	2	26
13	form	1:10:00::	1	noun.communication	2	2	2	2	2	27
34	form	1:09:01::	2	noun.cognition	2	0	2	2	2	28
9	form	1:09:01::	2	noun.cognition	2	0	2	2	2	29
14	forms	1:10:00::	1	noun.communication	2	0	0	2	2	30
15	form	1:09:01::	2	noun.cognition	2	0	0	2	2	31
7	form	1:09:01::	2	noun.cognition	2	0	0	2	2	32
13	form	1:09:01::	2	noun.cognition	2	0	0	2	2	33
24	forms	1:09:01::	2	noun.cognition	2	0	0	2	2	34
22	forms	1:10:00::	1	noun.communication	2	0	0	0	2	35
1	form	1:07:01::	4	noun.attribute	2	0	0	0	2	36
1	forms	1:09:01::	2	noun.cognition	2	0	0	0	2	37
6	form	1:09:01::	2	noun.cognition	2	0	0	0	2	38
28	form	1:09:01::	2	noun.cognition	2	0	0	0	2	39
28	form	1:09:01::	2	noun.cognition	2	0	0	0	2	40
58	forms	1:03:00::	6	noun.Tops	2	0	0	0	2	41
6	forms	1:14:02::	9	noun.group	2	0	0	0	2	42
9	forms	1:10:00::	1	noun.communication	2	0	0	0	2	43
14	form	1:09:01::	2	noun.cognition	2	0	0	0	2	44
12	forms	1:09:01::	2	noun.cognition	2	0	0	0	0	45
17	form	1:07:01::	4	noun.attribute	2	0	0	0	0	46
22	forms	1:03:00::	6	noun.Tops	2	0	0	0	0	47
10	form	1:09:01::	2	noun.cognition	2	0	0	0	0	48
7	forms	1:09:01::	2	noun.cognition	2	0	0	0	0	49
