position	word	lexsn	wnsn	supersense	X25	X3	X5	X10	X20	index
15	form	2:41:00::	1	verb.social	1	1	1	1	1	0
18	form	2:30:01::	4	verb.change	1	1	1	1	1	1
6	formed	2:41:00::	1	verb.social	1	1	1	1	1	2
20	form	2:41:00::	1	verb.social	1	0	1	1	1	3
7	formed	2:41:00::	1	verb.social	1	0	1	1	1	4
18	forming	2:30:01::	4	verb.change	1	0	0	1	1	5
13	form	2:35:00::	0	verb.contact	1	0	0	1	1	6
11	formed	2:41:00::	1	verb.social	1	0	0	1	1	7
17	formed	2:41:00::	1	verb.social	1	0	0	1	1	8
5	form	2:41:00::	1	verb.social	1	0	0	1	1	9
5	formed	2:41:00::	1	verb.social	1	0	0	0	1	10
11	formed	2:41:00::	1	verb.social	1	0	0	0	1	11
8	form	2:30:01::	4	verb.change	1	0	0	0	1	12
9	form	2:41:00::	1	verb.social	1	0	0	0	1	13
18	form	2:41:00::	1	verb.social	1	0	0	0	1	14
5	formed	2:30:01::	4	verb.change	1	0	0	0	1	15
1	form	2:30:01::	4	verb.change	1	0	0	0	1	16
3	formed	2:41:00::	1	verb.social	1	0	0	0	1	17
12	forming	2:41:00::	1	verb.social	1	0	0	0	1	18
13	formed	2:41:00::	1	verb.social	1	0	0	0	1	19
2	form	2:30:01::	4	verb.change	1	0	0	0	0	20
22	forming	2:30:01::	4	verb.change	1	0	0	0	0	21
20	form	2:30:01::	4	verb.change	1	0	0	0	0	22
35	form	2:41:00::	1	verb.social	1	0	0	0	0	23
2	formed	2:41:00::	1	verb.social	1	0	0	0	0	24
16	formed	2:42:02::	3	verb.stative	2	2	2	2	2	25
24	forming	2:42:02::	3	verb.stative	2	2	2	2	2	26
26	formed	2:41:02::	6	verb.social	2	2	2	2	2	27
17	formed	2:42:00::	2	verb.stative	2	0	2	2	2	28
12	formed	2:42:02::	3	verb.stative	2	0	2	2	2	29
37	formed	2:42:02::	3	verb.stative	2	0	0	2	2	30
23	forming	2:42:02::	3	verb.stative	2	0	0	2	2	31
2	forming	2:42:00::	2	verb.stative	2	0	0	2	2	32
1	form	2:42:00::	2	verb.stative	2	0	0	2	2	33
13	formed	2:42:00::	2	verb.stative	2	0	0	2	2	34
44	form	2:42:00::	2	verb.stative	2	0	0	0	2	35
16	forming	2:36:00::	5	verb.creation	2	0	0	0	2	36
31	form	2:42:00::	2	verb.stative	2	0	0	0	2	37
18	form	2:42:00::	2	verb.stative	2	0	0	0	2	38
4	formed	2:36:00::	5	verb.creation	2	0	0	0	2	39
11	formed	2:42:02::	3	verb.stative	2	0	0	0	2	40
22	forming	2:42:00::	2	verb.stative	2	0	0	0	2	41
5	form	2:42:02::	3	verb.stative	2	0	0	0	2	42
7	formed	2:42:02::	3	verb.stative	2	0	0	0	2	43
2	formed	2:42:02::	3	verb.stative	2	0	0	0	2	44
4	forming	2:42:02::	3	verb.stative	2	0	0	0	0	45
20	form	2:42:00::	2	verb.stative	2	0	0	0	0	46
35	form	2:42:02::	3	verb.stative	2	0	0	0	0	47
10	formed	2:42:00::	2	verb.stative	2	0	0	0	0	48
21	form	2:36:00::	5	verb.creation	2	0	0	0	0	49
