position	word	lexsn	wnsn	supersense	X25	X3	X5	X10	X20	index
2	friend	1:18:00::	1	noun.person	1	1	1	1	1	0
4	friend	1:18:00::	1	noun.person	1	1	1	1	1	1
22	friends	1:18:00::	1	noun.person	1	1	1	1	1	2
53	friends	1:18:00::	1	noun.person	1	0	1	1	1	3
8	friends	1:18:00::	1	noun.person	1	0	1	1	1	4
43	friend	1:18:00::	1	noun.person	1	0	0	1	1	5
17	friends	1:18:00::	1	noun.person	1	0	0	1	1	6
9	friends	1:18:00::	1	noun.person	1	0	0	1	1	7
0	Friend	1:18:03::	2	noun.person	1	0	0	1	1	8
1	friends	1:18:00::	1	noun.person	1	0	0	1	1	9
10	friend	1:18:00::	1	noun.person	1	0	0	0	1	10
29	friends	1:18:00::	1	noun.person	1	0	0	0	1	11
3	friends	1:18:00::	1	noun.person	1	0	0	0	1	12
43	friends	1:18:00::	1	noun.person	1	0	0	0	1	13
5	friend	1:18:00::	1	noun.person	1	0	0	0	1	14
4	friends	1:18:00::	1	noun.person	1	0	0	0	1	15
16	friend	1:18:00::	1	noun.person	1	0	0	0	1	16
11	friend	1:18:00::	1	noun.person	1	0	0	0	1	17
6	friends	1:18:00::	1	noun.person	1	0	0	0	1	18
24	friend	1:18:00::	1	noun.person	1	0	0	0	1	19
42	friends	1:18:00::	1	noun.person	1	0	0	0	0	20
9	friend	1:18:00::	1	noun.person	1	0	0	0	0	21
34	friends	1:18:00::	1	noun.person	1	0	0	0	0	22
23	friend	1:18:00::	1	noun.person	1	0	0	0	0	23
25	friend	1:18:00::	1	noun.person	1	0	0	0	0	24
13	friend	1:18:00::	1	noun.person	2	2	2	2	2	25
2	friend	1:18:00::	1	noun.person	2	2	2	2	2	26
11	friend	1:18:00::	1	noun.person	2	2	2	2	2	27
16	friend	1:18:00::	1	noun.person	2	0	2	2	2	28
11	friends	1:18:00::	1	noun.person	2	0	2	2	2	29
4	friends	1:18:00::	1	noun.person	2	0	0	2	2	30
9	friend	1:18:00::	1	noun.person	2	0	0	2	2	31
20	friend	1:18:00::	1	noun.person	2	0	0	2	2	32
19	friend	1:18:00::	1	noun.person	2	0	0	2	2	33
1	friend	1:18:00::	1	noun.person	2	0	0	2	2	34
2	friend	1:18:00::	1	noun.person	2	0	0	0	2	35
17	friends	1:18:00::	1	noun.person	2	0	0	0	2	36
1	friends	1:18:00::	1	noun.person	2	0	0	0	2	37
4	friends	1:18:00::	1	noun.person	2	0	0	0	2	38
14	friends	1:18:00::	1	noun.person	2	0	0	0	2	39
4	friend	1:18:00::	1	noun.person	2	0	0	0	2	40
13	friend	1:18:00::	1	noun.person	2	0	0	0	2	41
8	friend	1:18:00::	1	noun.person	2	0	0	0	2	42
1	friend	1:18:00::	1	noun.person	2	0	0	0	2	43
26	friend	1:18:00::	1	noun.person	2	0	0	0	2	44
8	friend	1:18:00::	1	noun.person	2	0	0	0	0	45
23	friend	1:18:00::	1	noun.person	2	0	0	0	0	46
41	friend	1:18:00::	1	noun.person	2	0	0	0	0	47
16	friend	1:18:00::	1	noun.person	2	0	0	0	0	48
4	friend	1:18:00::	1	noun.person	2	0	0	0	0	49
